ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp
Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.235,2014-02-13,2014-02-18,2014-03-03,Cash Dividend,quarterly
0.235,2013-11-14,2013-11-18,2013-12-02,Cash Dividend,quarterly
0.21,2013-08-15,2013-08-19,2013-09-03,Cash Dividend,quarterly
0.21,2013-05-16,2013-05-20,2013-06-03,Cash Dividend,quarterly
0.21,2013-02-13,2013-02-15,2013-03-04,Cash Dividend,quarterly
0.21,2012-11-15,2012-11-19,2012-12-03,Cash Dividend,quarterly
0.13,2012-08-17,2012-08-21,2012-09-04,Cash Dividend,quarterly
0.13,2012-05-17,2012-05-21,2012-06-04,Cash Dividend,quarterly
0.13,2012-02-15,2012-02-17,2012-03-05,Cash Dividend,quarterly
0.13,2011-11-17,2011-11-21,2011-12-05,Cash Dividend,quarterly
0.115,2011-08-18,2011-08-22,2011-09-06,Cash Dividend,quarterly
0.115,2011-05-20,2011-05-24,2011-06-06,Cash Dividend,quarterly
0.1,2011-02-16,2011-02-18,2011-03-07,Cash Dividend,quarterly
0.1,2010-11-18,2010-11-22,2010-12-06,Cash Dividend,quarterly
0.08,2010-08-20,2010-08-24,2010-09-07,Cash Dividend,quarterly
0.08,2010-05-20,2010-05-24,2010-06-07,Cash Dividend,quarterly
0.08,2010-02-10,2010-02-12,2010-03-01,Cash Dividend,quarterly
0.08,2009-11-19,2009-11-23,2009-12-07,Cash Dividend,quarterly
0.06,2009-08-20,2009-08-24,2009-09-08,Cash Dividend,quarterly
0.05,2009-05-14,2009-05-18,2009-06-01,Cash Dividend,quarterly
0.05,2009-02-12,2009-02-17,2009-03-02,Cash Dividend,quarterly
0.05,2008-11-20,2008-11-24,2008-12-08,Cash Dividend,quarterly
0.038,2008-08-14,2008-08-18,2008-09-02,Cash Dividend,quarterly
0.038,2008-05-15,2008-05-19,2008-06-02,Cash Dividend,quarterly
0.038,2008-02-13,2008-02-18,2008-03-03,Cash Dividend,quarterly
0.038,2007-11-15,2007-11-19,2007-12-03,Cash Dividend,quarterly
0.025,2007-08-16,2007-08-20,2007-09-04,Cash Dividend,quarterly
0.025,2007-05-17,2007-05-21,2007-06-04,Cash Dividend,quarterly
0.025,2007-02-23,2007-02-27,2007-03-13,Cash Dividend,quarterly
0.025,2006-11-16,2006-11-20,2006-12-04,Cash Dividend,quarterly
0.013,2006-08-17,2006-08-21,2006-09-05,Cash Dividend,quarterly
0.013,2006-05-18,2006-05-22,2006-06-05,Cash Dividend,quarterly
0.013,2006-02-15,2006-02-20,2006-03-06,Cash Dividend,quarterly
0.006,2005-11-22,2005-11-25,2005-12-12,Cash Dividend,quarterly
0.006,2005-08-18,2005-08-22,2005-09-06,Cash Dividend,quarterly
0.006,2005-05-19,2005-05-23,2005-06-07,Cash Dividend,quarterly
0.006,2005-02-16,2005-02-18,2005-03-07,Cash Dividend,quarterly
0.006,2004-11-18,2004-11-22,2004-12-07,Cash Dividend,quarterly
0.006,2004-08-19,2004-08-23,2004-09-07,Cash Dividend,quarterly
0.006,2004-05-14,2004-05-18,2004-06-07,Cash Dividend,quarterly
0.006,2004-02-11,2004-02-16,2004-03-01,Cash Dividend,quarterly
0.006,2003-11-13,2003-11-17,2003-12-01,Cash Dividend,quarterly
0.006,2003-08-14,2003-08-18,2003-09-02,Cash Dividend,quarterly
0.006,2003-05-15,2003-05-19,2003-06-02,Cash Dividend,quarterly
0.006,2003-02-12,2003-02-17,2003-03-03,Cash Dividend,quarterly
0.006,2002-11-14,2002-11-18,2002-12-02,Cash Dividend,quarterly
0.006,2002-08-15,2002-08-19,2002-03-09,Cash Dividend,quarterly
0.006,2002-05-16,2002-05-20,2002-06-03,Cash Dividend,quarterly
0.006,2002-02-19,2002-02-21,2002-03-01,Cash Dividend,quarterly
0.006,2001-11-15,2001-11-19,2001-12-03,Cash Dividend,quarterly
