ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Becky,Glover,GBR,389,00:38:36,00:00:47,01:09:19,00:01:29,00:19:52,1,02:10:02
Suzie,Richards,GBR,394,00:38:40,00:00:42,01:08:27,00:01:28,00:21:43,2,02:10:58
Kate,Mapham,GBR,392,00:38:15,00:00:44,01:13:30,00:01:10,00:19:22,3,02:13:00
Corrie,Kristick,USA,399,00:41:17,00:01:06,01:07:50,00:01:42,00:21:34,4,02:13:26
Jasmine,Carlson,USA,398,00:43:45,00:00:50,01:10:01,00:01:35,00:24:12,5,02:20:21
Samantha,Anderson,GBR,387,00:43:36,00:00:55,01:11:44,00:01:27,00:23:58,6,02:21:38
Sarah,Rhodes,GBR,393,00:42:51,00:00:59,01:15:29,00:01:59,00:23:45,7,02:25:01
Stefani,Langehennig,USA,400,00:44:27,00:00:48,01:14:01,00:01:41,00:24:20,8,02:25:15
Kasia,Danigier,CAN,403,00:45:57,00:01:01,01:13:00,00:01:28,00:26:26,9,02:27:50
Laura,Ramos,COL,406,00:44:51,00:00:49,01:16:03,00:01:50,00:25:30,10,02:29:00
Lucinda,Wahlers,GBR,395,00:44:50,00:00:44,01:17:43,00:01:32,00:24:29,11,02:29:17
Zuri,Wilson,USA,402,00:44:17,00:00:52,01:19:16,00:01:28,00:23:55,12,02:29:46
Elizabeth,Pellerin,CAN,405,00:47:31,00:00:59,01:14:13,00:01:59,00:26:25,13,02:31:05
Sarah,Mackness,GBR,391,00:41:39,00:00:53,01:26:16,00:01:49,00:20:48,14,02:31:23
Monica,Lau,CAN,404,00:42:03,00:01:14,01:25:23,00:01:46,00:21:33,15,02:31:57
Katherine,Henderson,GBR,390,00:48:28,00:00:58,01:15:58,00:01:35,00:28:22,16,02:35:19
Franziska,Ruf,GER,396,00:50:48,00:01:03,01:18:22,00:01:39,00:27:04,17,02:38:54
Jacqueline,Postma,RSA,397,00:49:21,00:01:28,01:24:52,00:05:14,00:29:24,18,02:50:17
Erin,Moore,USA,401,00:57:09,00:00:51,01:31:29,00:02:24,00:38:04,19,03:09:55
