Subjekt,Název subjektu,Adresa subjektu,"Počet žáků denního studia
k 30. 9. 2010","Počet žáků denního studia
k 30. 9. 2010","Počet žáků denního studia
k 30. 9. 2010",
Subjekt,Název subjektu,Adresa subjektu,4-leté,6-leté,8-leté,
1800,Gymnázium ,"Blansko, Seifertova 13",123,0,466,", "
1801,Gymnázium ,"Boskovice, Palackého náměstí 1",236,0,241,
2798,Gymnázium ,"Brno - Řečkovice, Terezy Novákové 2",0,0,497,
2803,Gymnázium Matyáše Lercha,"Brno, Žižkova 55",338,251,234,
2806,Gymnázium ,"Brno, třída Kapitána Jaroše 14",252,0,494,
2808,Klasické a španělské gymnázium,"Brno - Bystrc, Vejrostova 2",92,367,314,
3800,Gymnázium Jana Blahoslava ,"Ivančice, Lány 2",122,0,231,
3801,Gymnázium ,"Tišnov, Na Hrádku 20",242,0,241,
3802,Gymnázium   T.G.Masaryka ,"Zastávka, U školy 39",127,0,229,
3803,Gymnázium ,"Židlochovice, Tyršova 400",0,0,237,
3804,Gymnázium a Základní umělecká škola ,"Šlapanice, Riegrova 17",0,0,251,
4800,Gymnázium a JŠ s právem SJZ ,"Břeclav, Sady 28.října 1",254,0,299,
4801,Gymnázium T.G.M. ,"Hustopeče, Dukelské náměstí 7",101,0,220,
4802,Gymnázium ,"Mikulov, Komenského náměstí 7",72,0,215,
5800,Gymnázium ,"Hodonín, Legionářů 1",224,0,231,
5801,Klvaňovo gymnázium ,"Kyjov, Komenského 549",185,0,413,
5802,Purkyňovo gymnázium ,"Strážnice, Masarykova 379",245,0,230,
6800,Gymnázium ,"Bučovice, Součkova 500",128,0,229,
6801,Gymnázium ,"Vyškov, Komenského náměstí 16",252,0,437,
7800,Gymnázium ,"Moravský Krumlov, Smetanova 168",117,0,195,
7801,Gymnázium Dr. Karla Polesného ,"Znojmo, Komenského nám.4",361,140,224,
7802,Gymnázium a SOŠ pedagogická,"Znojmo, Pontassievská 3",114,0,266,
,,,,,,
Pozn.:,,,,,,
jen osmileté studium,,,,,,
Ostatní gymnázia  s výukou i 6-letých a 4-letých oborů - nelze rozpočtově oddělit,,,,,,
