LABEL,UPC,ARTIST,TITLE,RELEASEDATE,PRODUCTTYPE,GENRE,PRICE,RETURNABLE,STATUS
Fervent Records,679143004628,Barlowgirl,Barlowgirl,2005-06-19,Compact Disc,Rock,13.99,Y,Available
Word Records,080688856021,Everfound,Everfound,2013-07-16,Compact Disc,Rock,11.99,Y,Available
Brash Music,881410008523,Gungor,"Creation Liturgy, A",2012-10-16,Compact Disc,Alt,13.99,Y,Available
Warner Bros Rec,093624847229,Robert Randolph And The Family,Unclassified,2003-08-05,Compact Disc,Rock,13.99,Y,Available
Curb Records,715187915725,Plumb,Beautiful History: A Hits Collection,2009-11-03,Compact Disc,Rock,13.99,Y,Available
Inter-Company,854132001851,The Color Morale,We All Have Demons,2010-09-14,Compact Disc,Rock,12.98,Y,Available
Atlantic-Elektra,016861759926,The Devil Wears Prada,8:18,2013-11-08,Compact Disc,Rock,13.99,Y,Available
Wea-Ada,856658003548,Worthwhile,Carry On Kid,2013-08-13,Compact Disc,Rock,13.98,Y,Available
Wea-Ada,850537004503,The Color Morale,Know Hope,2013-04-23,Compact Disc,Rock,12.98,Y,Available
Inter-Company,854132001417,The Devil Wears Prada,Plagues (Deluxe Edition),2010-10-05,Compact Disc,Rock,13.98,Y,Available
Wea-Ada,067003081528,Sixpence None The Richer,Dawn Of Grace,2010-11-09,Compact Disc,Rock,9.98,Y,Available
Wea-Ada,856136002551,The Color Morale,My Devil In Your Eyes,2011-03-15,Compact Disc,Rock,12.98,Y,Available
Word Records,080688827625,Pocket Full Of Rocks,Let It Rain: The Best Of Pocket Full Of Rocks,2011-07-12,Compact Disc,Rock,13.99,Y,Available
Fervent Records,080688827526,Sidewalk Prophets,These Simple Truths (Deluxe Edition),2011-07-12,Compact Disc,Rock,15.99,Y,Available
Atlantic-Elektra,075678826214,Needtobreathe,"Reckoning, The",2011-09-20,Compact Disc,Alt,13.99,Y,Available
Curb Records,715187925120,Mikeschair,"Beautiful Life, A",2011-08-23,Compact Disc,Rock,11.99,Y,Available
Curb Records,715187931725,Plumb,Need You Now,2013-02-26,Compact Disc,Rock,9.99,Y,Available
Wea-Ada,677516138826,Fiction Family,Fiction Family Reunion,2013-01-22,Compact Disc,Rock,11.99,Y,Available
Atlantic-Elektra,075678997914,Needtobreathe,"Heat, The",2007-08-28,Compact Disc,Rock,7.99,Y,Available
Atlantic-Elektra,075678732225,Skillet,Rise,2013-06-25,Compact Disc,Rock,13.99,Y,Available
Atlantic-Elektra,075678731969,Skillet,Rise Deluxe Edition Cd/Dvd,2013-06-25,Compact Disc With DVD,Rock,18.99,Y,Available
Atlantic-Elektra,075678732089,We As Human,We As Human,2013-06-25,Compact Disc,Rock,11.99,Y,Available
Inter-Company,854132001080,The Devil Wears Prada,Dear Love: A Beautiful Discord,2010-10-05,Compact Disc,Rock,12.98,Y,Available
Atlantic-Elektra,075678385728,P.O.D.,Testify,2006-01-24,Compact Disc,Rock,13.99,Y,Available
Ilg Records Csr,828136011826,Underneath The Gun,Forfeit Misfortunes,2009-05-05,Compact Disc,Rock,13.99,Y,Available
Ilg Records Csr,828136012328,The Devil Wears Prada,With Roots Above And Branches Below,2009-05-05,Compact Disc,Rock,14.99,Y,Available
Atlantic-Elektra,075678959721,Needtobreathe,"Outsiders, The",2009-08-25,Compact Disc,Rock,13.99,Y,Available
Fervent Records,080688683924,Barlowgirl,Another Journal Entry Expanded Edition,2006-08-29,Compact Disc,Rock,15.99,Y,Available
Wea-Ada,856658003258,Before Their Eyes,Redemption,2012-03-27,Compact Disc,Rock,14.98,Y,Available
Wea-Ada,828136014728,The Devil Wears Prada,Dead & Alive,2012-08-14,Compact Disc With DVD,Rock,19.98,Y,Available
Wea-Ada,850537004282,Further Seems Forever,Penny Black,2012-10-27,Compact Disc,Rock,12.98,Y,Available
Wea-Ada,067003092029,Matt Wertz,Weights & Wings,2011-04-19,Compact Disc,Rock,12.98,Y,Available
Ilg Records Csr,828136014322,The Devil Wears Prada,Dead Throne,2011-09-13,Compact Disc,Rock,15.98,Y,Available
Ilg Records Csr,828136014223,Maylene & The Sons Of Disaster,Iv,2011-09-27,Compact Disc,Rock,14.98,Y,Available
Wea-Ada,656605553924,Danielson,"Best Of Gloucester County, The",2011-03-01,Compact Disc,Rock,14.98,Y,Available
Atlantic-Elektra,016861774059,Times Of Grace,"Hymn Of A Broken Man (Special Edition), The",2011-03-01,Compact Disc,Rock,24.98,Y,Available
Atlantic-Elektra,016861774028,Times Of Grace,"Hymn Of A Broken Man, The",2011-03-01,Compact Disc,Rock,18.98,Y,Available
Wea-Ada,656605570228,Glen Galaxy,Thankyou,2011-05-10,Compact Disc,Rock,14.98,Y,Available
Warner Records,093624439325,Robert Randolph And The Family,Colorblind,2006-10-10,Compact Disc,Rock,18.99,Y,Available
Ilg Records Csr,828136009328,Gwen Stacy,"Life I Know, The",2008-02-12,Compact Disc,Rock,13.99,Y,Available
Wea-Ada,045778691326,Our Last Night,"Ghosts Among Us, The",2008-04-29,Compact Disc,Rock,13.99,Y,Available
Ilg Records Csr,075597994070,Akissforjersey,Victims,2008-06-03,Compact Disc,Rock,14.99,Y,Available
