,Nov 2,Nov 9,Nov 16,Nov 23,Nov 30
Total Interest Rates*,N/A***,,,,
Cleared**,,,,,
Uncleared,,,,,
Total Cross-Currency,,,,,
Cleared,,,,,
Uncleared,,,,,
Total Credit,,,,,
Cleared,,,,,
Uncleared,,,,,
Total Equities,,,,,
Cleared,,,,,
Uncleared,,,,,
Total Commodities,,,,,
Cleared,,,,,
Uncleared,,,,,
TOTAL,,,,,
"Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types.","Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types.","Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types.","Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types.","Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types.","Weekly total, estimated swap dollar volumes by asset class and cleared status (value of all trades in millions of USD), all products, tenors, and participant types."
"Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey, which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation."
*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.
**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
