ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Felipe,Barraza,CHI,6,00:18:01   ,00:01:42   ,01:00:44   ,00:00:57   ,00:30:58   ,1,01:48:58,Elite Men
Irving,Perez,MEX,1,00:15:23   ,00:01:03   ,01:00:36   ,00:01:00   ,00:30:57   ,2,01:48:59,Elite Men
Danilo,Pimentel,BRA,9,00:15:19   ,00:01:11   ,01:00:34   ,00:01:01   ,00:31:07   ,3,01:49:12,Elite Men
Shane,Barrie ,AUS,8,00:17:51   ,00:01:34   ,01:00:47   ,00:01:02   ,00:31:17   ,4,01:49:23,Elite Men
Jason,Wilson,BAR,2,00:15:15   ,00:01:12   ,01:00:24   ,00:01:11   ,00:31:26   ,5,01:49:28,Elite Men
Wesley,Matos,BRA,11,00:15:11   ,00:01:11   ,01:00:29   ,00:00:58   ,00:31:55   ,6,01:49:44,Elite Men
David,Mendoza,MEX,4,00:18:12   ,00:01:21   ,01:00:51   ,00:00:56   ,00:31:39   ,7,01:50:17,Elite Men
Juan Jose,Andrade Figueroa,ECU,22,00:15:19   ,00:01:09   ,01:00:38   ,00:00:55   ,00:32:41   ,8,01:50:42,Elite Men
Felipe,Van De Wyngard,CHI,3,00:15:44   ,00:01:11   ,01:00:46   ,00:00:57   ,00:32:37   ,9,01:51:15,Elite Men
Paulo Roberto,Maciel,BRA,14,00:15:41   ,00:01:15   ,01:00:45   ,00:01:02   ,00:32:45   ,10,01:51:28,Elite Men
Carlos Enrique,Perez Bolsegui,VEN,15,00:15:41   ,00:01:12   ,01:00:47   ,00:01:01   ,00:33:05   ,11,01:51:46,Elite Men
Lautaro,Volpe,ARG,33,00:16:09   ,00:01:25   ,01:01:10   ,00:00:59   ,00:32:10   ,12,01:51:53,Elite Men
Carlos Alfredo,Perez Bolsegui,VEN,16,00:15:27   ,00:01:13   ,01:01:00   ,00:00:59   ,00:33:31   ,13,01:52:10,Elite Men
Martin,Maluf,ARG,17,00:16:35   ,00:01:29   ,01:00:39   ,00:01:01   ,00:32:35   ,14,01:52:19,Elite Men
Raphael,Menezes,BRA,21,00:15:57   ,00:01:24   ,01:01:25   ,00:01:07   ,00:33:01   ,15,01:52:54,Elite Men
Oliver,Martin,URU,18,00:16:09   ,00:01:16   ,01:01:20   ,00:01:04   ,00:33:44   ,16,01:53:33,Elite Men
Andres,Cabascango,ECU,27,00:16:39   ,00:01:17   ,01:00:47   ,00:01:01   ,00:34:31   ,17,01:54:15,Elite Men
Rafael,Fonseca,BRA,10,00:15:16   ,00:01:12   ,01:00:34   ,00:00:59   ,00:36:16   ,18,01:54:17,Elite Men
Miguel Alejandro,Lopez Garcia,VEN,40,00:16:38   ,00:01:24   ,01:00:43   ,00:01:02   ,00:34:32   ,19,01:54:19,Elite Men
Nicolas ,Saez,CHI,41,00:16:55   ,00:01:11   ,01:00:38   ,00:00:55   ,00:34:52   ,20,01:54:31,Elite Men
Cristian,Liurgo,ARG,36,00:16:10   ,00:01:19   ,01:01:16   ,00:01:02   ,00:35:30   ,21,01:55:17,Elite Men
Rodrigo,Sendra,ARG,37,00:17:37   ,00:01:13   ,01:02:06   ,00:01:03   ,00:33:21   ,22,01:55:20,Elite Men
