DAIO - Data I/O Corporation,
Date,Short Percentage of Float
2014-02-28,0.15%
2014-02-14,0.22%
2014-01-31,0.20%
2014-01-15,0.14%
2013-12-31,0.22%
2013-12-13,0.13%
2013-11-29,0.14%
2013-11-15,0.11%
2013-10-31,0.12%
2013-10-15,0.10%
2013-09-30,0.12%
2013-09-13,0.21%
2013-08-30,0.10%
2013-08-15,0.10%
2013-07-31,0.12%
2013-07-15,0.12%
2013-06-28,0.14%
2013-06-14,0.15%
2013-05-31,0.12%
2013-05-15,0.11%
2013-04-30,0.11%
2013-04-15,0.01%
2013-03-28,0.00%
2013-03-15,0.00%
2013-02-28,0.09%
2013-02-15,0.08%
2013-01-31,0.04%
2013-01-15,0.08%
2012-12-31,0.07%
2012-12-14,0.05%
2012-11-30,0.06%
2012-11-15,0.07%
2012-10-31,0.08%
2012-10-15,0.04%
2012-09-28,0.11%
2012-09-14,0.10%
2012-08-31,0.09%
2012-08-15,0.04%
2012-07-31,0.05%
2012-07-13,0.06%
2012-06-29,0.30%
2012-06-15,0.32%
2012-05-31,0.07%
2012-05-15,0.04%
2012-04-30,0.08%
2012-04-13,0.09%
2012-03-30,0.09%
2012-03-15,0.11%
2012-02-29,0.03%
2012-02-15,0.03%
2012-01-31,0.04%
2012-01-13,0.03%
2011-12-30,0.03%
2011-12-15,0.05%
2011-11-30,0.03%
2011-11-15,0.02%
2011-10-31,0.00%
2011-10-14,0.00%
2011-09-30,0.00%
2011-09-15,0.00%
2011-08-31,0.00%
2011-08-15,0.12%
2011-07-29,0.11%
2011-07-15,0.05%
2011-06-30,0.05%
2011-06-15,0.06%
2011-05-31,0.05%
2011-05-13,0.06%
2011-04-29,0.09%
2011-04-15,0.06%
2011-03-31,0.07%
2011-03-15,0.00%
2011-02-28,0.03%
2011-02-15,0.04%
2011-01-31,0.11%
2011-01-14,0.06%
2010-12-31,0.06%
2010-12-15,0.05%
2010-11-30,0.08%
2010-11-15,0.09%
2010-10-29,0.09%
2010-10-15,0.05%
2010-09-30,0.05%
2010-09-15,0.07%
2010-08-31,0.05%
2010-08-13,0.04%
2010-07-30,0.06%
2010-07-15,0.09%
2010-06-30,0.07%
2010-06-15,0.03%
2010-05-28,0.02%
2010-05-14,0.02%
2010-04-30,0.03%
2010-04-15,0.04%
2010-03-31,0.04%
2010-03-15,0.01%
2010-02-26,0.00%
2010-02-12,0.00%
2010-01-29,0.00%
2010-01-15,0.00%
2009-12-31,0.00%
2009-12-15,0.00%
2009-11-30,0.00%
2009-11-13,0.01%
2009-10-30,0.07%
2009-10-15,0.03%
2009-09-30,0.00%
2009-09-15,0.04%
2009-08-31,0.00%
2009-08-14,0.00%
2009-07-31,0.02%
2009-07-15,0.01%
2009-06-30,0.03%
2009-05-29,0.00%
2009-05-15,0.00%
2009-04-30,0.00%
2009-04-15,0.01%
2009-03-31,0.01%
2009-03-13,0.14%
2009-02-27,0.04%
2009-02-13,0.05%
2009-01-30,0.06%
2009-01-15,0.06%
2008-12-31,0.17%
2008-12-15,0.05%
2008-11-28,0.05%
2008-11-14,0.08%
2008-10-31,0.13%
2008-10-15,0.05%
2008-09-30,0.02%
2008-09-15,0.11%
2008-08-29,0.08%
2008-08-15,0.11%
2008-07-31,0.08%
2008-07-15,0.19%
2008-06-30,0.20%
2008-06-13,0.19%
2008-05-30,0.21%
2008-05-15,0.21%
2008-04-30,0.09%
2008-04-15,0.28%
2008-03-31,0.13%
2008-03-14,0.09%
2008-02-29,0.32%
2008-02-15,0.20%
2008-01-31,0.26%
2008-01-15,0.36%
2007-12-31,0.37%
2007-12-11,0.12%
2007-11-27,0.44%
2007-11-09,0.42%
2007-10-26,0.81%
2007-10-10,0.12%
2007-09-25,0.07%
2007-09-11,0.09%
2007-08-10,0.07%
2007-07-10,0.02%
2007-06-12,0.03%
2007-05-10,0.04%
2007-04-10,0.02%
2007-03-12,0.01%
2007-02-12,0.02%
2007-01-09,0.00%
2006-12-12,0.05%
2006-11-10,0.01%
2006-10-10,0.01%
2006-09-12,0.00%
2006-08-10,0.08%
2006-07-11,0.18%
2006-06-12,0.13%
2006-05-10,1.29%
2006-04-10,0.20%
2006-03-10,0.20%
2006-02-10,0.46%
2006-01-10,0.40%
2005-12-12,0.00%
2005-11-10,0.00%
2005-10-11,0.00%
2005-09-12,0.00%
2005-08-10,0.00%
2005-07-12,0.00%
2005-06-10,0.00%
2005-05-10,0.00%
2005-04-12,0.00%
2005-03-10,0.00%
2005-02-10,0.00%
2005-01-11,0.00%
2004-12-10,0.00%
2004-11-10,0.00%
2004-10-12,0.00%
2004-09-10,0.00%
2004-08-10,0.00%
2004-07-12,0.00%
2004-06-09,0.00%
2004-05-11,0.00%
2004-04-12,0.00%
2004-03-10,0.00%
2004-02-10,0.00%
2004-01-12,0.00%
2003-12-10,0.00%
2003-11-11,0.00%
2003-10-10,0.00%
2003-09-10,0.00%
2003-08-12,0.00%
2003-07-10,0.00%
2003-06-10,0.00%
2003-05-12,0.00%
2003-04-10,0.00%
2003-03-11,0.00%
2003-02-11,0.00%
2003-01-10,0.00%
2002-12-10,0.00%
2002-11-12,0.00%
2002-08-12,0.00%
2002-06-11,0.00%
2002-05-10,0.00%
2002-03-12,0.00%
2002-02-12,0.00%
2002-01-10,0.00%
2001-11-12,0.00%
2001-07-10,0.00%
2001-06-12,0.00%
2001-05-10,0.00%
2001-04-09,0.00%
2001-03-12,0.00%
2001-02-12,0.00%
2001-01-09,0.00%
2000-12-12,0.00%
2000-11-10,0.00%
2000-10-10,0.00%
2000-09-12,0.00%
2000-08-10,0.00%
2000-07-11,0.00%
2000-06-12,0.00%
2000-05-10,0.00%
2000-04-11,0.00%
2000-03-10,0.00%
2000-02-10,0.00%
2000-01-11,0.00%
1999-12-10,0.00%
1999-11-10,0.00%
1999-10-12,0.00%
1999-09-10,0.00%
1999-08-10,0.00%
1999-07-12,0.00%
1999-06-10,0.00%
1999-05-11,0.00%
1999-02-09,0.00%
1999-01-08,0.00%
1998-12-08,0.00%
1998-11-06,0.00%
1998-10-08,0.00%
1998-09-08,0.00%
1998-08-07,0.00%
1998-07-08,0.00%
1998-06-08,0.00%
1998-05-08,0.00%
1998-04-07,0.00%
1998-03-06,0.00%
1998-02-06,0.00%
1998-01-08,0.00%
1997-12-08,0.00%
1997-11-07,0.00%
1997-10-08,0.00%
1997-09-08,0.00%
1997-08-08,0.00%
1997-07-08,0.00%
1997-06-06,0.00%
1997-05-08,0.00%
1997-04-08,0.00%
1997-03-07,0.00%
1997-02-07,0.00%
1997-01-08,0.00%
1996-12-06,0.00%
1996-11-08,0.00%
1996-10-08,0.00%
1996-09-06,0.00%
1996-08-08,0.00%
1996-07-08,0.00%
1996-06-07,0.00%
1996-05-08,0.00%
1996-04-08,0.00%
1996-03-08,0.00%
1996-02-08,0.00%
1996-01-08,0.00%
1995-12-08,0.00%
1995-11-08,0.00%
1995-10-06,0.00%
1995-09-08,0.00%
1995-08-08,0.00%
1995-07-07,0.00%
1995-06-08,0.00%
1995-05-08,0.00%
1995-04-06,0.00%
1995-03-08,0.00%
1995-02-08,0.00%
1995-01-06,0.00%
