District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
,,,,,Reading/Language Arts,,Mathematics,,Other Academic Indicator,,,
,,,,,Proficiency Target Met?,Participation Rate Target Met?,Proficiency Target Met?,Participation Rate Target Met?,Attendance Rate (Elementary/Middle Schools) Met?,Graduation Rate (High Schools) Met?,,
A.B. Miree Fundamental Academy,3900074,A.B. Miree Fundamental Academy,390007403759,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-P (Delay)
A+ Arts Academy,3900305,A+ Arts Academy,390030504842,Yes,No,Yes,Yes,Yes,No,,No,SI-2
Academy of Arts and Sciences,3900594,Academy of Arts and Sciences,390059405085,Yes,No,Yes,Yes,Not Rated,No,,No,SI-1
Academy of Business and Technology,3900062,Academy of Business and Technology,390006203162,Yes,No,Yes,No,Yes,Yes,,No,R-P
Academy of Cleveland,3900116,Academy of Cleveland,390011604158,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Academy of Columbus,3900438,Academy of Columbus,390043804997,Yes,No,Yes,No,Yes,No,,No,SI-1
Adams County/Ohio Valley Local SD,3906190,West Union Elementary School,390619004113,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Adena Local SD,3904949,Adena Elementary School,390494903613,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Akron City SD,3904348,Akron Alternative Academy High School,390434805266,No,Yes,No,No,No,,No,No,SI-2
Akron City SD,3904348,Barrett Elementary School,390434800002,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Akron City SD,3904348,Crouse Elementary School,390434800105,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Akron City SD,3904348,Goodrich Middle School,390434800022,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Akron City SD,3904348,Goodyear Middle School,390434800023,Yes,No,Yes,Yes,Yes,Yes,,No,R-P
Akron City SD,3904348,Innes Middle School,390434800032,No,No,Yes,No,Yes,Yes,,No,R-P
Akron City SD,3904348,Jennings Middle School,390434800034,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Akron City SD,3904348,Kenmore High School,390434800035,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Akron City SD,3904348,Kent Middle School,390434800036,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Akron City SD,3904348,Lincoln Elementary School,390434800041,Yes,No,Yes,No,Yes,Yes,,No,R-P
Akron City SD,3904348,Litchfield Middle School,390434800042,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Akron City SD,3904348,Perkins Middle School,390434800047,Yes,No,Yes,No,Yes,Yes,,No,R-P
Akron City SD,3904348,Schumacher Academy Elementary School,390434800055,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Akron City SD,3904348,Seiberling Elementary School,390434800056,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Akron City SD,3904348,Stewart Elementary School,390434800059,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Akron Digital Academy,3900152,Akron Digital Academy,390015204764,No,No,No,No,No,,No,No,CA
Alexander Local SD,3904590,Alexander Elementary School,390459002377,Yes,No,Yes,No,Yes,Yes,,No,CA
Alliance Academy of Cincinnati,3900130,Alliance Academy of Cincinnati,390013004180,Yes,Yes,No,Yes,No,Yes,,No,CA
Alliance Academy of Toledo,3900082,Alliance Academy of Toledo,390008203445,Yes,No,Yes,No,Yes,,Yes,No,CA
Alliance City SD,3904349,Alliance High School,390434900064,No,No,Yes,No,Yes,,Yes,No,SI-2
Alliance City SD,3904349,Alliance Middle School,390434904189,Yes,No,Yes,No,Yes,Yes,,No,R-P
Alliance City SD,3904349,Northside Elementary School,390434904190,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Alliance City SD,3904349,Rockhill Elementary School,390434904191,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Alternative Education Academy,3900203,Alternative Education Academy,390020304727,Yes,No,Yes,No,Yes,,Yes,No,CA
Amherst Exempted Village SD,3904519,Walter G. Nord Middle School,390451902118,No,No,Yes,Yes,Yes,Yes,,No,SI-1
