,,,,,,,
,,,,,,,
,,   FHA  /  VA  /  RD,,,,,
,,,,,,,
,,,,,,,
"Correspondent Banks - Effective April 1, 2011",,,,,,,
"Tier 1 (AL, AR, FL, GA, IN, KS, KY, LA, MO, MS, ND, NE, OH, OK, PA, TX, WI)",,,,,,,
,,,,,Fixed Rate Fully Amortizing,,
FHA / VA / RD Loan Amount,,,,,30/20,,15.0
,,,,,,,
"Less than $50,000",,,,,2.05,,1.29
,,,,,,,
"$50,000 to $99,999",,,,,2.65,,1.89
,,,,,,,
"$100,000 to $149,999",,,,,2.95,,2.19
,,,,,,,
"$150,000 to 417,000",,,,,3.05,,2.29
,,,,,,,
,,,,,,,
"Tier 2 (AK, CT, DE, IA, MA, ME, MI, NC, NH, NY, RI, SC, SD, TN, UT, VT, WY)",,,,,,,
,,,,,,,
"Less than $50,000",,,,,1.95,,1.19
,,,,,,,
"$50,000 to $99,999",,,,,2.55,,1.79
,,,,,,,
"$100,000 to $149,999",,,,,2.85,,2.09
,,,,,,,
"$150,000 to 417,000",,,,,2.95,,2.19
,,,,,,,
,,,,,,,
"Tier 3 (AZ, CA, CO, DC, HI, ID, IL, MD, MN, MT, NJ, NM, NV, OR, VA, WA, WV)",,,,,,,
,,,,,,,
"Less than $50,000",,,,,1.85,,1.09
,,,,,,,
"$50,000 to $99,999",,,,,2.45,,1.69
,,,,,,,
"$100,000 to $149,999",,,,,2.75,,1.99
,,,,,,,
"$150,000 to 417,000",,,,,2.85,,2.09
,,,,,,,
,,,,,,,
FHA Loans Underwritten by TIB,,,,,,,
$450 Underwriting Fee,,,,,,,
$100 Insuring Fee,,,,,,,
,,,,,,,
FHA Loans Underwritten by Correspondent's DE,,,,,,,
$250  Administrative Fee,,,,,,,
,,,,,,,
$105 Tax Certification Fee all States,,,,,,,
$40 Fraud Prevention Fee - Correspondent Banks,,,,,,,
