ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Fernando,Alarza,ESP,1,00:18:01,00:01:16,00:53:59,00:00:38,00:31:27,1,01:45:21,Elite Men
Aurélien,Lebrun,FRA,20,00:18:06,00:01:20,00:53:50,00:00:38,00:31:43,2,01:45:38,Elite Men
Vicente,Hernandez,ESP,11,00:18:05,00:01:17,00:53:54,00:00:40,00:31:55,3,01:45:52,Elite Men
Pierre,Le Corre,FRA,6,00:17:59,00:01:21,00:53:56,00:00:39,00:32:09,4,01:46:04,Elite Men
Pedro,Mendes,POR,37,00:00:00,00:00:00,00:00:00,00:00:37,00:32:21,5,01:46:14,Elite Men
Uxio,Abuin Ares,ESP,9,00:18:02,00:01:17,00:53:57,00:00:37,00:32:38,6,01:46:30,Elite Men
Danylo,Sapunov,UKR,3,00:18:03,00:01:19,00:53:56,00:00:40,00:32:45,7,01:46:43,Elite Men
Ricardo,Hernandez Marrero,ESP,22,00:18:09,00:01:12,00:53:57,00:00:38,00:33:04,8,01:46:59,Elite Men
Julien,Pousson,FRA,29,00:18:06,00:01:16,00:53:54,00:00:38,00:33:14,9,01:47:09,Elite Men
Rostyslav,Pevtsov,ITU,7,00:18:33,00:01:21,00:55:21,00:00:42,00:31:18,10,01:47:16,Elite Men
Davide,Uccellari,ITA,2,00:18:33,00:01:23,00:55:24,00:00:37,00:31:35,11,01:47:31,Elite Men
Ivan,Ivanov,UKR,12,00:18:34,00:01:15,00:55:27,00:00:40,00:31:43,12,01:47:39,Elite Men
Francesc,Godoy,ESP,19,00:18:33,00:01:16,00:55:24,00:00:42,00:31:50,13,01:47:44,Elite Men
Rasmus,Petræus,DEN,60,00:18:01,00:01:20,00:53:57,00:00:45,00:33:54,14,01:47:56,Elite Men
Peter,Denteneer,BEL,59,00:18:03,00:01:21,00:53:54,00:00:38,00:34:10,15,01:48:06,Elite Men
Nicolas,Alliot,FRA,46,00:18:12,00:01:13,00:53:54,00:00:41,00:34:11,16,01:48:11,Elite Men
Iñaki,Baldellou,ESP,58,00:19:02,00:01:27,00:54:48,00:00:43,00:32:31,17,01:48:30,Elite Men
Luca,Facchinetti,ITA,15,00:18:33,00:01:23,00:55:18,00:00:40,00:32:45,18,01:48:40,Elite Men
Maurice,Clavel,GER,45,00:19:00,00:01:19,00:54:57,00:00:39,00:32:54,19,01:48:49,Elite Men
Marten,Van Riel,BEL,33,00:18:22,00:01:18,00:55:36,00:00:41,00:32:54,20,01:48:51,Elite Men
João,Serrano,POR,49,00:18:00,00:01:20,00:54:00,00:00:40,00:35:00,21,01:48:59,Elite Men
Paul,Reitmayr,AUT,23,00:18:34,00:01:21,00:55:20,00:00:43,00:33:13,22,01:49:11,Elite Men
Andrea,De Ponti,ITA,35,00:18:10,00:01:22,00:55:47,00:00:41,00:33:20,23,01:49:20,Elite Men
Martin,Bader,AUT,69,00:18:05,00:01:17,00:53:56,00:00:43,00:35:29,24,01:49:31,Elite Men
Simon,Viain,FRA,30,00:19:01,00:01:24,00:54:49,00:00:39,00:33:47,25,01:49:40,Elite Men
Jonathan,Ciavattella,ITA,64,00:18:19,00:01:24,00:55:34,00:00:43,00:33:44,26,01:49:43,Elite Men
Tomas,Renc,CZE,28,00:18:32,00:01:22,00:55:26,00:00:47,00:33:47,27,01:49:54,Elite Men
Akos,Vanek,HUN,5,00:18:11,00:01:20,00:55:42,00:00:47,00:34:04,28,01:50:04,Elite Men
Rafael,Ribeiro,POR,40,00:18:13,00:01:21,00:55:44,00:00:40,00:34:11,29,01:50:08,Elite Men
Yvan,Jarrige,FRA,47,00:18:57,00:01:24,00:54:55,00:00:40,00:34:20,30,01:50:15,Elite Men
David ,Bishop,GBR,31,00:19:02,00:01:22,00:54:49,00:00:41,00:34:23,31,01:50:17,Elite Men
Christophe,De Keyser,BEL,65,00:19:02,00:01:21,00:54:54,00:00:39,00:34:21,32,01:50:17,Elite Men
Per,Wangel,SWE,26,00:19:01,00:01:23,00:54:55,00:00:43,00:34:22,33,01:50:23,Elite Men
Mattia,Ceccarelli,ITA,32,00:18:32,00:01:19,00:55:28,00:00:38,00:34:28,34,01:50:25,Elite Men
Chris,Wigell,AUS,61,00:19:01,00:01:18,00:54:56,00:00:42,00:34:31,35,01:50:28,Elite Men
Brice,Daubord,FRA,16,00:19:18,00:01:18,00:57:54,00:00:42,00:31:44,36,01:50:55,Elite Men
Mark,Oude Bennink,NED,57,00:18:47,00:01:31,00:54:56,00:00:41,00:35:02,37,01:50:56,Elite Men
Filipe,Azevedo,POR,38,00:18:14,00:01:17,00:55:47,00:00:44,00:35:00,38,01:51:01,Elite Men
Manuel,Biagiotti,ITA,27,00:19:00,00:01:28,00:54:45,00:00:43,00:35:21,39,01:51:17,Elite Men
Davide,Bargellini,ITA,44,00:18:08,00:01:26,00:55:45,00:00:42,00:35:36,40,01:51:36,Elite Men
Marco,Rivera,ESP,77,00:17:51,00:01:25,00:54:01,00:00:43,00:37:37,41,01:51:37,Elite Men
Neil,Peters,LUX,39,00:18:59,00:01:23,00:54:53,00:00:41,00:35:56,42,01:51:51,Elite Men
Diego,Paz Sobreira,ESP,52,00:18:17,00:01:15,00:55:44,00:00:42,00:35:56,43,01:51:55,Elite Men
Felix,Duchampt,FRA,17,00:19:20,00:01:17,00:57:50,00:00:36,00:33:05,44,01:52:09,Elite Men
Oleksiy,Syutkin,UKR,14,00:18:58,00:01:26,00:56:32,00:00:42,00:35:09,45,01:52:46,Elite Men
Marco,Akershoek,NED,70,00:18:37,00:01:20,00:55:17,00:00:43,00:36:58,46,01:52:55,Elite Men
Luis Miguel,Velasquez,VEN,68,00:18:08,00:01:25,00:55:40,00:00:40,00:38:27,47,01:54:20,Elite Men
Nathan,Buschkuehl,AUS,42,00:19:24,00:01:22,00:57:42,00:00:41,00:35:13,48,01:54:23,Elite Men
Douglas,Roberts,GBR,74,00:19:23,00:01:23,00:57:46,00:00:43,00:35:24,49,01:54:39,Elite Men
Massimo,De Ponti,ITA,43,00:19:18,00:01:17,00:57:55,00:00:44,00:35:45,50,01:54:59,Elite Men
Lukas,Kocar,CZE,41,00:19:19,00:01:22,00:57:50,00:00:43,00:35:55,51,01:55:08,Elite Men
Javier,Senent,ESP,48,00:19:22,00:01:24,00:57:43,00:00:43,00:36:17,52,01:55:30,Elite Men
Viktors,Vovrusko,LAT,71,00:19:14,00:01:26,00:57:52,00:00:45,00:37:08,53,01:56:26,Elite Men
Ignacio,Muller,ARG,53,00:20:36,00:01:23,00:58:31,00:00:41,00:35:51,54,01:57:03,Elite Men
Stefhan,Andersen,SWE,67,00:19:20,00:01:26,00:57:45,00:00:45,00:38:05,55,01:57:20,Elite Men
Matthew,Sharp,GBR,4,00:18:27,00:01:57,00:54:48,00:00:41,00:41:47,56,01:57:40,Elite Men
Andrew ,Hood,GBR,55,00:19:20,00:01:22,00:57:44,00:00:44,00:38:38,57,01:57:47,Elite Men
David,Castro Fajardo,ESP,56,00:19:18,00:01:26,00:59:46,00:00:39,00:37:23,58,01:58:32,Elite Men
Omar,Brons,NED,63,00:20:48,00:01:28,00:58:14,00:00:45,00:38:26,59,01:59:41,Elite Men
Russell,White,IRL,25,00:18:34,00:01:16,00:55:24,00:00:42,00:00:00,DNF,00:00:00,Elite Men
Yohann,Vincent,FRA,21,00:19:21,00:01:17,00:57:11,00:00:44,00:00:00,DNF,00:00:00,Elite Men
Oscar,Vicente,ESP,36,00:19:24,00:01:29,00:57:37,00:00:40,00:00:00,DNF,00:00:00,Elite Men
Przemyslaw,Szymanowski,POL,24,00:19:16,00:01:24,01:09:58,00:00:42,00:00:00,DNF,00:00:00,Elite Men
Rhys,Davey,GBR,75,00:18:26,00:01:24,00:55:32,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Emilio,Aguayo,ESP,76,00:18:27,00:01:22,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Cameron,Goldsmid,NZL,18,00:18:34,00:01:20,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Alejandro,Cañas,ESP,51,00:20:04,00:01:32,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
William,Jones,GBR,62,00:23:13,00:01:44,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Agnieszka,Jerzyk,POL,5,00:20:42,00:01:23,00:59:27,00:00:42,00:35:09,1,01:57:20,Elite Women
Ainhoa,Murua,ESP,1,00:19:36,00:01:23,01:00:31,00:00:51,00:35:36,2,01:57:56,Elite Women
Tamara,Gomez Garrido,ESP,26,00:20:31,00:01:23,00:59:36,00:00:43,00:35:51,3,01:58:04,Elite Women
Katrien,Verstuyft,BEL,2,00:20:38,00:01:25,00:59:29,00:00:39,00:36:18,4,01:58:30,Elite Women
Irina,Abysova,RUS,6,00:19:34,00:01:27,01:00:33,00:00:48,00:36:14,5,01:58:36,Elite Women
Zsofia,Kovacs,HUN,14,00:20:27,00:01:23,00:59:43,00:00:43,00:36:40,6,01:58:57,Elite Women
Mariya,Shorets,RUS,3,00:19:58,00:01:27,01:00:06,00:00:43,00:36:46,7,01:59:01,Elite Women
Emmie,Charayron,FRA,4,00:20:17,00:01:23,00:59:49,00:00:42,00:37:05,8,01:59:16,Elite Women
Charlotte,Bonin,ITA,12,00:19:36,00:01:32,01:00:20,00:00:42,00:37:09,9,01:59:20,Elite Women
Anne,Tabarant,FRA,21,00:19:34,00:01:34,01:00:20,00:00:43,00:37:12,10,01:59:24,Elite Women
Carolina,Routier,ESP,10,00:19:29,00:01:24,01:00:37,00:00:41,00:37:15,11,01:59:27,Elite Women
Michelle,Flipo,MEX,19,00:20:34,00:01:32,00:59:23,00:00:47,00:37:12,12,01:59:28,Elite Women
Lucy,Hall,GBR,23,00:19:15,00:01:28,01:00:26,00:00:47,00:37:51,13,01:59:47,Elite Women
Lydia,Waldmüller,AUT,15,00:20:20,00:01:24,00:59:48,00:00:48,00:37:30,14,01:59:50,Elite Women
Margit,Vanek,HUN,9,00:19:34,00:01:33,01:00:25,00:00:47,00:37:33,15,01:59:52,Elite Women
Elena Maria,Petrini,ITA,24,00:19:54,00:01:31,01:00:05,00:00:45,00:38:11,16,02:00:26,Elite Women
Anastasia,Abrosimova,RUS,22,00:19:32,00:01:29,01:00:31,00:00:51,00:38:14,17,02:00:36,Elite Women
Melina,Alonso,ESP,30,00:20:31,00:01:20,00:00:00,00:00:00,00:00:00,18,02:01:06,Elite Women
Anna,Godoy Contreras,ESP,25,00:19:32,00:01:24,01:00:37,00:00:45,00:39:52,19,02:02:10,Elite Women
Aida,Valiño,ESP,27,00:19:58,00:01:30,01:00:04,00:00:48,00:40:03,20,02:02:23,Elite Women
Hannah,Drewett,GBR,40,00:19:36,00:01:28,01:00:29,00:00:44,00:40:18,21,02:02:34,Elite Women
