COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,COOS COUNTY/BALLOTS CAST,,,,
"Sept. 14, 2010",Republican,Republican,Republican,Democratic,Democratic,Democratic,,,,
,Regular,Absentee,Total,Regular,Absentee,Total,,,,
Atkinson & Gilmanton Academy Grant,0,0,0,0,0,0,,,,no votes cast
Bean's Grant,0,0,0,0,0,0,,,,no votes cast
Bean's Purchase,0,0,0,0,0,0,,,,no votes cast
Berlin Ward 1,119,1,120,172,2,174,,,,
Berlin Ward 2,128,0,128,217,4,221,,,,
Berlin Ward 3,212,16,228,227,22,249,,,,
Berlin Ward 4,104,0,104,193,1,194,,,,
Cambridge,1,0,1,0,0,0,,,,no votes cast
Carroll,89,6,95,41,3,44,,,,
Chandler's Purchase,0,0,0,0,0,0,,,,no votes cast
Clarksville,39,3,42,13,0,13,,,,
Colebrook,251,7,258,74,2,76,,,,
Columbia,87,2,89,11,2,13,,,,
Crawford's Purchase,0,0,0,0,0,0,,,,no votes cast
Cutt's Grant,0,0,0,0,0,0,,,,no votes cast
Dalton,97,2,99,40,2,42,,,,
Dix's Grant,0,0,0,0,0,0,,,,no votes cast
Dixville,4,2,6,4,1,5,,,,
Dummer,40,0,40,10,2,12,,,,
Errol,50,0,50,22,0,22,,,,
Erving's Location,0,0,0,0,0,0,,,,no votes cast
Gorham,206,5,211,216,4,220,,,,
Green's Grant,0,0,0,0,0,0,,,,no votes cast
Hadley's Purchase,0,0,0,0,0,0,,,,no votes cast
Jefferson,158,12,170,51,3,54,,,,
Kilkenny,0,0,0,0,0,0,,,,no votes cast
Lancaster,345,16,361,149,11,160,,,,
Low & Burbank's Grant,0,0,0,0,0,0,,,,no votes cast
Martin's Location,0,0,0,0,0,0,,,,no votes cast
Milan,146,3,149,81,1,82,,,,
Millsfield,11,0,11,2,0,2,,,,
Northumberland,135,1,136,110,9,119,,,,
Odell,0,0,0,0,0,0,,,,no votes cast
Pinkham's Grant,0,0,0,0,1,1,,,,no votes cast
Pittsburg,107,3,110,24,0,24,,,,
Randolph,32,8,40,42,9,51,,,,
Sargents Purchase,0,0,0,0,0,0,,,,no votes cast
Second College Grant,0,0,0,0,0,0,,,,no votes cast
Shelburne,46,1,47,29,1,30,,,,
Stark,50,1,51,17,0,17,,,,
Stewartstown,76,3,79,19,0,19,,,,
Stratford,42,1,43,23,0,23,,,,
Success,0,0,0,0,0,0,,,,no votes cast
Thompson & Meserve's Pur.,0,0,0,0,0,0,,,,no votes cast
Wentworth's Location,4,0,4,0,0,0,,,,
Whitefield,194,15,209,110,3,113,,,,
Totals,2773,108,2881,1897,83,1980,,,,
