,Nov 2,Nov 9,Nov 16,Nov 23,Nov 30
Total Interest Rates*,N/A***,,,,
Cleared**,,,,,
Uncleared,,,,,
Total Cross-Currency,,,,,
Cleared,,,,,
Uncleared,,,,,
Total Credit,,,,,
Cleared,,,,,
Uncleared,,,,,
Total Equities,2527141,2520234,2530602,2534908,2544943
Cleared,,,,,
Uncleared,,,,,
Total Commodities,,,,,
Cleared,,,,,
Uncleared,,,,,
TOTAL,,,,,
"Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types.","Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types.","Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types.","Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types.","Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types.","Weekly snapshot, estimated net notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types."
*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.
**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
