ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Zvonko,Cubric,CRO,2,00:18:19,00:00:46,00:55:16,00:00:24,00:33:18,1,01:48:04
Alberto,Alessandroni,ITA,5,00:18:22,00:00:48,00:55:14,00:00:24,00:33:40,2,01:48:27
Yohann,Vincent,FRA,17,00:18:44,00:00:43,00:57:47,00:00:24,00:32:18,3,01:49:59
Andreas,Giglmayr,AUT,11,00:18:44,00:00:43,00:57:47,00:00:26,00:32:27,4,01:50:10
Richard,Varga,SVK,12,00:17:59,00:00:48,00:55:36,00:00:24,00:35:35,5,01:50:22
Daniel,Hofer,ITA,4,00:18:41,00:00:43,00:57:51,00:00:21,00:33:53,6,01:51:32
Thomas,Springer,AUT,6,00:19:18,00:00:43,00:58:57,00:00:26,00:32:15,7,01:51:43
Danilo,Brustolon,ITA,3,00:19:26,00:00:43,00:58:56,00:00:24,00:32:56,8,01:52:25
Peter,Bajai,HUN,7,00:18:34,00:00:48,00:57:55,00:00:27,00:34:44,9,01:52:30
Manuel,Canuto,ITA,28,00:18:45,00:00:43,00:57:47,00:00:24,00:34:52,10,01:52:32
David,Plese,SLO,18,00:20:12,00:00:43,00:57:37,00:00:21,00:33:45,11,01:52:40
Bojan,Cebin,SLO,13,00:20:11,00:00:46,00:58:10,00:00:24,00:33:32,12,01:53:02
Felix,Duchampt,FRA,30,00:20:04,00:00:43,00:58:16,00:00:21,00:33:45,13,01:53:11
Luca,Facchinetti,ITA,31,00:18:28,00:00:48,00:58:00,00:00:24,00:36:00,14,01:53:42
Soren,Binderup,DEN,9,00:19:23,00:00:51,00:58:54,00:00:21,00:34:23,15,01:53:54
Martin,Hubacek,SVK,32,00:19:43,00:00:46,00:58:42,00:00:26,00:35:22,16,01:54:58
Peter,Czencz (1982),HUN,21,00:19:21,00:00:56,00:58:51,00:00:26,00:35:47,17,01:55:23
Philippe,Malcom,BEL,35,00:20:04,00:00:48,00:58:17,00:00:24,00:36:28,18,01:56:01
Vladimir,Savic,SRB,20,00:19:23,00:00:53,00:58:54,00:00:31,00:36:58,19,01:56:40
Uros,Seme,SLO,40,00:18:38,00:00:51,00:59:37,00:00:26,00:37:22,20,01:56:56
Matija,Lukina,CRO,19,00:18:40,00:00:51,00:59:34,00:00:24,00:37:32,21,01:57:00
Matej,Sporar,CRO,41,00:20:14,00:00:46,01:01:39,00:00:21,00:34:46,22,01:57:48
Gordan,Petkovic,CRO,16,00:21:21,00:00:48,01:00:32,00:00:20,00:35:49,23,01:58:51
Andrej,Vistica,CRO,42,00:22:05,00:00:48,01:01:44,00:00:26,00:37:04,24,02:02:07
Ivo,Maric,CRO,36,00:20:04,00:00:51,01:01:48,00:00:21,00:40:14,25,02:03:19
Christoph,Kullnig,AUT,33,00:20:51,00:00:51,01:00:59,00:00:24,00:41:21,26,02:04:28
Gabor,Faldum,HUN,10,00:18:49,00:00:46,00:59:34,00:00:28,00:00:00,DNF,00:00:00
Martin,Jandl,AUT,27,00:19:17,00:00:43,00:59:07,00:00:24,00:00:00,DNF,00:00:00
Matia,Milovan,CRO,37,00:20:00,00:00:46,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Dann,Brook,GBR,8,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Benjamin,Christophers,NZL,29,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Luciano,Farias,ARG,25,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Joseph,Lampe,AUS,34,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Yulian,Malyshev,RUS,23,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Erih,Pecnik,SLO,38,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
John,Polson,AUS,39,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Paul,Reitmayr,AUT,15,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Jonathan,Small,DEN,14,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Manuel,Wyss,SUI,22,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
