property_name_text,address_line1_text,address_line2_text,city_name_text,state_code,zip_code,county_name_text,property_on_site_phone_number,fha_number,contract_number,soa_description_text,property_category_name,client_group_name,client_group_type,total_assisted_unit_count,total_unit_count,owner_contact_indv_full_name,owner_organization_name,owner_address_line1,owner_address_line2,owner_city_name,owner_state_code,owner_zip_code,owner_zip4_code,owner_main_phone_number_text,owner_main_fax_number_text,owner_email_text,mgmt_contact_full_name,mgmt_agent_org_name,mgmt_agent_address_line1,mgmt_agent_address_line2,mgmt_agent_city_name,mgmt_agent_state_code,mgmt_agent_zip_code,mgmt_agent_zip4_code,mgmt_agent_main_phone_number,mgmt_agent_main_fax_number,mgmt_agent_email_text,project_manager_name_text,hub_name_text,servicing_site_name_text
Aaniyak Senior Housing,217 Airport Rd,,ANAKTUVUK PASS,AK,99721,North Slope,907-661-3113,176EE030,AK06S021005,202 Capital Advance for Elderly,202/811,,,5,5,Larry Burris,"Aaniyak, Inc.",3026 Main Street,P.O. Box 21014,Anaktuvuk Pass,AK,99721,,907-661-3266,,need_email@hud.gov,Daryl Kooley,Tagiugmiullu Nunamiullu Housing Authority,PO Box 409,,Barrow,AK,99723,0409,907-852-7150,907-852-2038,wendy.knight@tnha.net,KATHY CLAIBORNE,Seattle,Anchorage
AASC Housing I,420 East 11th Avenue,,ANCHORAGE,AK,99501,Anchorage,907-677-0940,176HD013,AK06Q971001,811 Capital Advance for Disabled,202/811,Wholly developmentally disabled,Disabled,7,9,Bill Inscho,"AASC Housing I, Inc.",PO Box 202222,,Anchorage,AK,99520,,(907) 777-3577,,matt_jones@assetsinc.org,Michaela Sisson,NeighborWorks Anchorage,480 West Tudor Road,,ANCHORAGE,AK,99503,0000,(907) 677-8490,(907) 677-8450,dmahoney@nwanchorage.org,KATHY CLAIBORNE,Seattle,Anchorage
ALPINE APARTMENTS,5210 MOCKINGBIRD DR.,Attn:  Office,ANCHORAGE,AK,99507,Anchorage,(907)561-2930,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,384,Ben Katon,Walter Weidner,C/O 9757 Juanita Dr NE,Ste 300,Kirkland,WA,98034,,(206) 821-3844,,need_email@hud.gov,Don Castor,Weidner Investment Services,9757 Juanita Dr NE,Ste 300,Kirkland,WA,98034,,(907) 561-5211,(907) 561-8013,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
Andrew Housing Apartments,4612 Camilla CT,,ANCHORAGE,AK,99508,Anchorage,907-272-0643,176HD004,AK06Q931001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,9,9,Matthew Jones,Andrew Housing Company,2330 Nichols St.,,Anchorage,AK,99508,,907-279-6617,,matt_jones@assetsinc.org,Michaela Sisson,NeighborWorks Anchorage,480 West Tudor Road,,ANCHORAGE,AK,99503,0000,(907) 677-8490,(907) 677-8450,dmahoney@nwanchorage.org,KATHY CLAIBORNE,Seattle,Anchorage
Andrew J. Flodin Apartments,2980 Mack Boulevard,,Fairbanks,AK,99709,Fairbanks North Star,,176HD034,,811 Capital Advance for Disabled,202/811,,,0,0,,,,,,,,,,,,,,,,,,,,,,,LEONA L BLANKENSHIP,Seattle,Anchorage
Aurora Commons,322 North Tyee,,SOLDOTNA,AK,99669,Kenai Peninsula,907-260-3691,176HD016,AK06Q981002,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,5,5,Will Rodgers,"Tyee HUD 811 Housing, Incorporated",230 East Marydale Ave Suite 2,,Soldotna,AK,99669,,907-283-7412,,lacrafton@pchsak.org,Sheila Brooks,Peninsula Community Health Services,230 E. Marydale Avenue suite 2,,Soldotna,AK,99669,,(907) 260-7300,(907) 260-7301,ssteadman@pchsak.org,KATHY CLAIBORNE,Seattle,Anchorage
AYALPIK APARTMENTS,105 Atsaq,,BETHEL,AK,99559,Bethel,907-543-3121,17635039,AK020006001,223(a)(7) Refi of 221d3 Market Rate,Insured-Subsidized,Wholly Elderly Housekeeping,Elderly,23,24,Ron Hoffman,AVCP Development Corporation,Post Office Box 767,,Bethel,AK,99559,0000,907-543-3121,907-543-2270,need_email@hud.gov,Ron Hoffman,AVCP Housing Authority,Post Office Box 767,,Bethel,AK,99559,0000,907-543-3121,907-543-2270,need_email@hud.gov,KATHY CLAIBORNE,Seattle,Anchorage
BAYSIDE APARTMENTS,1011 Fourth Street,,SEWARD,AK,99664,Kenai Peninsula,907-224-5767,,AK02M000022,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,36,36,Brad Elg,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,KATHY CLAIBORNE,Seattle,Anchorage
BAYSIDE APARTMENTS,1011 Fourth Street,,SEWARD,AK,99664,Kenai Peninsula,907-224-5767,,AK02M000010,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,36,36,Brad Elg,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,KATHY CLAIBORNE,Seattle,Anchorage
BOUNDARY MANOR,110 OKLAHOMA,,ANCHORAGE,AK,99504,Anchorage,(907)338-4843,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,68,,Walter Weidner,C/O 9757 Juanita Dr NE,Ste 300,Kirkland,WA,98034,,(206) 821-3844,,need_email@hud.gov,Larry D. Beathe,Larry Beathe,1710 Scenic Way,,Anchorage,AK,99501,,(907) 337-6784,,unknown@aol.com,LEONA L BLANKENSHIP,Seattle,Anchorage
