Undergraduate Students by Department/Centre & Faculty,,,,,,,,,
Fall 2010 and Fall 2011,,,,,,,,,
,,,,,,,,,
DEPARTMENT/,"Fall, 2010","Fall, 2010","Fall, 2010","Fall, 2011","Fall, 2011","Fall, 2011",Difference,,
FACULTY,FT,PT,Total,FT,PT,Total,FT,PT,Total
Community Health Sciences,542,22,564,597.5,33.5,631,55.5,11.5,67
Nursing,263,58,321,312,32,344,49,-26,23
Kinesiology,976.5,41,1017.5,1040.5,41,1081.5,64,0,64
Recreation & Leisure Studies,402,39,441,388,42,430,-14,3,-11
Sport Management,410,17,427,443,20,463,33,3,36
APPLIED HEALTH SCIENCES,2593.5,177,2770.5,2781,168.5,2949.5,187.5,-8.5,179
BACC,902,146,1048,838,205,1043,-64,59,-5
BBA,1281,149,1430,1362,149,1511,81,0,81
"Other (Combined Majors, Certificates)",58.5,3.5,62,34.5,6,40.5,-24,2.5,-21.5
BUSINESS,2241.5,298.5,2540,2234.5,360,2594.5,-7,61.5,54.5
Adult Edu. & Community Outreach,27,323,350,18,319,337,-9,-4,-13
Continuing Studies (In-Service),1,251,252,,182,182,-1,-69,-70
Graduate & Undergrad. Studies (PMPC),28,1,29,31,,31,3,-1,2
Tecumseh Centre for Aboriginal Rsch & Edu.,2,11,13,10,33,43,8,22,30
Teacher Education (Incl. BECE),642,,642,676,12,688,34,12,46
EDUCATION,700,586,1286,735,546,1281,35,-40,-5
Applied Linguistics,251.49999999999991,24,275.4999999999999,240.00000000000003,15,255.00000000000003,-11.499999999999886,-9,-20.499999999999858
Canadian Studies,9,,9,6.5,1,7.5,-2.5,1,-1.5
Classics,94.49999999999999,9,103.49999999999999,86.99999999999999,8,94.99999999999999,-7.5,-1,-8.5
Studies in Arts and Culture,29,3,32,23,2,25,-6,-1,-7
Dramatic Arts,213.5,9.5,223,218,7.5,225.5,4.5,-2,2.5
English Language & Literature,482,38.49999999999999,520.5,423.49999999999983,42.50000000000001,465.99999999999983,-58.50000000000017,4.000000000000014,-54.50000000000017
Liberal Arts (former Great Books/Liberal Studies),11,3,14,10,2.5,12.5,-1,-0.5,-1.5
History,398.99999999999994,48.49999999999999,447.49999999999994,428.5000000000002,36,464.5000000000002,29.500000000000284,-12.499999999999993,17.000000000000284
"Modern Lang.,Lit. & Cultures",125.49999999999999,18.499999999999996,143.99999999999997,118.49999999999999,13,131.5,-7,-5.4999999999999964,-12.499999999999972
Music,55,4,59,48.49999999999999,3.5,51.99999999999999,-6.500000000000007,-0.5,-7.000000000000007
Philosophy,90.99999999999999,7,97.99999999999999,76.49999999999999,14,90.49999999999999,-14.5,7,-7.5
"Popular Culture (MA, Joint With  SOSC)",,,,,,,,,
Visual Arts,154.4999999999999,13,167.4999999999999,142.99999999999994,11,153.99999999999994,-11.499999999999943,-2,-13.499999999999943
Interactive Arts and Sciences,61.5,1,62.5,65.50000000000001,1,66.50000000000001,4.000000000000014,0,4.000000000000014
Medieval and Renaissance Studies,20,1,21,27,2,29,7,1,8
General Studies (Humanities),274,137,411,294,136,430,20,-1,19
Concurrent BA Integrated Studies/BEd,378,6,384,414,,414,36,-6,30
PhD in Interdisciplinary Humanities,,,,,,,,,
HUMANITIES,2649,323,2972,2623.5,295,2918.5,-25.5,-28,-53.5
Biochemistry,60,7,67,76,3,79,16,-4,12
Biological Sciences,286.5,24,310.5,337,23,360,50.5,-1,49.5
Biotechnology,29,3,32,26,1,27,-3,-2,-5
Chemistry,45.99999999999999,10,55.99999999999999,61.5,8.5,70,15.500000000000007,-1.5,14.000000000000007
Computer Science,159.99999999999994,18.999999999999996,178.99999999999994,183.00000000000009,23.499999999999996,206.50000000000009,23.000000000000142,4.5,27.500000000000142
Earth Sciences,63.99999999999999,6.5,70.5,63.99999999999999,8.5,72.5,0,2,2
Mathematics,174.00000000000003,7,181.00000000000003,168.00000000000009,6,174.00000000000009,-5.999999999999943,-1,-6.999999999999943
Neuroscience (Joint with SOSC),36.25,1,37.25,40.5,1.5,42,4.25,0.5,4.75
Oenology & Viticulture,36,4,40,29,5,34,-7,1,-6
Physics,51.49999999999998,8.5,59.99999999999998,52.50000000000001,11.500000000000002,64.00000000000001,1.0000000000000284,3.0000000000000018,4.0000000000000355
Undeclared Science,228,33,261,272,24,296,44,-9,35
MATHEMATICS & SCIENCES,1171.25,123,1294.25,1309.5000000000002,115.5,1425.0000000000002,138.25000000000023,-7.5,130.75000000000023
Applied Disability Studies,,,,,,,,,
Business Economics,142,7,149,153,12,165,11,5,16
Child and Youth Studies ,731.5000000000003,31.999999999999996,763.5000000000003,752,25.499999999999996,777.5,20.49999999999966,-6.5,13.999999999999659
"Communications, Popular Culture & Film",532.0000000000001,37,569.0000000000001,549.5000000000002,42.5,592.0000000000002,17.500000000000114,5.5,23.000000000000114
Economics,177.49999999999997,22,199.49999999999997,171,39.99999999999999,211,-6.499999999999972,17.999999999999993,11.500000000000028
Tourism and Environment,153,10,163,149,12,161,-4,2,-2
Geography,253.00000000000009,21.999999999999996,275.00000000000006,213.99999999999997,25.5,239.49999999999997,-39.000000000000114,3.5000000000000036,-35.500000000000085
Labour Studies,16.5,3.5,20,22.5,3.5,26,6,0,6
Neuroscience (Joint with MASC),36.25,1,37.25,40.5,1.5,42,4.25,0.5,4.75
Political Science,425.49999999999983,49,474.49999999999983,381.00000000000006,48.5,429.50000000000006,-44.49999999999977,-0.5,-44.99999999999977
Psychology,700.0000000000001,59,759.0000000000001,713.9999999999998,66.49999999999999,780.4999999999998,13.999999999999659,7.499999999999986,21.49999999999966
Social Justice and Equity Studies,,,,,,,,,
Sociology,539.5000000000001,62.5,602.0000000000001,510.0000000000001,48.5,558.5000000000001,-29.5,-14,-43.5
Women's Studies,22,7.5,29.5,23,7,30,1,-0.5,0.5
General Studies (Social Sciences),424,132,556,426,114,540,2,-18,-16
SOCIAL SCIENCES,4152.75,444.5,4597.25,4105.5,447,4552.5,-47.25,2.5,-44.75
Undeclared Arts,521,117,638,613,105,718,92,-12,80
Letter of Permission,24,76,100,18,72,90,-6,-4,-10
Non-Degrees,24,112,136,19,100,119,-5,-12,-17
Auditors,,7,7,,8,8,,1,1
EXTRA FACULTY,569,312,881,650,285,935,81,-27,54
UNIVERSITY TOTAL,14077,2264,16341,14439,2217,16656,362,-47,315
Note: There are 0.5s because of the split of enrollment of combined majors,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
