 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-13,15,Charlotte,3,Houston,1,Final ,"Toyota Center Houston, TX"
2012-10-14,24,Houston,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-10-19,34,Texas,1,Houston,5,Final ,"Toyota Center Houston, TX"
2012-10-20,54,Houston,5,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-21,59,Milwaukee,5,Houston,4,Final OT ,"Toyota Center Houston, TX"
2012-10-26,77,Houston,6,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-27,87,Milwaukee,0,Houston,4,Final ,"Toyota Center Houston, TX"
2012-11-02,115,Houston,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-03,126,Houston,4,Oklahoma City,3,Final SO ,"Cox Convention Center Oklahoma City, OK"
2012-11-04,134,Grand Rapids,2,Houston,1,Final SO ,"Toyota Center Houston, TX"
2012-11-08,145,Toronto,6,Houston,4,Final ,"Toyota Center Houston, TX"
2012-11-09,151,Lake Erie,5,Houston,4,Final SO ,"Toyota Center Houston, TX"
2012-11-11,174,Texas,4,Houston,2,Final ,"Toyota Center Houston, TX"
2012-11-13,180,Houston,7,San Antonio,5,Final ,"AT&T Center San Antonio, TX"
2012-11-16,197,Houston,1,Rockford,2,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-18,215,Rockford,2,Houston,3,Final *,"Xcel Energy Center St. Paul, MN"
2012-11-23,237,Houston,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-11-25,258,Abbotsford,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2012-11-29,269,Oklahoma City,1,Houston,2,Final SO ,"Toyota Center Houston, TX"
2012-11-30,275,Oklahoma City,3,Houston,4,Final ,"Toyota Center Houston, TX"
2012-12-07,319,Houston,2,Texas,1,Final OT ,"Cedar Park Center Cedar Park, TX"
2012-12-09,337,Peoria,3,Houston,2,Final ,"Toyota Center Houston, TX"
2012-12-11,344,San Antonio,1,Houston,5,Final ,"Toyota Center Houston, TX"
2012-12-14,357,Houston,2,Charlotte,3,Final SO ,"Time Warner Cable Arena Charlotte, NC"
2012-12-15,369,Houston,0,Charlotte,3,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-12-16,380,Oklahoma City,3,Houston,4,Final SO ,"Toyota Center Houston, TX"
2012-12-20,399,Houston,3,Lake Erie,4,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-22,417,Houston,2,Lake Erie,5,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-26,427,Texas,3,Houston,4,Final OT ,"Toyota Center Houston, TX"
2012-12-28,442,Charlotte,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2012-12-29,455,Houston,1,San Antonio,2,Final OT ,"AT&T Center San Antonio, TX"
2013-01-01,474,Oklahoma City,2,Houston,4,Final ,"Toyota Center Houston, TX"
2013-01-04,483,Texas,2,Houston,1,Final ,"Toyota Center Houston, TX"
2013-01-05,496,San Antonio,0,Houston,1,Final ,"Toyota Center Houston, TX"
2013-01-06,512,Houston,3,Texas,4,Final OT ,"Cedar Park Center Cedar Park, TX"
2013-01-11,531,Houston,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-12,540,Lake Erie,3,Houston,2,Final ,"Toyota Center Houston, TX"
2013-01-13,550,Charlotte,2,Houston,1,Final OT ,"Toyota Center Houston, TX"
2013-01-19,578,Houston,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-01-20,595,Houston,2,Peoria,6,Final ,"Carver Arena Peoria, IL"
2013-01-23,603,Houston,3,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-01-25,611,Houston,1,Grand Rapids,0,Final ,"Van Andel Arena Grand Rapids, MI"
2013-01-26,625,Houston,5,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-02-01,641,Texas,2,Houston,1,Final ,"Toyota Center Houston, TX"
2013-02-03,664,Rockford,2,Houston,3,Final ,"Toyota Center Houston, TX"
2013-02-04,665,San Antonio,5,Houston,2,Final ,"Toyota Center Houston, TX"
2013-02-06,674,Houston,0,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-02-08,678,Houston,5,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-02-09,693,Houston,2,Rockford,0,Final ,"BMO Harris Bank Center Rockford, IL"
2013-02-12,712,Houston,2,Texas,1,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-02-15,726,Houston,3,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-16,735,Houston,2,Hamilton,4,Final ,"Copps Coliseum Hamilton, ON"
2013-02-18,757,Houston,2,Toronto,1,Final SO ,"Ricoh Coliseum Toronto, ON"
2013-02-22,770,Houston,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-02-23,780,Oklahoma City,1,Houston,2,Final ,"Toyota Center Houston, TX"
2013-03-01,805,Houston,2,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-03-02,816,Houston,5,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-03-09,863,Houston,1,Charlotte,2,Final SO ,"Time Warner Cable Arena Charlotte, NC"
2013-03-10,874,Houston,5,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-03-14,894,Abbotsford,1,Houston,4,Final ,"Toyota Center Houston, TX"
2013-03-15,901,Houston,2,San Antonio,4,Final ,"AT&T Center San Antonio, TX"
2013-03-21,932,Charlotte,1,Houston,4,Final ,"Toyota Center Houston, TX"
2013-03-22,939,Houston,3,Oklahoma City,2,Final ,"Cox Convention Center Oklahoma City, OK"
2013-03-23,949,Rochester,3,Houston,2,Final SO ,"Toyota Center Houston, TX"
2013-03-26,969,Texas,7,Houston,6,Final OT ,"Toyota Center Houston, TX"
2013-03-29,987,Grand Rapids,3,Houston,2,Final ,"Toyota Center Houston, TX"
2013-04-02,1008,Grand Rapids,5,Houston,1,Final ,"Toyota Center Houston, TX"
