Texas Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-13,18,Texas,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-14,26,Charlotte,3,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2012-10-19,34,Texas,1,Houston,5,Final ,"Toyota Center Houston, TX"
2012-10-20,54,Houston,5,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-21,63,Lake Erie,4,Texas,0,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-24,70,Milwaukee,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-28,99,Texas,2,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-03,129,Grand Rapids,4,Texas,1,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-09,157,Toronto,3,Texas,0,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-10,169,Lake Erie,5,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2012-11-11,174,Texas,4,Houston,2,Final ,"Toyota Center Houston, TX"
2012-11-15,187,San Antonio,0,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-17,211,Charlotte,0,Texas,1,Final SO ,"Cedar Park Center Cedar Park, TX"
2012-11-21,227,Oklahoma City,6,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-23,239,Abbotsford,1,Texas,0,Final OT ,"Cedar Park Center Cedar Park, TX"
2012-11-25,260,Texas,5,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-11-27,264,Texas,5,Rockford,4,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-30,273,Texas,3,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-01,289,Texas,2,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-02,301,Texas,4,Peoria,3,Final SO ,"Carver Arena Peoria, IL"
2012-12-05,308,Texas,2,Milwaukee,1,Final OT ,"BMO Harris Bradley Center Milwaukee, WI"
2012-12-07,319,Houston,2,Texas,1,Final OT ,"Cedar Park Center Cedar Park, TX"
2012-12-08,329,Peoria,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-14,355,Texas,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-15,366,Texas,1,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-19,397,San Antonio,0,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-21,406,Texas,3,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2012-12-22,420,Texas,2,Oklahoma City,6,Final ,"Cox Convention Center Oklahoma City, OK"
2012-12-26,427,Texas,3,Houston,4,Final OT ,"Toyota Center Houston, TX"
2012-12-27,436,Oklahoma City,5,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-29,458,Charlotte,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-31,469,Texas,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2013-01-04,483,Texas,2,Houston,1,Final ,"Toyota Center Houston, TX"
2013-01-05,501,Peoria,2,Texas,5,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-06,512,Houston,3,Texas,4,Final OT ,"Cedar Park Center Cedar Park, TX"
2013-01-11,531,Houston,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-12,546,San Antonio,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-13,552,Texas,3,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2013-01-16,562,Texas,1,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2013-01-18,567,Texas,6,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2013-01-19,583,Texas,8,Peoria,4,Final *,"Carver Arena Peoria, IL"
2013-01-21,598,Texas,6,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2013-01-25,618,Texas,1,San Antonio,2,Final OT ,"AT&T Center San Antonio, TX"
2013-01-26,632,San Antonio,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-02-01,641,Texas,2,Houston,1,Final ,"Toyota Center Houston, TX"
2013-02-05,671,Rockford,5,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-02-09,688,Texas,1,Hamilton,2,Final ,"Copps Coliseum Hamilton, ON"
2013-02-10,707,Texas,3,Toronto,2,Final ,"Ricoh Coliseum Toronto, ON"
2013-02-12,712,Houston,2,Texas,1,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-02-15,728,Oklahoma City,3,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-02-16,741,Oklahoma City,0,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-02-20,761,Texas,5,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-22,768,Texas,4,Lake Erie,3,Final SO ,"Quicken Loans Arena Cleveland, OH"
2013-02-23,781,Texas,4,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2013-02-26,800,Texas,2,Oklahoma City,3,Final ,"Cox Convention Center Oklahoma City, OK"
2013-03-01,814,Chicago,2,Texas,0,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-02,827,Oklahoma City,5,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-03-05,843,Chicago,4,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-08,859,San Antonio,5,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2013-03-13,891,Abbotsford,3,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-15,896,Texas,7,Charlotte,3,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-03-17,916,Texas,2,Charlotte,3,Final OT ,"Time Warner Cable Arena Charlotte, NC"
2013-03-19,928,San Antonio,3,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-22,944,Rochester,1,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-23,957,Charlotte,4,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-26,969,Texas,7,Houston,6,Final OT ,"Toyota Center Houston, TX"
2013-03-30,1005,Grand Rapids,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-04-05,1029,Oklahoma City,3,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-04-06,1040,Hamilton,2,Texas,1,Final ,"Cedar Park Center Cedar Park, TX"
2013-04-07,1051,Texas,5,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2013-04-11,1060,Texas,3,Charlotte,4,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-04-12,1065,Texas,3,Charlotte,2,Final OT ,"Time Warner Cable Arena Charlotte, NC"
2013-04-14,1093,Texas,8,San Antonio,2,Final ,"AT&T Center San Antonio, TX"
2013-04-16,1098,Texas,3,San Antonio,2,Final SO ,"AT&T Center San Antonio, TX"
2013-04-19,1114,Houston,4,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-04-20,1128,Rockford,5,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
