ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Benny,Vansteelant,BEL,6,00:32:23,00:00:26,01:05:12,00:00:33,00:17:49,1,01:56:26
Rob,Woestenborghs,BEL,7,00:32:22,00:00:25,01:06:36,00:00:31,00:16:57,2,01:56:53
Tom,Lowe,GBR,9,00:32:21,00:00:28,01:06:59,00:00:28,00:16:37,3,01:56:58
Joerie,Vansteelant,BEL,28,00:33:34,00:00:28,01:05:19,00:00:40,00:17:27,4,01:57:32
Alessio,Picco,ITA,41,00:32:20,00:00:31,01:07:00,00:00:28,00:17:21,5,01:57:43
Damien,Derobert,FRA,10,00:32:24,00:00:27,01:07:04,00:00:35,00:17:28,6,01:58:00
Andreas,Sutz,SUI,43,00:32:50,00:00:26,01:06:35,00:00:40,00:17:33,7,01:58:06
Kris,Coddens,BEL,25,00:33:35,00:00:28,01:05:52,00:00:31,00:17:52,8,01:58:22
Lino,Barruncho,POR,1,00:32:15,00:00:25,01:07:14,00:00:32,00:18:13,9,01:58:42
Stéphane,Valenti,FRA,5,00:32:22,00:00:27,01:07:04,00:00:43,00:18:32,10,01:59:12
Victor Manuel,Del Corral Morales,ESP,15,00:33:24,00:00:27,01:06:19,00:00:40,00:18:33,11,01:59:28
Anthony,Le Duey,FRA,44,00:33:15,00:00:28,01:08:13,00:00:37,00:17:40,12,02:00:15
Sergio,Lorenzo Prieto,ESP,37,00:33:13,00:00:27,01:08:32,00:00:39,00:17:43,13,02:00:37
Sergio,Silva,POR,3,00:31:45,00:00:28,01:09:54,00:00:32,00:18:31,14,02:01:13
David,Senn,SUI,23,00:34:23,00:00:30,01:07:20,00:00:41,00:18:20,15,02:01:16
Thierry,Huebsch,LUX,35,00:32:45,00:00:27,01:10:24,00:00:40,00:17:37,16,02:01:56
Phil,Anthony,GBR,38,00:33:26,00:00:31,01:09:43,00:00:33,00:17:57,17,02:02:13
Stephan,Wenk,SUI,18,00:34:06,00:00:27,01:09:02,00:00:30,00:18:22,18,02:02:29
Benito,De Torres,ESP,32,00:34:01,00:00:28,01:09:08,00:00:38,00:18:30,19,02:02:48
Wim,Nieuwkerk,NED,42,00:34:04,00:00:27,01:08:46,00:00:24,00:19:25,20,02:03:08
Philip,Wylie,GBR,33,00:32:23,00:00:28,01:12:13,00:00:28,00:18:07,21,02:03:45
Nakata,Takashi,JPN,4,00:32:41,00:00:26,01:11:03,00:00:36,00:19:34,22,02:04:23
Christian,Madsen,DEN,17,00:33:17,00:00:23,01:10:25,00:00:28,00:20:17,23,02:04:54
Alessandro,Lambruschini,ITA,12,00:32:39,00:00:27,01:12:58,00:00:47,00:19:11,24,02:06:05
Matt,Moorhouse,GBR,16,00:34:41,00:00:31,01:12:14,00:00:35,00:19:21,25,02:07:24
James,Attard,AUS,20,00:34:41,00:00:25,01:12:16,00:00:33,00:19:55,26,02:07:53
Raul,Gomez Delgado,ESP,40,00:35:16,00:00:32,01:14:41,00:00:43,00:19:15,27,02:10:30
Zden&#283;k,Morav&#269;ík,CZE,0,00:36:47,00:00:41,01:15:05,00:00:50,00:19:23,28,02:12:50
Matthew,Wilson,IRL,31,00:35:47,00:00:27,01:18:46,00:00:36,00:20:03,29,02:15:42
Brian,Thursby-Pelham,IRL,36,00:35:04,00:00:38,01:19:03,00:00:36,00:21:20,30,02:16:44
Daniel,Gassner,LIE,19,00:40:42,00:00:41,01:21:37,00:00:36,00:23:45,31,02:27:22
Raphael,Baugh,AUS,14,00:32:20,00:00:33,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Mark,Dempsey,IRL,39,00:37:17,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Laurent,Galinier,FRA,8,00:32:39,00:00:25,01:08:21,00:01:02,00:00:00,DNF,00:00:00
Javier,Garcia,ESP,2,00:32:45,00:00:30,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Benjamin,Grenetier,FRA,11,00:32:24,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jan,Kubicek,CZE,34,00:34:05,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Art,Mac Manusa,IRL,24,00:37:17,00:00:32,01:13:51,00:00:36,00:00:00,DNF,00:00:00
Jonathan,Post,GER,26,00:33:44,00:00:25,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Kairn,Stone,GBR,27,00:32:20,00:00:24,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Yohann,Vincent,FRA,22,00:34:06,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Alessandro,Alessandri,ITA,30,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Derek,Nugent,IRL,21,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Kevin,Smith,CAN,29,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
