ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Gordon,Benson,GBR,17,00:09:10,00:00:20,00:30:49,00:00:19,00:16:04,1,00:56:46,Junior Men
Marc,Austin,GBR,31,00:09:09,00:00:20,00:30:52,00:00:15,00:16:12,2,00:56:51,Junior Men
Filipe,Azevedo,POR,12,00:09:13,00:00:21,00:30:42,00:00:16,00:17:00,3,00:57:36,Junior Men
Liam,Lloyd,GBR,25,00:09:48,00:00:18,00:31:21,00:00:18,00:16:11,4,00:58:00,Junior Men
Francisco,Machado,POR,38,00:09:25,00:00:23,00:31:48,00:00:17,00:16:17,5,00:58:13,Junior Men
Ian,Manthey,GER,8,00:09:39,00:00:21,00:31:32,00:00:17,00:16:22,6,00:58:17,Junior Men
Dario,Chitti,ITA,11,00:09:33,00:00:20,00:31:35,00:00:15,00:16:33,7,00:58:19,Junior Men
Grant,Sheldon,GBR,27,00:09:16,00:00:24,00:31:49,00:00:16,00:16:33,8,00:58:22,Junior Men
Morgan,Davies,GBR,7,00:09:36,00:00:20,00:31:38,00:00:20,00:16:49,9,00:58:48,Junior Men
Luis,Ferreira,POR,21,00:09:43,00:00:20,00:31:29,00:00:20,00:16:57,10,00:58:52,Junior Men
David,Luis,POR,18,00:09:17,00:00:20,00:31:56,00:00:23,00:17:10,11,00:59:07,Junior Men
Pedro Afonso,Gaspar,POR,24,00:09:12,00:00:21,00:31:59,00:00:20,00:17:17,12,00:59:13,Junior Men
Iestyn,Harrett,GBR,20,00:09:25,00:00:19,00:31:49,00:00:19,00:17:26,13,00:59:20,Junior Men
João,Ferreira,POR,28,00:09:45,00:00:19,00:31:27,00:00:23,00:17:25,14,00:59:22,Junior Men
Jeremy,Dupuy,FRA,6,00:09:12,00:00:24,00:30:44,00:00:23,00:18:51,15,00:59:35,Junior Men
Rafael,Ribeiro,POR,30,00:09:15,00:00:20,00:31:59,00:00:19,00:17:59,16,00:59:54,Junior Men
Ricardo,Jorge,POR,37,00:09:13,00:00:20,00:30:48,00:00:17,00:19:14,17,00:59:55,Junior Men
Joao ,Oliveira,POR,1,00:09:43,00:00:17,00:31:29,00:00:17,00:18:18,18,01:00:06,Junior Men
Luke,Penney,GBR,35,00:09:50,00:00:19,00:31:27,00:00:17,00:18:20,19,01:00:14,Junior Men
Rui,Tenrinho,POR,36,00:09:13,00:00:19,00:32:01,00:00:20,00:19:12,20,01:01:08,Junior Men
Rafael,Domingos,POR,32,00:09:55,00:00:20,00:33:47,00:00:15,00:17:46,21,01:02:06,Junior Men
Cameron,Milne,GBR,23,00:09:16,00:00:21,00:31:53,00:00:19,00:20:19,22,01:02:12,Junior Men
Carl,Dupont,FRA,16,00:09:37,00:00:20,00:34:12,00:00:17,00:18:00,23,01:02:30,Junior Men
Alex,Hill,GBR,29,00:09:54,00:00:20,00:35:13,00:00:25,00:18:23,24,01:04:18,Junior Men
Ignacio,Castro Santos,ESP,15,00:09:57,00:00:20,00:35:58,00:00:19,00:18:25,25,01:05:01,Junior Men
Luis,Monteiro,POR,26,00:09:39,00:00:20,00:31:34,00:00:21,00:23:44,26,01:05:41,Junior Men
Yoav,Shamir,ISR,10,00:09:32,00:00:21,00:34:13,00:00:20,00:22:15,27,01:06:45,Junior Men
Teemu,Mattila,FIN,5,00:12:11,00:00:38,00:37:37,00:00:30,00:21:08,28,01:12:08,Junior Men
Aaron,O'Brien,IRL,9,00:09:38,00:00:20,00:31:30,00:00:23,00:00:00,DNF,00:00:00,Junior Men
Alex,Matchett,GBR,33,00:09:51,00:00:21,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Junior Men
Pol,Samso,ESP,4,00:09:53,00:00:19,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Junior Men
Ruben,Tavares,POR,34,00:09:43,00:00:21,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Junior Men
Luisa,Condeço,POR,11,00:10:01,00:00:20,00:34:39,00:00:20,00:19:00,1,01:04:23,Junior Women
Madelaine,Winzer,GBR,8,00:10:04,00:00:28,00:34:28,00:00:18,00:19:03,2,01:04:23,Junior Women
Sky,Draper,GBR,6,00:10:00,00:00:18,00:34:42,00:00:19,00:19:48,3,01:05:08,Junior Women
Melanie,Santos,POR,16,00:10:01,00:00:19,00:34:41,00:00:18,00:20:29,4,01:05:50,Junior Women
Ivana,Kuriackova,SVK,2,00:10:03,00:00:19,00:36:59,00:00:20,00:19:12,5,01:06:55,Junior Women
Ana,Machado,POR,7,00:10:05,00:00:31,00:36:47,00:00:19,00:20:15,6,01:07:59,Junior Women
Ana ,Ramos,POR,9,00:10:12,00:00:23,00:36:49,00:00:18,00:20:32,7,01:08:15,Junior Women
Sara,Tenrinho,POR,1,00:10:11,00:00:21,00:36:47,00:00:20,00:21:51,8,01:09:33,Junior Women
Andreia,Ferrum,POR,14,00:10:08,00:00:36,00:36:39,00:00:20,00:22:35,9,01:10:20,Junior Women
Maria Eduarda,Vidigueira,POR,10,00:11:29,00:00:25,00:38:23,00:00:20,00:20:17,10,01:10:55,Junior Women
Érica,Cardigo,POR,12,00:10:09,00:00:25,00:36:47,00:00:20,00:23:55,11,01:11:38,Junior Women
Vitória ,Oliveira,POR,15,00:10:09,00:00:35,00:36:31,00:00:21,00:24:48,12,01:12:29,Junior Women
Roosa-Maria,Mattila,FIN,4,00:13:03,00:00:26,00:39:44,00:00:27,00:24:43,13,01:18:25,Junior Women
