U.S. Energy Information Administration,,,,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 7.2a Electricity Net Generation: Total (All Sectors),,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,"Electricity Net Generation From Coal, All Sectors","Electricity Net Generation From Petroleum, All Sectors","Electricity Net Generation From Natural Gas, All Sectors","Electricity Net Generation From Other Gases, All Sectors","Electricity Net Generation From Nuclear Electric Power, All Sectors","Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors","Electricity Net Generation From Conventional Hydroelectric Power, All Sectors","Electricity Net Generation From Wood, All Sectors","Electricity Net Generation From Waste, All Sectors","Electricity Net Generation From Geothermal, All Sectors","Electricity Net Generation From Solar/PV, All Sectors","Electricity Net Generation From Wind, All Sectors","Electricity Net Generation Total, All Sectors"
,(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours)
1973-01-01 00:00:00,75190.149,31183.619,21184.967,Not Available,6246.251,Not Available,26249.203,5.157,15.152,143.49,Not Available,Not Available,160217.989
1973-02-01 00:00:00,67797.946,26086.952,20252.525,Not Available,5928.069,Not Available,23313.025,15.138,13.874,131.171,Not Available,Not Available,143538.699
1973-03-01 00:00:00,67387.612,24033.245,24043.248,Not Available,6649.007,Not Available,25874.466,17.94,16.913,135.938,Not Available,Not Available,148158.37
1973-04-01 00:00:00,63935.049,20195.424,25030.266,Not Available,5876.392,Not Available,24370.51,6.323,16.771,158.705,Not Available,Not Available,139589.44
1973-05-01 00:00:00,64927.181,21741.975,29755.984,Not Available,5696.657,Not Available,25100.563,4.589,20.209,147.965,Not Available,Not Available,147395.124
1973-06-01 00:00:00,69592.039,25999.512,34627.356,Not Available,6784.152,Not Available,24050.316,3.707,16.938,169.654,Not Available,Not Available,161243.674
1973-07-01 00:00:00,75988.308,28728.259,39171.261,Not Available,6960.486,Not Available,22684.569,3.821,16.409,179.895,Not Available,Not Available,173733.007
1973-08-01 00:00:00,78365.191,30745.665,38890.546,Not Available,7785.326,Not Available,21376.181,15.159,17.704,169.592,Not Available,Not Available,177365.364
1973-09-01 00:00:00,71304.493,27109.009,33118.166,Not Available,7862.383,Not Available,17300.278,19.924,17.158,143.622,Not Available,Not Available,156875.032
1973-10-01 00:00:00,70104.344,27224.244,30688.93,Not Available,7518.195,Not Available,18454.449,18.564,19.288,169.452,Not Available,Not Available,154197.466
1973-11-01 00:00:00,69706.997,26124.562,23717.377,Not Available,8142.033,Not Available,20241.133,9.174,14.526,181.805,Not Available,Not Available,148137.609
1973-12-01 00:00:00,73352.161,25170.459,20377.565,Not Available,8030.511,Not Available,26415.88,10.907,12.949,234.424,Not Available,Not Available,153604.858
1974-01-01 00:00:00,73631.774,26198.955,20728.02,Not Available,7602.79,Not Available,29161.659,10.676,14.536,206.282,Not Available,Not Available,157554.691
1974-02-01 00:00:00,66116.767,22564.916,18941.924,Not Available,8115.522,Not Available,26809.987,3.687,13.603,182.051,Not Available,Not Available,142748.458
1974-03-01 00:00:00,67746.788,22136.383,23628.456,Not Available,8777.497,Not Available,27828.186,3.404,14.17,207.322,Not Available,Not Available,150342.206
1974-04-01 00:00:00,62866.281,19940.913,24029.361,Not Available,7128.892,Not Available,28126.967,10.355,13.612,195.253,Not Available,Not Available,142311.633
1974-05-01 00:00:00,67789.4,22682.163,28325.25,Not Available,6562.335,Not Available,28234.858,11.103,12.366,195.399,Not Available,Not Available,153812.873
1974-06-01 00:00:00,67470.507,23064.936,31727.856,Not Available,7079.595,Not Available,26881.343,9.564,17.154,189.133,Not Available,Not Available,156440.089
1974-07-01 00:00:00,76361.27,27725.762,37214.571,Not Available,10209.908,Not Available,26505.617,0.466,19.907,209.804,Not Available,Not Available,178247.304
1974-08-01 00:00:00,74759.54,27201.402,35350.593,Not Available,12333.452,Not Available,24245.839,2.967,18.074,207.135,Not Available,Not Available,174119.001
1974-09-01 00:00:00,65266.997,25047.795,29348.424,Not Available,11009.752,Not Available,21573.878,11.63,17.539,191.428,Not Available,Not Available,152467.442
1974-10-01 00:00:00,66953.772,25701.39,28263.526,Not Available,10863.505,Not Available,20202.545,1.738,14.972,194.383,Not Available,Not Available,152195.832
1974-11-01 00:00:00,66996.029,27758.192,22735.948,Not Available,11004.327,Not Available,21328.54,1.86,14.81,231.149,Not Available,Not Available,150070.855
1974-12-01 00:00:00,72473.794,30907.732,19771.16,Not Available,13288.168,Not Available,23312.388,1.072,11.411,243.295,Not Available,Not Available,160009.019
