"HAS - Hasbro, Inc.",,,
Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold
2014-01-31,0.01,,
2013-11-30,0.01,1160184,1156184
2013-10-31,0.01,,
2013-09-30,0.01,,
2013-08-31,0.01,24000,40000
2013-07-31,0.01,482614,397614
2013-06-30,0.01,,
2013-05-31,0.01,116479,83191
2013-04-30,0.01,495005,448439
2013-03-31,0.01,,
2013-01-31,0.01,,
2012-11-30,0.01,755916,510530
2012-10-31,0.01,,
2012-09-30,0.01,62550,62550
2012-08-31,0.01,20502,20502
2012-07-31,0.01,21862,21862
2012-06-30,0.01,,
2012-05-31,0.01,178920,122500
2012-04-30,0.01,41721,41721
2012-03-31,0.01,,
2012-02-29,0.01,757432,664468
2012-01-31,0.01,,
2011-12-31,0.01,,
2011-11-30,0.01,13650,
2011-10-31,0.01,,
2011-09-30,0.01,,
2011-08-31,0.01,12265,9765
2011-07-31,0.01,30000,
2011-06-30,0.01,,
2011-05-31,0.01,44712,4655
2011-04-30,0.01,72500,62500
2011-03-31,0.01,,
2011-02-28,0.01,209837,72172
2011-01-31,0.01,,
2010-12-31,0.01,16200,15000
2010-11-30,0.01,435366,435366
2010-10-31,0.01,125000,125000
2010-09-30,0.01,,
2010-08-31,0.01,583894,618707
2010-07-31,0.01,104743,79327
2010-06-30,0.01,,
2010-05-31,0.01,233994,191460
2010-04-30,0.01,,3000
2010-03-31,0.01,,77654
2010-02-28,0.01,210591,
2010-01-31,0.01,,
2009-12-31,0.01,,
2009-11-30,0.01,3700,
2009-10-31,0.01,,
2009-09-30,0.01,,
2009-08-31,0.01,,
2009-07-31,0.01,,
2009-06-30,0.01,,
2009-05-31,0.01,80047,
2009-04-30,0.01,172419,659892
2009-03-31,0.01,,
2009-02-28,0.01,258292,1116543
2009-01-31,0.01,,20187
2008-12-31,0.01,,
2008-11-30,0.01,,
2008-10-31,0.01,,
2008-09-30,0.01,,4801298
2008-08-31,0.05,1078825,1061825
2008-07-31,0.05,177976,175000
2008-06-30,0.05,,
2008-05-31,0.05,560300,729150
2008-04-30,0.05,233893,213493
2008-03-31,0.05,20000,20000
2008-02-29,0.05,73927,93927
2008-01-31,0.05,5000,0
2007-12-31,0.05,0,0
2007-11-30,0.05,41667,41667
2007-10-31,0.05,46928,46928
2007-09-30,0.05,0,0
2007-08-31,0.05,353300,362300
2007-07-31,0.05,50000,50000
2007-06-30,0.05,2000,0
2007-05-31,0.05,2000,0
2007-04-30,0.05,283019,279019
2007-03-31,0.05,0,0
2007-02-28,0.05,1001250,1011250
2007-01-31,0.05,22500,11250
2006-12-31,0.05,0,0
2006-11-30,0.05,360750,360750
2006-10-31,0.05,206250,205250
2006-09-30,0.04,206250,205250
2006-08-31,0,5062,200000
2006-06-30,0.04,10000,3635
2006-05-31,0.04,52459,0
2006-04-30,0.04,0,0
2006-03-31,0.04,0,0
2006-02-28,0.04,129475,379275
2006-01-31,0.04,20000,0
2005-12-31,0.04,0,0
2005-11-30,0.04,0,0
2005-10-31,0.04,0,0
2005-09-30,0.04,0,0
2005-08-31,0.04,50800,50800
2005-07-31,0.04,59200,159200
2005-06-30,0.04,0,0
2005-05-31,0.04,83333,83333
2005-04-30,0.04,0,250000
2005-03-31,0.04,0,0
2005-02-28,0.04,382500,421500
2005-01-31,0.04,0,0
2004-12-31,0.04,0,0
2004-11-30,0.03,163905,156005
2004-10-31,0.03,0,0
2004-09-30,0.04,0,0
2004-08-31,0.04,17250,11250
2004-07-31,0.04,0,0
2004-06-30,0.04,3484,3484
2004-05-31,0.04,5000,0
2004-04-30,0.04,0,0
2004-03-31,0.04,0,2546
2004-02-29,0.04,6000,302180
