U.S. Energy Information Administration,,,,,,,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,,,,,,,
"Next Update: August 27, 2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 10.4 Biodiesel Overview,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Month,Biodiesel Feedstock,Losses and Co-products from Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Imports,Biodiesel Exports,Biodiesel Net Imports,Biodiesel Stocks,Biodiesel Stock Change,Biodiesel Balancing Item,Biodiesel Consumption,Biodiesel Consumption,Biodiesel Consumption
,(Trillion Btu),(Trillion Btu),(Thousand Barrels),(Million Gallons),(Trillion Btu),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Million Gallons),(Trillion Btu)
2001-01-01 00:00:00,0.094,0.001,17.343,0.728,0.093,2.984,3.219,-0.235,Not Available,Not Available,Not Available,17.108,0.719,0.092
2001-02-01 00:00:00,0.085,0.001,15.665,0.658,0.084,1.413,5.119,-3.706,Not Available,Not Available,Not Available,11.959,0.502,0.064
2001-03-01 00:00:00,0.094,0.001,17.343,0.728,0.093,6.948,4.956,1.992,Not Available,Not Available,Not Available,19.335,0.812,0.104
2001-04-01 00:00:00,0.091,0.001,16.784,0.705,0.09,2.156,3.893,-1.736,Not Available,Not Available,Not Available,15.047,0.632,0.081
2001-05-01 00:00:00,0.094,0.001,17.343,0.728,0.093,1.933,2.016,-0.083,Not Available,Not Available,Not Available,17.26,0.725,0.092
2001-06-01 00:00:00,0.091,0.001,16.784,0.705,0.09,2.864,1.932,0.931,Not Available,Not Available,Not Available,17.715,0.744,0.095
2001-07-01 00:00:00,0.094,0.001,17.343,0.728,0.093,13.066,2.204,10.862,Not Available,Not Available,Not Available,28.205,1.185,0.151
2001-08-01 00:00:00,0.094,0.001,17.343,0.728,0.093,2.409,3.021,-0.612,Not Available,Not Available,Not Available,16.731,0.703,0.09
2001-09-01 00:00:00,0.091,0.001,16.784,0.705,0.09,12.564,5.102,7.462,Not Available,Not Available,Not Available,24.246,1.018,0.13
2001-10-01 00:00:00,0.094,0.001,17.343,0.728,0.093,13.315,3.283,10.031,Not Available,Not Available,Not Available,27.375,1.15,0.147
2001-11-01 00:00:00,0.091,0.001,16.784,0.705,0.09,19.273,3.513,15.759,Not Available,Not Available,Not Available,32.543,1.367,0.174
2001-12-01 00:00:00,0.094,0.001,17.343,0.728,0.093,1.998,2.388,-0.389,Not Available,Not Available,Not Available,16.954,0.712,0.091
2002-01-01 00:00:00,0.115,0.002,21.201,0.89,0.114,13.844,3.688,10.156,Not Available,Not Available,Not Available,31.357,1.317,0.168
2002-02-01 00:00:00,0.104,0.001,19.149,0.804,0.103,28.79,4.096,24.695,Not Available,Not Available,Not Available,43.844,1.841,0.235
2002-03-01 00:00:00,0.115,0.002,21.201,0.89,0.114,43.526,4.906,38.62,Not Available,Not Available,Not Available,59.82,2.512,0.321
2002-04-01 00:00:00,0.111,0.002,20.517,0.862,0.11,9.957,4.834,5.123,Not Available,Not Available,Not Available,25.639,1.077,0.137
2002-05-01 00:00:00,0.115,0.002,21.201,0.89,0.114,16.445,6.344,10.101,Not Available,Not Available,Not Available,31.301,1.315,0.168
2002-06-01 00:00:00,0.111,0.002,20.517,0.862,0.11,17.907,5.435,12.472,Not Available,Not Available,Not Available,32.989,1.386,0.177
2002-07-01 00:00:00,0.115,0.002,21.201,0.89,0.114,21.85,4.417,17.433,Not Available,Not Available,Not Available,38.634,1.623,0.207
2002-08-01 00:00:00,0.115,0.002,21.201,0.89,0.114,7.295,4.787,2.508,Not Available,Not Available,Not Available,23.709,0.996,0.127
2002-09-01 00:00:00,0.111,0.002,20.517,0.862,0.11,7.034,3.764,3.27,Not Available,Not Available,Not Available,23.787,0.999,0.127
2002-10-01 00:00:00,0.115,0.002,21.201,0.89,0.114,8.813,4.813,4.001,Not Available,Not Available,Not Available,25.201,1.058,0.135
2002-11-01 00:00:00,0.111,0.002,20.517,0.862,0.11,11.5,5.157,6.343,Not Available,Not Available,Not Available,26.86,1.128,0.144
2002-12-01 00:00:00,0.115,0.002,21.201,0.89,0.114,10.38,5.184,5.195,Not Available,Not Available,Not Available,26.396,1.109,0.141
2003-01-01 00:00:00,0.156,0.002,28.734,1.207,0.154,14.165,8.896,5.268,Not Available,Not Available,Not Available,34.002,1.428,0.182
2003-02-01 00:00:00,0.141,0.002,25.953,1.09,0.139,2.717,9.478,-6.761,Not Available,Not Available,Not Available,19.192,0.806,0.103
2003-03-01 00:00:00,0.156,0.002,28.734,1.207,0.154,4.243,8.487,-4.244,Not Available,Not Available,Not Available,24.49,1.029,0.131
2003-04-01 00:00:00,0.151,0.002,27.807,1.168,0.149,3.996,11.574,-7.578,Not Available,Not Available,Not Available,20.229,0.85,0.108
2003-05-01 00:00:00,0.156,0.002,28.734,1.207,0.154,3.719,11.439,-7.72,Not Available,Not Available,Not Available,21.014,0.883,0.113
2003-06-01 00:00:00,0.151,0.002,27.807,1.168,0.149,3.723,10.109,-6.386,Not Available,Not Available,Not Available,21.421,0.9,0.115
2003-07-01 00:00:00,0.156,0.002,28.734,1.207,0.154,4.175,10.211,-6.036,Not Available,Not Available,Not Available,22.698,0.953,0.122
