NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Arizona Diamondbacks,ARI,42,41,0.506,347,349,41.3,41.7,0.497,39.3,43.7,0.474,350.66564412364585,370.72658801307824,39.4,43.6,0.475,352.10845227873784,371.54696287984257,0.7,2.7,2.6,0.256,0.256,0.488,0.468
Atlanta Braves,ATL,49,34,0.59,357,281,50.3,32.7,0.606,50.5,32.5,0.608,375.0811568838761,294.58959922343536,48.7,34.3,0.587,366.11938004261464,301.53709335717645,-1.3,-1.5,0.3,0.254,0.258,0.598,0.579
Baltimore Orioles,BAL,47,37,0.56,412,387,44.5,39.5,0.53,43.7,40.3,0.52,405.8275636364301,389.3900834942792,44.4,39.6,0.528,386.88573757562006,364.31061628908793,2.5,3.3,2.6,0.265,0.263,0.534,0.554
Boston Red Sox,BOS,51,34,0.6,435,352,50.9,34.1,0.599,49.7,35.3,0.585,447.67431674507657,374.39977344063925,49.8,35.2,0.585,414.49570520495496,346.23718688430773,0.1,1.3,1.2,0.263,0.263,0.592,0.611
Chicago White Sox,CHA,33,47,0.412,303,352,34.6,45.4,0.432,35.1,44.9,0.439,290.9323110957528,333.20739226154757,33.4,46.6,0.417,258.9948787684309,311.6498076957854,-1.6,-2.1,-0.4,0.262,0.265,0.425,0.445
Chicago Cubs,CHN,35,46,0.432,337,348,39.3,41.7,0.485,40.4,40.6,0.499,328.017446765844,328.51668623375673,40.4,40.6,0.498,331.8144999838613,332.80791551634167,-4.3,-5.4,-5.4,0.256,0.255,0.479,0.459
Cincinnati Reds,CIN,48,36,0.571,366,312,48.1,35.9,0.572,50.3,33.7,0.598,384.57913906284256,309.5946853201845,50.3,33.7,0.599,384.51099079241226,309.09675178876927,-0.1,-2.3,-2.3,0.256,0.255,0.585,0.566
Cleveland Indians,CLE,45,38,0.542,402,373,44.4,38.6,0.535,42.8,40.2,0.516,389.60205711361925,376.7914560223904,43.2,39.8,0.521,394.5297601609368,377.27099018734606,0.6,2.2,1.8,0.261,0.26,0.529,0.548
Colorado Rockies,COL,41,43,0.488,390,372,43.9,40.1,0.522,46.2,37.8,0.55,409.9823363288242,369.09456720377295,44.2,39.8,0.526,339.2070323338917,320.96049449820265,-2.9,-5.2,-3.2,0.257,0.26,0.521,0.501
Detroit Tigers,DET,44,38,0.537,406,339,47.9,34.1,0.584,53.9,28.1,0.657,429.3162765533387,303.81655341849563,53.7,28.3,0.655,405.40841665169893,287.8334185293139,-3.9,-9.9,-9.7,0.263,0.264,0.608,0.627
Miami Marlins,MIA,30,52,0.366,266,353,30.9,51.1,0.376,27.6,54.4,0.337,242.6442425418581,355.65812172122236,27.6,54.4,0.337,262.1094197155915,383.89013876156554,-0.9,2.4,2.4,0.256,0.257,0.354,0.336
Houston Astros,HOU,30,54,0.357,310,442,28.5,55.5,0.34,24.3,59.7,0.289,294.7155924961434,474.2495358250294,26.2,57.8,0.312,299.915766860377,455.33293318830846,1.5,5.7,3.8,0.265,0.26,0.324,0.342
Kansas City Royals,KCA,38,42,0.475,318,310,40.9,39.1,0.512,34.6,45.4,0.432,294.7096760513622,342.6579206515878,35.4,44.6,0.443,289.9232388974246,328.96168856301233,-2.9,3.4,2.6,0.263,0.262,0.465,0.485
