Lehigh Valley Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-10-05,9,Adirondack,4,Hershey,3,Final OT ,"Giant Center Hershey, PA"
2013-10-11,23,Adirondack,4,Hartford,5,Final SO ,"XL Center Hartford, CT"
2013-10-12,29,Hartford,3,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-10-14,46,Adirondack,1,Albany,4,Final ,"Times Union Center Albany, NY"
2013-10-18,59,Adirondack,3,W-B/Scranton,6,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-10-19,60,Springfield,3,Adirondack,2,Final SO ,"Glens Falls Civic Center Glens Falls, NY"
2013-10-25,87,Norfolk,3,Adirondack,0,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-10-26,98,Adirondack,3,Binghamton,1,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-10-30,116,Springfield,1,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-01,124,Binghamton,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-02,138,Albany,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-08,168,Adirondack,3,Springfield,0,Final ,"MassMutual Center Springfield, MA"
2013-11-09,173,Adirondack,2,Albany,0,Final ,"Times Union Center Albany, NY"
2013-11-10,184,Adirondack,2,Bridgeport,3,Final ,"Webster Bank Arena Bridgeport, CT"
2013-11-15,203,Adirondack,2,Binghamton,4,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-11-22,241,Binghamton,6,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-23,253,Albany,5,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-27,274,W-B/Scranton,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-11-29,284,Adirondack,4,Albany,3,Final OT ,"Times Union Center Albany, NY"
2013-11-30,297,Syracuse,1,Adirondack,0,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-04,314,Bridgeport,1,Adirondack,0,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-06,321,Hartford,0,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-07,333,Utica,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-13,365,Adirondack,3,Hartford,2,Final SO ,"XL Center Hartford, CT"
2013-12-14,374,Manchester,5,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-20,405,Adirondack,5,Norfolk,4,Final ,"Norfolk Scope Norfolk, VA"
2013-12-21,420,Adirondack,1,Norfolk,3,Final ,"Norfolk Scope Norfolk, VA"
2013-12-26,434,Adirondack,3,Springfield,2,Final SO ,"MassMutual Center Springfield, MA"
2013-12-27,438,Adirondack,0,Albany,2,Final ,"Times Union Center Albany, NY"
2013-12-28,449,Providence,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-12-31,466,Worcester,1,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2014-01-03,476,Hershey,0,Adirondack,1,Final OT ,"Glens Falls Civic Center Glens Falls, NY"
2014-01-04,490,Albany,0,Adirondack,4,Final ,"Glens Falls Civic Center Glens Falls, NY"
