Vimentis Umfrage,,,,,,,,,,,,,,
Quelle: http://ergebnisse.vimentis.ch/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Frage:,,,,,,,,,,,,,,
Das Tragen einer Burka und anderen Ganzkörperschleiern wird im öffentlichen Raum verboten. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Welcher Partei haben Sie bei der letzten <b>Nationalratswahl im Oktober 2011</b> hauptsächlich Ihre Stimme gegeben?,,,,,,,,,,,,,
Antwort,CVP,EDU,EVP,FDP / Liberale,Grüne,SD,SP,SVP,Andere,Weiss nicht/Keine,Grünliberale,BDP,PdAS,Nicht zur Wahl gegangen
Bin dafür,0.78,0.9,0.77,0.78,0.47,0.84,0.56,0.93,0.71,0.74,0.68,0.83,0.45,0.71
Neutral / Weiss nicht,0.11,0.05,0.1,0.08,0.2,0.07,0.17,0.03,0.08,0.15,0.13,0.09,0.11,0.12
Bin dagegen,0.11,0.05,0.13,0.14,0.33,0.09,0.27,0.04,0.21,0.12,0.18,0.08,0.44,0.17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Angaben zu den Daten,,,,,,,,,,,,,,
Erhebungsjahr,2011,,,,,,,,,,,,,
Stichprobengrösse,30565,,,,,,,,,,,,,
Erhebungszeitraum,05.11.2011 bis: 30.12.2011,,,,,,,,,,,,,
Fragentyp,Geschlossene Antwortliste,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Methodik / Repräsentativität,,,,,,,,,,,,,,
"Um soziodemographische Verzerrungen zur vermeiden, wurden sämtliche Daten nach Geschlecht, Alter, Bildung und Region gemäss der wahren Verteilung innerhalb der Bevölkerung älter als 15 Jahre gewichtet. Es bleibt eine psychographische Verzerrung wegen ",,,,,,,,,,,,,,
"der Durchführung der Umfrage über das Internet, welche nicht korrigiert werden kann. Diese Verzerrung wird anhand einzelner Faktoren für jede Erhebung qualitativ abgeschätzt. Demnach sind alle hier auf dieser Seite angegebenen Zahlen mit einer ",,,,,,,,,,,,,,
Präzision von &plusmn;2% repräsentativ. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alle Materialen und Daten auf dieser Seite dürfen unter Angabe der Quelle weiterverwendet werden.,,,,,,,,,,,,,,
