ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Yuya,Fukaura,JPN,0,00:33:26,00:00:00,01:03:41,00:00:00,00:18:22,1,01:55:29
Masaaki,Kurihara,JPN,0,00:33:26,00:00:00,01:03:40,00:00:00,00:18:55,2,01:56:03
Javier,Robeno,PHI,0,00:34:03,00:00:00,01:06:06,00:00:00,00:19:23,3,01:59:33
Augusto,Benedicto,PHI,0,00:35:14,00:00:00,01:07:30,00:00:00,00:18:52,4,02:01:35
Chen-Chan,Wei,TPE,0,00:35:49,00:00:00,01:07:00,00:00:00,00:18:50,5,02:01:40
Neil,Catiil,PHI,0,00:35:15,00:00:00,01:07:30,00:00:00,00:19:19,6,02:02:05
Mohammad,Asghari Khatooni,IRI,0,00:34:58,00:00:00,01:07:58,00:00:00,00:20:56,7,02:03:55
Carlo Jose,Pedregoza,PHI,0,00:39:00,00:00:00,01:06:43,00:00:00,00:19:16,8,02:05:00
Syed,Samad,IRI,0,00:36:54,00:00:00,01:08:47,00:00:00,00:19:38,9,02:05:20
Mohammad,Bagheri,IRI,0,00:38:38,00:00:00,01:07:03,00:00:00,00:20:16,10,02:05:58
Jefferson,Valdez,PHI,0,00:39:09,00:00:00,01:10:40,00:00:00,00:22:43,11,02:12:32
Abdullah,Shahrom,MAS,0,00:00:01,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
