,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Transmission Services,,,,,,,,,,
,,,,,,,,,,
2014-07-02 00:00:00,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC),LONG-TERM FIRM AVAILABLE TRANSFER CAPABILITY (ATC)
PATH NAME,TTC (MW),2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022.0,2023.0
South of Allston,1991,895,220,222,227,201,199,192,183.0,178.0
Cascades North,10350,304,298,253,55,38,19,36,24.0,10.0
West of Lower Monumental,3750,2043,1635,1525,1616,1602,1594,1586,1579.0,1579.0
Cascades South,7200,409,404,378,362,341,317,303,293.0,253.0
North of Hanford,4400,1795,349,332,323,265,257,238,222.0,207.0
North of John Day,7800,2725,687,669,672,586,565,526,500.0,485.0
Paul-Allston,2250,1336,557,552,554,530,524,515,506.0,505.0
Raver-Paul,1450,404,0,0,0,0,0,0,0.0,0.0
West of McNary,4500,1542,1305,1305,1316,1293,1288,1280,1291.0,1288.0
West of Slatt,4100,1219,681,679,676,677,673,666,660.0,658.0
West of John Day,3750,1101,1116,1135,1245,1240,1235,1230,1231.0,1221.0
South of Custer,1800,1240,678,672,671,698,698,698,698.0,700.0
North of Echo Lake,2800,0,0,0,0,0,0,0,0.0,0.0
,,,,,,,,,,
John Day - COB,2725,0,0,0,0,0,0,0,0.0,0.0
COB - John Day,1391,1320,1320,1320,1320,1320,1320,1320,1320.0,1320.0
BCHA - BPAT,1335,250,250,250,250,250,250,250,250.0,250.0
BPAT - BCHA,1260,0,0,0,0,0,0,0,0.0,0.0
Big Eddy - NOB,0,0,0,0,30,30,30,30,30.0,30.0
NOB - Big Eddy,1904,1704,1704,1704,1704,1704,1704,1704,1704.0,1704.0
IPCO - BPAT,413,10,10,10,10,10,10,10,10.0,10.0
BPAT - IPCO,350,0,0,0,0,0,0,0,0.0,0.0
Montana Intertie E>W,1930,184,184,184,184,184,184,184,184.0,184.0
Malin230 - Hilltop345,300,196,181,181,181,181,181,181,181.0,181.0
Hilltop345 - Malin230,300,240,240,240,240,240,240,240,240.0,240.0
John Day Wind,1200,405,329,329,329,329,329,329,329.0,329.0
Rock Creek,1200,451,421,418,414,413,413,413,413.0,413.0
West of Garrison E>W,1618,59,59,59,9,9,9,9,9.0,9.0
West of Garrison W>E,931,544,514,508,501,501,501,501,501.0,501.0
Hatwai E>W,3650,474,180,180,130,130,130,130,130.0,130.0
Conditional Firm Inventory,,,,,,,,,,
South of Allston,1975,262,262,262,262,262,262,262,262.0,262.0
Cascades North,9550,817,817,817,817,817,817,817,817.0,817.0
Cascades South,7200,1002,1002,1002,1002,1002,1002,1002,1002.0,1002.0
North of Hanford,4400,338,338,338,338,338,338,338,338.0,338.0
North of John Day,7800,552,552,552,552,552,552,552,552.0,552.0
Paul-Allston,2250,468,468,468,468,468,468,468,468.0,468.0
Raver-Paul,1450,251,251,251,251,251,251,251,251.0,251.0
West of McNary,4500,349,349,349,349,349,349,349,349.0,349.0
West of Slatt,4100,364,364,364,364,364,364,364,364.0,364.0
West of John Day,2600,0,0,0,0,0,0,0,0.0,0.0
