2004-2005 Public School Preschool Programs by Arrangement by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Iowa Department of Education, Bureau of Planning, Research and Evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic Educational Data Survey (BEDS), Early Childhood and Address Files",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Head Start,Head Start,Head Start,Head Start,,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,Child Development Coordinating Council,,Empowerment,Empowerment,Empowerment,Empowerment,,Tuition Funded,Tuition Funded,Tuition Funded,Tuition Funded,,Other,Other,Other,Other
County,AEA,District,District Name,Offers Preschool ,District Funded ,Parent Tuition Funded ,,Students Served,Meeting Days,Students Part-time,Students Full-time,,Students Served,Meeting Days,Students Part-time,Students Full-time,,Students Served,Meeting Days, Students Part-time,Students Full-time,,Students Served,Meeting Days,Students Part-time,Students Full-time,,Students Served,Meeting Days,Students Part-time,Students Full-time
42,267,0009,AGWSR Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,5,3,5,0,,52,3,52,0,,0,0,0,0
39,11,0018,Adair-Casey Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
25,11,0027,Adel-DeSoto-Minburn Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
75,12,0063,Akron Westfield Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
11,8,0072,Albert City-Truesdale Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,2,5,1,1,,12,5,5,7,,7,5,2,5
68,15,0081,Albia Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,10,0099,Alburnett Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
42,267,0108,Alden Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,27,5,27,0,,0,0,0,0,,0,0,0,0
55,8,0126,Algona Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
03,01,0135,Allamakee Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10,4,0,10
12,267,0153,Allison-Bristow Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,44,5,44,0,,0,0,0,0
11,8,0171,Alta Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,7,5,7,0
85,11,0225,Ames Comm School District,Yes,Yes,Yes,,0,0,0,0,,30,5,0,30,,0,0,0,0,,56,5,56,0,,0,0,0,0
53,10,0234,Anamosa Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
49,09,0243,Andrew Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,29,3,29,0,,0,0,0,0
15,13,0252,Anita Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
77,11,0261,Ankeny Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,16,5,16,0,,0,0,0,0,,0,0,0,0
97,12,0270,Anthon-Oto Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
12,267,0279,Aplington-Parkersburg Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,28,5,28,0,,15,5,15,0
32,8,0333,Armstrong-Ringsted Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,27,5,0,27,,27,5,0,27,,0,0,0,0
24,12,0355,Ar-We-Va Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,19,4,0,19
15,13,0387,Atlantic Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
05,11,0414,Audubon Comm School District,Yes,Yes,Yes,,20,4,0,20,,0,0,0,0,,0,0,0,0,,29,5,0,29,,0,0,0,0
18,12,0423,Aurelia Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,15,5,0,15
78,13,0441,A-H-S-T Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,41,5,25,16
85,11,0472,Ballard Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
47,12,0504,Battle Creek-Ida Grove Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
50,11,0513,Baxter Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
38,267,0540,BCLUW Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
87,14,0549,Bedford Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
06,10,0576,Belle Plaine Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,2,14,0,,0,0,0,0
49,09,0585,Bellevue Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,57,3,51,6
99,267,0594,Belmond-Klemme Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,44,4,44,0,,23,1,23,0
16,09,0603,Bennett Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,8,5,8,0,,0,0,0,0,,0,0,0,0
06,10,0609,Benton Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,85,3,85,0,,0,0,0,0
82,09,0621,Bettendorf Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
90,15,0657,Eddyville-Blakesburg Comm School District,Yes,Yes,Yes,,56,4,56,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,43,2,0,43
77,11,0720,Bondurant-Farrar Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11,4,6,5,,0,0,0,0
08,11,0729,Boone Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,18,5,0,18,,0,0,0,0,,18,5,18,0
84,04,0747,Boyden-Hull Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
41,267,0819,West Hancock Community Schools,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,45,2,45,0,,0,0,0,0
79,267,0846,Brooklyn-Guernsey-Malcom Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,29,5,29,0,,0,0,0,0
95,267,0873,North Iowa Comm School District,Yes,Yes,Yes,,21,5,0,21,,0,0,0,0,,6,3,6,0,,24,3,24,0,,0,0,0,0
29,16,0882,Burlington Comm School District,Yes,Yes,No,,0,0,0,0,,0,0,0,0,,10,5,0,10,,0,0,0,0,,0,0,0,0
15,13,0914,C and M Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,21,4,21,0,,0,0,0,0,,0,0,0,0
35,267,0916,CAL Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,32,2,32,0,,0,0,0,0
23,09,0918,Calamus-Wheatland Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
23,09,0936,Camanche Comm School District,Yes,Yes,No,,16,5,0,16,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
90,15,0977,Cardinal Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,23,5,0,23,,0,0,0,0
91,11,0981,Carlisle Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,20,3,20,0,,0,0,0,0,,0,0,0,0
14,11,0999,Carroll Comm School District,Yes,No,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,14,3,14,0,,0,0,0,0
07,267,1044,Cedar Falls Comm School District,Yes,Yes,No,,12,5,0,12,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,10,1053,Cedar Rapids Comm School District,Yes,Yes,Yes,,0,0,0,0,,128,5,0,128,,0,0,0,0,,146,3,24,122,,0,0,0,0
57,10,1062,Center Point-Urbana Comm School District,Yes,No,Yes,,10,5,10,0,,0,0,0,0,,0,0,0,0,,63,5,63,0,,0,0,0,0
04,15,1071,Centerville Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
56,16,1079,Central Lee Comm School District,Yes,Yes,Yes,,0,0,0,0,,0,0,0,0,,0,0,0,0,,9,4,0,9,,10,4,0,10
22,01,1080,Central Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
23,09,1082,Central Clinton Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
57,10,1089,Central City Comm School District,Yes,Yes,Yes,,8,4,8,0,,0,0,0,0,,0,0,0,0,,25,5,25,0,,0,0,0,0
27,14,1093,Central Decatur Comm School District,Yes,Yes,No,,0,0,0,0,,13,5,0,13,,19,5,0,19,,0,0,0,0,,0,0,0,0
60,04,1095,Central Lyon Comm School District,No,No,No,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
