RSH - RadioShack Corp,RSH - RadioShack Corp,RSH - RadioShack Corp,RSH - RadioShack Corp,RSH - RadioShack Corp,RSH - RadioShack Corp
Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.125,2012-05-30,2012-06-01,2012-06-22,Cash Dividend,quarterly
0.125,2012-03-14,2012-03-16,2012-03-30,Cash Dividend,quarterly
0.5,2011-11-22,2011-11-25,2011-12-15,Cash Dividend,annually
0.25,2010-11-23,2010-11-26,2010-12-16,Cash Dividend,annually
0.25,2009-11-24,2009-11-27,2009-12-16,Cash Dividend,annually
0.25,2008-11-25,2008-11-28,2008-12-17,Cash Dividend,annually
0.25,2007-11-27,2007-11-29,2007-12-19,Cash Dividend,annually
0.25,2006-11-29,2006-12-01,2006-12-20,Cash Dividend,annually
0.25,2005-11-29,2005-12-01,2005-12-19,Cash Dividend,annually
0.25,2004-11-29,2004-12-01,2004-12-20,Cash Dividend,annually
0.25,2003-12-04,2003-12-08,2003-12-26,Cash Dividend,annually
0.22,2002-11-26,2002-12-01,2002-12-19,Cash Dividend,annually
0.055,2001-09-27,2001-10-01,2001-10-18,Cash Dividend,quarterly
0.055,2001-06-27,2001-07-01,2001-07-19,Cash Dividend,quarterly
0.055,2001-03-28,2001-04-01,2001-04-20,Cash Dividend,quarterly
0.055,2000-12-27,2001-01-01,2001-01-18,Cash Dividend,quarterly
0.055,2000-09-27,2000-10-01,2000-10-19,Cash Dividend,quarterly
0.055,2000-06-28,2000-07-01,2000-07-20,Cash Dividend,quarterly
0.055,2000-03-30,2000-04-03,2000-04-20,Cash Dividend,quarterly
0.055,1999-12-30,2000-01-03,2000-01-19,Cash Dividend,quarterly
0.05,1999-09-29,1999-10-01,1999-10-19,Cash Dividend,quarterly
0.05,1999-06-29,1999-07-01,1999-07-20,Cash Dividend,quarterly
0.05,1999-03-30,1999-04-01,1999-04-20,Cash Dividend,quarterly
0.05,1998-09-29,1998-10-01,1998-10-20,Cash Dividend,quarterly
0.05,1998-06-29,1998-07-01,1998-07-21,Cash Dividend,quarterly
0.05,1998-03-30,1998-04-01,1998-04-21,Cash Dividend,quarterly
0.05,1997-12-29,1998-01-01,1998-01-20,Cash Dividend,quarterly
0.05,1997-09-29,1997-10-01,1997-10-21,Cash Dividend,0
0.05,1997-06-27,1997-07-01,1997-07-22,Cash Dividend,quarterly
0.05,1997-03-27,1997-04-01,1997-04-22,Cash Dividend,quarterly
0.05,1996-12-27,1997-01-01,1997-01-21,Cash Dividend,quarterly
0.05,1996-06-27,1996-07-01,1996-07-23,Cash Dividend,quarterly
0.05,1996-03-28,1996-04-01,1996-04-23,Cash Dividend,quarterly
0.05,1995-12-27,1996-01-01,1996-01-23,Cash Dividend,quarterly
0.045,1995-09-27,1995-10-01,1995-10-21,Cash Dividend,quarterly
0.045,1995-03-24,0000-00-00,0000-00-00,Cash Dividend,0
0.045,1994-12-23,1995-01-01,1995-01-21,Cash Dividend,quarterly
0.038,1994-09-26,1994-10-01,1994-10-21,Cash Dividend,quarterly
0.038,1994-06-27,1994-07-01,1994-07-21,Cash Dividend,quarterly
0.038,1994-03-25,1994-04-01,1994-04-21,Cash Dividend,quarterly
0.038,1993-12-27,1994-01-01,1994-01-21,Cash Dividend,quarterly
0.038,1993-09-27,1993-10-01,1993-10-21,Cash Dividend,quarterly
0.038,1993-06-25,1993-07-01,1993-07-21,Cash Dividend,quarterly
0.038,1993-03-26,1993-04-01,1993-04-21,Cash Dividend,quarterly
0.038,1992-12-24,1993-01-01,1993-01-21,Cash Dividend,quarterly
0.038,1992-09-25,1992-10-01,1992-10-20,Cash Dividend,quarterly
0.038,1992-06-25,1992-07-01,1992-07-21,Cash Dividend,quarterly
0.038,1992-03-26,1992-04-01,1992-04-21,Cash Dividend,quarterly
0.038,1991-12-24,1992-01-01,1992-01-21,Cash Dividend,quarterly
0.038,1991-09-25,1991-10-01,1991-10-22,Cash Dividend,quarterly
0.038,1991-06-25,1991-07-01,1991-07-23,Cash Dividend,quarterly
0.038,1991-03-25,1991-04-01,1991-04-23,Cash Dividend,quarterly
0.038,1990-12-24,1991-01-01,1991-01-22,Cash Dividend,quarterly
0.038,1990-09-25,1990-10-01,1990-10-23,Cash Dividend,quarterly
0.038,1990-06-25,1990-07-01,1990-07-24,Cash Dividend,quarterly
0.038,1990-03-26,1990-04-01,1990-04-24,Cash Dividend,quarterly
0.038,1989-12-22,1990-01-01,1990-01-23,Cash Dividend,quarterly
0.038,1989-09-25,1989-10-01,1989-10-20,Cash Dividend,quarterly
0.038,1989-06-26,1989-07-01,1989-07-21,Cash Dividend,quarterly
0.038,1989-03-27,1989-04-01,1989-04-21,Cash Dividend,quarterly
0.038,1988-12-23,1989-01-01,1989-01-20,Cash Dividend,quarterly
0.038,1988-09-26,1988-10-01,1988-10-21,Cash Dividend,quarterly
0.038,1988-06-27,1988-07-01,1988-07-22,Cash Dividend,quarterly
0.038,1988-03-25,1988-04-01,1988-04-22,Cash Dividend,quarterly
0.038,1987-12-24,1988-01-01,1988-01-22,Cash Dividend,quarterly
0.031,1987-09-25,1987-10-01,1987-10-22,Cash Dividend,quarterly
0.031,1987-06-25,1987-07-01,1987-07-22,Cash Dividend,quarterly
0.031,1987-03-26,1987-04-01,1987-04-22,Cash Dividend,quarterly
0.031,1987-01-05,1987-01-09,1987-01-30,Cash Dividend,quarterly
