,,Gross Notional Outstanding,Gross Notional Outstanding
Product Type,Product Type,Cleared**,Uncleared
Total Metals*,Exotic,,
Total Metals*,Option,,
Total Metals*,Spot/Forward,,
Total Metals*,Swap,,
,,,
Total Energy,Exotic,,
Total Energy,Option,,
Total Energy,Spot/Forward,,
Total Energy,Swap,,
,,,
Total Agricultural,Exotic,,
Total Agricultural,Option,,
Total Agricultural,Spot/Forward,,
Total Agricultural,Swap,,
,,,
Total Index,Exotic,,
Total Index,Option,,
Total Index,Spot/Forward,,
Total Index,Swap,,
,,,
Total Other***,Exotic,,
Total Other***,Option,,
Total Other***,Spot/Forward,,
Total Other***,Swap,,
,,,
TOTAL,TOTAL,N/A****,
"Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and cleared status (millions of USD), all participant types, tenors, and currencies.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and cleared status (millions of USD), all participant types, tenors, and currencies.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and cleared status (millions of USD), all participant types, tenors, and currencies.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and cleared status (millions of USD), all participant types, tenors, and currencies."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.
"***Environment, Freight, Multi-Commodity Exotic","***Environment, Freight, Multi-Commodity Exotic","***Environment, Freight, Multi-Commodity Exotic","***Environment, Freight, Multi-Commodity Exotic"
****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
