CMTE_ID,CMTE_NM,PURPOSE,SUM(FI.TRANSACTION_AMT)
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,401K PAYABLE,1354.51
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,ADMINISTRATION CONSULTING,13700
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,ADMINISTRATIVE CHARGES,260
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,AIRFARE,504.2
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,AUDIO/VISUAL CHARGES,27686.62
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,BANK CHARGES,226.76
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,BENEFITS COST,336492.43
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CAR RENTAL,7154
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CATERING,942629.83
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,"CATERING,FOOD & BEVERAGE",124213.21
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CHECK PROCESSING CHARGES EXPENSES,25908.59
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,COMMUNICATION CONSULTANT,225966.67
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,COMPUTER CONSULTING,26700
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CONGRESSIONAL PRESS GALLERIES,40499.61
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CONVENTION CLOSEOUT,69200.39
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CONVENTION CONSULTANT,374300
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,CONVENTION HALL LAYOUT,7109.97
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,DESIGN/PRINTING,245537.7
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,DESIGN/PRINTING/ SIGNAGE,93244.19
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,ENTERTAINMENT COST,2500
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,ENTERTAINMENT VENUE & CONCERT  COST,1500
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EQUIPMENT PURCHASE COMPUTERS,110603.25
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EQUIPMENT PURCHASES,4109.76
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EQUIPMENT RENTAL,10116.48
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EVENT ENGINEER,1929.74
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EVENTS-MEETINGS VENUE RENTAL FEE,713.6
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,EVENTS-PRODUCTION COST,14250
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,FED/STATE FEES & LICENSE,11838.63
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,FINANCIAL CONSULTING FEES,42345
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,GIFTS/ TRINKETS,3512.06
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,GIFTS/TRINKETS,14494.08
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,HEALTH INS PREMIUMS,1170.25
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,HOUSING  CONVENTION STAFF,269169.07
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,HOUSING : CONVENTION WEEK,194769.98
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,HOUSING :PRODUCTION,165323
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,INTERNS STIPENDS REFUNDS,4500
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,LEGAL CONSULTING FEES,73705.2
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,LODGING & CATERING,92389.55
C00435560,2008 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC.,MAKEUP ARTIST CONSULTANT,3320
