ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,SWIM,T2,RUN,POSITION,TOTAL TIME
Mike,Trees,GBR,10587,00:00:00,00:00:00,00:13:58,00:00:57,00:16:53,1,00:31:47
Stephen,Farrell,NZL,10605,00:00:00,00:00:00,00:14:23,00:01:15,00:17:03,2,00:32:40
Danilo,Palmucci,ITA,10597,00:00:00,00:00:00,00:14:20,00:01:23,00:17:00,3,00:32:41
Andy,Bourne,GBR,10567,00:00:00,00:00:00,00:12:59,00:01:02,00:18:42,4,00:32:43
Paul,Jennings,GBR,10576,00:00:00,00:00:00,00:13:07,00:01:00,00:19:06,5,00:33:13
Edward,Mcconvey,IRL,10595,00:00:00,00:00:00,00:14:37,00:01:05,00:17:50,6,00:33:32
Wayne,Campbell,NZL,10604,00:00:00,00:00:00,00:13:26,00:01:07,00:19:16,7,00:33:48
Francis,Mahony,AUS,10625,00:00:00,00:00:00,00:15:55,00:01:14,00:17:02,8,00:34:11
Greg,Lewis,GBR,10578,00:00:00,00:00:00,00:15:25,00:01:10,00:18:31,9,00:35:05
Yaron,Cohen,ISR,10596,00:00:00,00:00:00,00:15:05,00:01:26,00:18:40,10,00:35:10
Martin,Duthie,GBR,10570,00:00:00,00:00:00,00:15:27,00:01:18,00:18:27,11,00:35:11
Stephen,Rimmer,GBR,10583,00:00:00,00:00:00,00:14:26,00:01:04,00:19:50,12,00:35:19
Bob,Pugh,USA,10619,00:00:00,00:00:00,00:13:07,00:01:26,00:21:00,13,00:35:32
Mark,Tudor,GBR,10588,00:00:00,00:00:00,00:14:04,00:01:24,00:20:11,14,00:35:38
Andy,Williams 1963,GBR,10590,00:00:00,00:00:00,00:15:28,00:01:28,00:19:02,15,00:35:58
Jacek,Dziarek,POL,10608,00:00:00,00:00:00,00:15:40,00:01:27,00:18:54,16,00:36:00
Ian,Smith,GBR,10585,00:00:00,00:00:00,00:15:33,00:01:12,00:19:20,17,00:36:04
Roger,Cole,USA,10614,00:00:00,00:00:00,00:13:25,00:01:37,00:21:06,18,00:36:07
John,Felts,USA,10615,00:00:00,00:00:00,00:14:14,00:01:20,00:20:34,19,00:36:07
Simon,Dales,GBR,10568,00:00:00,00:00:00,00:17:06,00:01:14,00:17:49,20,00:36:08
Michael,Flaherty,GBR,10571,00:00:00,00:00:00,00:16:10,00:01:10,00:19:02,21,00:36:20
Steve,Murray,CAN,10635,00:00:00,00:00:00,00:15:11,00:01:28,00:20:11,22,00:36:49
Mark,Frost,GBR,10572,00:00:00,00:00:00,00:15:33,00:01:26,00:20:00,23,00:36:58
Dave,Scott,NZL,10607,00:00:00,00:00:00,00:16:35,00:01:27,00:19:17,24,00:37:17
Victor Hugo,Servin Campos,MEX,10602,00:00:00,00:00:00,00:15:34,00:01:41,00:20:06,25,00:37:20
Keren,Miers,JPN,10598,00:00:00,00:00:00,00:16:27,00:01:58,00:18:59,26,00:37:23
Ian,Imeson,GBR,10575,00:00:00,00:00:00,00:16:54,00:01:34,00:19:13,27,00:37:41
Andrew,Stiles,GBR,10586,00:00:00,00:00:00,00:17:00,00:01:27,00:19:20,28,00:37:47
Mark,Hlady,CAN,10639,00:00:00,00:00:00,00:15:23,00:01:34,00:20:54,29,00:37:50
David,Morgan,GBR,10579,00:00:00,00:00:00,00:16:52,00:01:49,00:19:13,30,00:37:52
Dave,Bethell,GBR,10566,00:00:00,00:00:00,00:15:42,00:01:23,00:20:56,31,00:37:59
Ian,Gilham,GBR,10573,00:00:00,00:00:00,00:17:23,00:01:14,00:19:29,32,00:38:06
Andre,Pepler,RSA,10610,00:00:00,00:00:00,00:16:41,00:01:42,00:19:51,33,00:38:13
Marcelo,De Sant'Ana,BRA,10630,00:00:00,00:00:00,00:16:10,00:01:59,00:20:10,34,00:38:18
Neil,Dick,GBR,10569,00:00:00,00:00:00,00:17:38,00:01:11,00:19:33,35,00:38:21
Phil,Parr-Burman,GBR,10581,00:00:00,00:00:00,00:15:59,00:01:15,00:21:09,36,00:38:21
Antonio,Navarro Navarro,MEX,10600,00:00:00,00:00:00,00:16:55,00:01:28,00:19:59,37,00:38:22
Rob,Urbach,USA,10620,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,38,00:38:49
Ian,Simnor,GBR,10584,00:00:00,00:00:00,00:16:15,00:01:28,00:21:08,39,00:38:51
Laurence,Wrensch,RSA,10611,00:00:00,00:00:00,00:17:40,00:01:21,00:19:52,40,00:38:52
Alan,Draper,AUS,10622,00:00:00,00:00:00,00:16:57,00:01:20,00:20:38,41,00:38:53
Andrew,Pryke,GBR,10582,00:00:00,00:00:00,00:16:08,00:01:25,00:21:26,42,00:38:57
David Andrew,Keetley,GBR,10577,00:00:00,00:00:00,00:16:38,00:01:18,00:21:11,43,00:39:06
Michael,Mccormick,AUS,10626,00:00:00,00:00:00,00:17:09,00:01:37,00:21:02,44,00:39:46
David,Livengood,USA,10617,00:00:00,00:00:00,00:16:33,00:01:26,00:22:00,45,00:39:57
Thomas,Kirsten,BRA,10632,00:00:00,00:00:00,00:16:38,00:01:16,00:22:43,46,00:40:35
Scott,Burridge,NZL,10603,00:00:00,00:00:00,00:19:46,00:01:38,00:19:23,47,00:40:45
Niall,Maloney,IRL,10594,00:00:00,00:00:00,00:17:11,00:01:23,00:22:22,48,00:40:55
Juan Carlos,Perez Gongora,MEX,10601,00:00:00,00:00:00,00:17:50,00:01:47,00:21:20,49,00:40:56
Graham,Tye,GBR,10589,00:00:00,00:00:00,00:18:57,00:01:25,00:20:48,50,00:41:08
Bill,Preshing,CAN,10636,00:00:00,00:00:00,00:18:43,00:01:37,00:20:56,51,00:41:15
Anthony,Reidy,NZL,10606,00:00:00,00:00:00,00:17:38,00:01:40,00:22:10,52,00:41:27
Yuriy,Stenin,RUS,10638,00:00:00,00:00:00,00:18:49,00:01:53,00:20:53,53,00:41:34
Morgan,Thomas,AUS,10629,00:00:00,00:00:00,00:17:14,00:01:34,00:23:09,54,00:41:57
Andrew,Palowitch,USA,10618,00:00:00,00:00:00,00:19:00,00:01:33,00:21:51,55,00:42:23
Santiago,Galas Valdes,MEX,10599,00:00:00,00:00:00,00:16:28,00:01:35,00:24:25,56,00:42:28
Glenn,Jankowitz,USA,10616,00:00:00,00:00:00,00:21:01,00:01:32,00:23:36,57,00:46:07
Dave,Mackay,AUS,10623,00:00:00,00:00:00,00:17:29,00:02:19,00:28:29,58,00:48:16
Stephen,Murphy,AUS,10627,00:00:00,00:00:00,00:24:06,00:01:53,00:23:36,59,00:49:34
Donald,Bosch,USA,10613,00:00:00,00:00:00,00:18:38,00:02:20,00:29:12,60,00:50:09
Jim,Wernham,CAN,10637,00:00:00,00:00:00,00:22:37,00:01:23,00:26:50,61,00:50:49
Philip,Penaloza,HKG,10592,00:00:00,00:00:00,00:39:06,00:03:49,00:43:35,62,01:26:30
Günter,Rothmayer,GER,10591,00:00:00,00:00:00,00:16:46,00:01:41,00:00:00,DNS,00:00:00
