ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Jacob,Birtwhistle,AUS,1,00:09:52,00:00:00,00:29:11,00:00:00,00:15:59,1,00:55:03,Youth Men
Luke,Willian,AUS,15,00:09:38,00:00:00,00:29:27,00:00:00,00:16:14,2,00:55:20,Youth Men
Marc,Austin,GBR,18,00:09:36,00:00:00,00:29:26,00:00:00,00:16:30,3,00:55:33,Youth Men
David,Pap,HUN,14,00:09:45,00:00:00,00:29:20,00:00:00,00:16:39,4,00:55:45,Youth Men
Matthew,Baker,AUS,6,00:09:44,00:00:00,00:29:16,00:00:00,00:16:58,5,00:55:59,Youth Men
Zhengyu,Duan,CHN,7,00:09:45,00:00:00,00:29:20,00:00:00,00:16:54,6,00:56:00,Youth Men
Sam,Ward,NZL,9,00:09:49,00:00:00,00:29:17,00:00:00,00:17:11,7,00:56:17,Youth Men
Ryousuke,Maeda,JPN,12,00:09:33,00:00:00,00:29:28,00:00:00,00:17:22,8,00:56:24,Youth Men
Christian,Wilson,AUS,20,00:09:30,00:00:00,00:29:32,00:00:00,00:17:28,9,00:56:31,Youth Men
Bas,De Waal,NED,5,00:09:35,00:00:00,00:29:29,00:00:00,00:18:07,10,00:57:12,Youth Men
Luis Miguel,Velasquez,VEN,3,00:09:40,00:00:00,00:29:22,00:00:00,00:18:55,11,00:57:58,Youth Men
Takanori,Sugihara,JPN,4,00:09:41,00:00:00,00:30:23,00:00:00,00:18:39,12,00:58:44,Youth Men
Gordon,Benson,GBR,16,00:09:39,00:00:00,00:29:25,00:00:00,00:20:04,13,00:59:10,Youth Men
Troy,Mcalister,NZL,19,00:09:58,00:00:00,00:30:05,00:00:00,00:19:11,14,00:59:15,Youth Men
Olivier,Nass,NED,8,00:10:03,00:00:00,00:29:58,00:00:00,00:20:36,15,01:00:38,Youth Men
Minghao,Li,CHN,11,00:09:34,00:00:00,00:30:30,00:00:00,00:22:46,16,01:02:51,Youth Men
Sam Brian,Mitchelmore,HKG,2,00:10:11,00:00:00,00:34:16,00:00:00,00:20:02,17,01:04:30,Youth Men
Kristian ,Blummenfelt,NOR,10,00:09:47,00:00:11,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Youth Men
Eddie,Van Heerden,RSA,17,00:09:45,00:00:12,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Youth Men
Jaz,Hedgeland,AUS,11,00:10:19,00:00:12,00:30:14,00:00:11,00:18:23,1,00:59:22,Youth Women
Sumire,Ohara,JPN,19,00:10:20,00:00:10,00:30:17,00:00:14,00:18:29,2,00:59:33,Youth Women
Georgia,Taylor-Brown,GBR,3,00:10:16,00:00:14,00:30:17,00:00:15,00:18:34,3,00:59:37,Youth Women
Jodie,Duff,AUS,15,00:10:22,00:00:13,00:30:12,00:00:13,00:18:40,4,00:59:43,Youth Women
Mikayla,Nielsen,NZL,6,00:10:47,00:00:12,00:30:57,00:00:16,00:18:03,5,01:00:15,Youth Women
Holly,Grice,AUS,1,00:10:19,00:00:11,00:30:15,00:00:16,00:19:37,6,01:00:41,Youth Women
Anna,Coldham,AUS,10,00:10:19,00:00:12,00:30:14,00:00:15,00:19:56,7,01:00:58,Youth Women
Sophie,Coldwell,GBR,5,00:10:17,00:00:12,00:30:16,00:00:13,00:20:06,8,01:01:07,Youth Women
Renata,Fuchs,HUN,17,00:10:32,00:00:13,00:31:09,00:00:17,00:19:34,9,01:01:48,Youth Women
Hrista,Stoyneva,BUL,16,00:10:50,00:00:11,00:30:56,00:00:12,00:19:52,10,01:02:03,Youth Women
Elise,Salt,NZL,7,00:10:47,00:00:14,00:30:55,00:00:16,00:20:10,11,01:02:24,Youth Women
Fumika,Matsumoto,JPN,20,00:11:47,00:00:11,00:32:29,00:00:15,00:19:27,12,01:04:10,Youth Women
Yubin,Xia,CHN,14,00:10:24,00:00:13,00:31:20,00:00:20,00:22:13,13,01:04:32,Youth Women
Steffy Mishel,Salazar,ECU,9,00:10:45,00:00:13,00:34:33,00:00:20,00:19:48,14,01:05:41,Youth Women
Jeanine,Kocken,NED,4,00:10:57,00:00:13,00:33:16,00:00:16,00:22:19,15,01:07:03,Youth Women
Laurelle,Brown,ZIM,18,00:12:12,00:00:12,00:34:02,00:00:16,00:20:59,16,01:07:42,Youth Women
Britt,De Waal,NED,2,00:11:17,00:00:12,00:34:56,00:00:13,00:23:10,17,01:09:50,Youth Women
Oxana,Grot,KAZ,8,00:12:08,00:00:12,00:38:47,00:00:00,00:00:00,DNF,00:00:00,Youth Women
Yuting,Huang,CHN,12,00:10:27,00:00:13,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Youth Women
