NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Arizona Diamondbacks,ARI,10,11,0.476,87,93,9.9,11.1,0.469,9.8,11.2,0.469,87.35816247113692,93.4277354315986,9.7,11.3,0.462,83.66521726608272,90.78768767214413,0.1,0.2,0.3,0.253,0.256,0.469,0.449
Atlanta Braves,ATL,13,8,0.619,109,83,13.1,7.9,0.626,11.5,9.5,0.55,97.92494112095105,88.11832568169675,11.2,9.8,0.533,98.02572373193925,91.44206220414229,-0.1,1.5,1.8,0.258,0.26,0.582,0.562
Baltimore Orioles,BAL,13,8,0.619,90,80,11.6,9.4,0.553,10.8,10.2,0.513,86.4607895823567,84.1133722979355,10.5,10.5,0.498,80.23540206700909,80.61411820479476,1.4,2.2,2.5,0.258,0.26,0.546,0.566
Boston Red Sox,BOS,10,10,0.5,115,114,10.1,9.9,0.504,9.8,10.2,0.492,108.39907999472233,110.14697968203498,10.1,9.9,0.503,100.73372006728877,100.16397269492032,-0.1,0.2,-0.1,0.263,0.259,0.5,0.52
Chicago White Sox,CHA,10,11,0.476,81,81,10.5,10.5,0.5,12.3,8.7,0.585,86.13251518910808,71.05345643088303,13.1,7.9,0.622,89.05172142599483,67.46540287291418,-0.5,-2.3,-3.1,0.26,0.259,0.546,0.566
Chicago Cubs,CHN,7,14,0.333,73,96,7.9,13.1,0.378,7.5,13.5,0.356,66.38316373987492,92.45602064718673,8,13,0.38,72.65066844243901,95.38774978527034,-0.9,-0.5,-1,0.257,0.251,0.362,0.344
Cincinnati Reds,CIN,10,11,0.476,81,85,10,11,0.478,10,11,0.478,86.38154028769532,90.68367005047338,10.8,10.2,0.514,92.87825699035498,90.16769450579453,0,0,-0.8,0.258,0.249,0.486,0.467
Cleveland Indians,CLE,10,9,0.526,86,91,9,10,0.473,9.6,9.4,0.503,89.7010021229165,89.22454553592242,9.2,9.8,0.484,95.35254695117696,98.6239280525525,1,0.4,0.8,0.257,0.26,0.497,0.517
Colorado Rockies,COL,10,10,0.5,102,104,9.8,10.2,0.491,8.7,11.3,0.433,96.18955773581018,110.43449661258663,7.9,12.1,0.393,76.49130859796162,95.51110105640015,0.2,1.3,2.1,0.255,0.259,0.454,0.434
Detroit Tigers,DET,11,10,0.524,92,98,9.9,11.1,0.47,8.2,12.8,0.388,81.55227985278668,103.94288541751106,8.9,12.1,0.422,78.14011251526851,92.40328999040314,1.1,2.8,2.1,0.267,0.258,0.451,0.471
Houston Astros,HOU,8,13,0.381,95,91,10.9,10.1,0.52,10.7,10.3,0.512,95.1879583801083,92.91050803562769,11,10,0.522,97.08011666132745,92.67693190428288,-2.9,-2.7,-3,0.257,0.255,0.484,0.464
Kansas City Royals,KCA,6,14,0.3,79,95,8.3,11.7,0.415,9.3,10.7,0.467,87.20594001921444,93.5544254776843,9,11,0.452,86.98801802772113,96.35189363365319,-2.3,-3.3,-3,0.257,0.262,0.409,0.428
Los Angeles Angels,LAA,7,14,0.333,76,87,9.2,11.8,0.439,8.4,12.6,0.398,70.16817118961444,88.38463056053284,8.1,12.9,0.387,71.29470867697876,92.13232802965175,-2.2,-1.4,-1.1,0.26,0.264,0.39,0.409
Los Angeles Dodgers,LAN,15,6,0.714,87,73,12.1,8.9,0.578,13.1,7.9,0.626,90.85610902768748,68.28682730933352,12.9,8.1,0.614,100.11964315637121,77.3038475494344,2.9,1.9,2.1,0.253,0.257,0.633,0.614
Milwaukee Brewers,MIL,9,12,0.429,91,117,8,13,0.381,7.9,13.1,0.377,89.04393107682124,115.53176558434849,8.3,12.7,0.395,83.9871762958853,104.87370012257762,1,1.1,0.7,0.261,0.255,0.395,0.376
Minnesota Twins,MIN,5,15,0.25,77,116,6.3,13.7,0.313,7.2,12.8,0.361,80.67757345409562,108.6883442341051,7.6,12.4,0.379,77.01862437738411,99.78800544720667,-1.3,-2.2,-2.6,0.266,0.261,0.326,0.344
New York Yankees,NYA,11,9,0.55,112,99,11.2,8.8,0.56,11.1,8.9,0.553,115.92579261310748,104.28077490050043,10.9,9.1,0.544,111.60680780416138,102.15200292867878,-0.2,-0.1,0.1,0.261,0.261,0.552,0.572
New York Mets,NYN,12,9,0.571,82,102,8.4,12.6,0.4,9.8,11.2,0.464,93.19612389961273,100.52305910959893,10,11,0.477,95.75103234009501,100.45119532158861,3.6,2.2,2,0.257,0.255,0.478,0.458
Oakland Athletics,OAK,11,11,0.5,65,76,9.5,12.5,0.434,8.7,13.3,0.396,62.9630374223111,80.44418983680833,8.5,13.5,0.387,70.01004972284596,91.54438895861844,1.5,2.3,2.5,0.257,0.261,0.429,0.449
Philadelphia Phillies,PHI,10,11,0.476,69,69,10.5,10.5,0.5,10.5,10.5,0.501,68.56289965152281,68.39856656593274,10,11,0.474,72.08392603563433,76.63344870978067,-0.5,-0.5,0,0.252,0.257,0.488,0.468
Pittsburgh Pirates,PIT,9,11,0.45,46,59,8,12,0.401,8.5,11.5,0.427,48.23310006435335,57.89080510781511,9,11,0.451,54.77039067648931,61.80570834983949,1,0.5,0,0.26,0.254,0.432,0.413
San Diego Padres,SDN,7,15,0.318,71,87,9.1,12.9,0.411,9.1,12.9,0.414,72.00846587779216,87.640206665046,9.5,12.5,0.434,80.39488532440082,93.5088938656497,-2.1,-2.1,-2.5,0.258,0.252,0.394,0.375
Seattle Mariners,SEA,11,11,0.5,90,93,10.7,11.3,0.485,9.7,12.3,0.441,78.88245896387673,89.99529120191985,9.8,12.2,0.447,87.7150608060646,98.63534326300264,0.3,1.3,1.2,0.258,0.255,0.468,0.488
San Francisco Giants,SFN,11,10,0.524,86,85,10.6,10.4,0.505,11.5,9.5,0.55,95.77678081900453,86.13363603758577,11.3,9.7,0.54,96.5005224030667,88.66132601264123,0.4,-0.5,-0.3,0.253,0.257,0.53,0.51
St. Louis Cardinals,SLN,14,7,0.667,111,57,16.2,4.8,0.77,16.2,4.8,0.77,108.8703321552908,56.01548410417683,15.5,5.5,0.737,106.78259758981142,60.42354235873034,-2.2,-2.2,-1.5,0.25,0.26,0.736,0.72
Tampa Bay Rays,TBA,13,8,0.619,98,94,10.9,10.1,0.52,11.1,9.9,0.528,97.48536827051915,91.99088886282071,11.4,9.6,0.543,96.65689921529746,88.25595350745385,2.1,1.9,1.6,0.262,0.264,0.552,0.572
