FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance
,,,,,,,,,,,,
HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  ,HECM Cases  
Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower ,Type of Borrower 
by,by,by,by,by,by,by,by,by,by,by,by,by
Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years,Fiscal Years
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Data through 06/30/2012,,,,,,,,,
