ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Javier,Gomez Noya,ESP,9,00:17:55,00:01:34,01:05:58,00:00:00,00:30:20,1,01:55:48
Alexander,Bryukhankov,RUS,8,00:17:53,00:01:26,00:00:00,00:00:00,00:00:00,2,01:56:08
Ivan,Vasiliev,RUS,14,00:17:51,00:01:36,01:06:10,00:00:00,00:31:02,3,01:56:42
Tony,Moulai,FRA,6,00:18:11,00:01:28,00:00:00,00:00:00,00:00:00,4,01:56:47
Alessandro,Fabian,ITA,3,00:17:53,00:01:27,01:06:09,00:00:00,00:31:18,5,01:56:48
Mario,Mola,ESP,2,00:18:48,00:01:27,01:05:17,00:00:00,00:31:18,6,01:56:52
Franz,Loeschke,GER,26,00:17:57,00:01:26,01:06:05,00:00:00,00:31:27,7,01:56:57
Dmitry,Polyanskiy,RUS,1,00:17:49,00:01:28,01:06:12,00:00:00,00:31:36,8,01:57:06
Aaron,Harris,GBR,24,00:18:15,00:01:33,01:05:41,00:00:00,00:31:38,9,01:57:09
Aurelien,Raphael,FRA,22,00:17:52,00:01:36,01:06:04,00:00:00,00:31:41,10,01:57:13
Joao,Pereira,POR,4,00:18:00,00:01:26,01:06:04,00:00:00,00:31:49,11,01:57:21
Fernando,Alarza,ESP,25,00:18:24,00:01:34,01:05:38,00:00:00,00:31:56,12,01:57:34
Jan,Celustka,CZE,28,00:17:57,00:01:29,01:06:04,00:00:00,00:32:12,13,01:57:43
Adam,Bowden,GBR,16,00:18:37,00:01:29,01:05:23,00:00:00,00:32:16,14,01:57:47
Mark,Buckingham,GBR,35,00:19:04,00:01:27,01:04:56,00:00:00,00:32:27,15,01:57:55
Ivan,Rana,ESP,17,00:17:53,00:01:28,01:06:00,00:00:00,00:32:51,16,01:58:15
Sven,Riederer,SUI,10,00:17:57,00:01:30,01:05:59,00:00:00,00:33:00,17,01:58:29
Danylo,Sapunov,UKR,5,00:18:00,00:01:41,01:05:57,00:00:00,00:32:54,18,01:58:34
Filip,Ospaly,CZE,45,00:18:41,00:01:30,01:05:19,00:00:00,00:33:09,19,01:58:42
Frederic,Belaubre,FRA,18,00:17:51,00:01:31,01:06:08,00:00:00,00:33:17,20,01:58:49
Igor,Polyanskiy,RUS,19,00:17:53,00:01:28,01:06:12,00:00:00,00:33:23,21,01:58:58
Duarte Silva,Marques,POR,33,00:17:55,00:01:28,01:06:15,00:00:00,00:33:24,22,01:59:04
Peter,Croes,BEL,30,00:18:23,00:01:33,01:05:31,00:00:00,00:33:40,23,01:59:09
Pierre,Le Corre,FRA,32,00:17:53,00:01:30,01:06:09,00:00:00,00:33:45,24,01:59:20
Joao,Silva,POR,11,00:17:57,00:01:27,01:06:07,00:00:00,00:33:55,25,01:59:29
Gabor,Faldum,HUN,42,00:18:38,00:01:28,01:05:23,00:00:00,00:34:00,26,01:59:30
Anton,Chuchko,RUS,44,00:17:56,00:01:28,01:06:12,00:00:00,00:34:14,27,01:59:52
Jose Miguel,Perez,ESP,12,00:18:00,00:01:28,01:06:08,00:00:00,00:34:42,28,02:00:18
Simon,De Cuyper,BEL,21,00:18:54,00:01:29,01:05:12,00:00:00,00:35:09,29,02:00:46
Alberto,Casadei,ITA,40,00:17:57,00:01:28,01:07:05,00:00:00,00:34:28,30,02:00:59
Aliaksandr,Vasilevich,BLR,50,00:18:49,00:01:33,01:05:18,00:00:00,00:35:23,31,02:01:05
Bruno,Pais,POR,20,00:18:51,00:01:30,01:05:11,00:00:00,00:35:34,32,02:01:09
Justus,Nieschlag,GER,56,00:17:59,00:00:00,00:00:00,00:00:00,00:35:49,33,02:01:20
Ron,Darmon,ISR,38,00:17:53,00:01:29,00:00:00,00:00:00,00:00:00,34,02:01:29
Pieter,Heemeryck,BEL,51,00:19:06,00:01:30,01:06:12,00:00:00,00:34:45,35,02:01:34
Maximilian,Schwetz,GER,61,00:17:46,00:01:33,01:06:09,00:00:00,00:36:44,36,02:02:14
Andreas,Schilling,DEN,47,00:18:38,00:01:30,01:04:38,00:00:00,00:37:48,37,02:02:36
Oleksiy,Syutkin,UKR,36,00:18:20,00:01:37,01:10:13,00:00:00,00:33:24,38,02:03:35
Ritchie,Nicholls,GBR,31,00:19:07,00:01:37,01:09:25,00:00:00,00:33:36,39,02:03:46
Marc-Yvan,De Kaenel,SUI,39,00:18:21,00:01:30,01:06:34,00:00:00,00:37:35,40,02:04:00
Sylwester,Kuster,POL,41,00:18:56,00:01:36,01:09:35,00:00:00,00:34:00,41,02:04:10
Florin,Salvisberg,SUI,49,00:17:53,00:01:30,01:06:05,00:00:00,00:38:59,42,02:04:30
