cod. ID,denominazione,utilizzo,competenza acque
,,,
1,Rio Novo pontili darsena presso Santa Chiara,VEDI ORDINANZA,COMUNE DI VE
2,Rio Novo pontile presso il Ponte Papadopoli,NOLO CON CONDUCENTE,COMUNE DI VE
3,Rio Novo pontili darsena presso il Ponte Papadopoli ,VEDI ORDINANZA,COMUNE DI VE
4,Rio Novo nuovi pontili presso i Tre Ponti,PROGETTO,COMUNE DI VE
5,Pontile fondamenta San Simeon Piccolo presso Ponte de la Croce (sopra gradino somm.),PROGETTO,COMUNE DI VE
6,Pontile di Palazzo Donà delle Rose in Rio del Pestrin,TRIBUNALE,COMUNE DI VE
7,Pontile in Fondamenta Santa Lucia fronte Palazzo Ferrovie sx,MERCI-NOLO CON CONDUCENTE,COMUNE DI VE
8,Pontile in Fondamenta San Simeone Piccolo presso chiesa  ,MERCI,COMUNE DI VE
9,Pontile in Fondamenta degli Scalzi fronte Calle Priuli (TRASBA),MERCI,COMUNE DI VE
10,Pontile Ramo Arnaldi in Rio del Malcanton,PROGETTO,COMUNE DI VE
11,Pontile Calle del Degolin in Rio del Malpagà,MERCI,COMUNE DI VE
12,Pontile in Fondamenta delle Capuccine in Rio di San Girolamo,PROGETTO,COMUNE DI VE
13,Pontile in Fondamenta dei Riformati in Rio di Sant'Alvise (galleggiante - CEOD),ULSS 12 (DISABILI),COMUNE DI VE
14,Pontile in Fondamenta di San Girolamo Ponte San Girolamo,PROGETTO,COMUNE DI VE
15,Pontile in Rio Terà San Leonardo presso ponte delle Guglie,PROGETTO,COMUNE DI VE
16,Pontile in Fondamenta Cannareggio presso Ponte delle Guglie,PROGETTO,COMUNE DI VE
17,Pontile in Fondamenta del Ghetto Novissimo in Rio del gheto,MERCI,COMUNE DI VE
18,Pontile in Calle Mocenigo Ca' Vecchia presso Salizada S. Samuele,MERCI,COMUNE DI VE
19,Pontile in Calle Morolin presso Palazzo Grassi,MERCI,COMUNE DI VE
20,Pontile al Ponte de l'Anconeta in Rio di San Marcuola,PROGETTO,COMUNE DI VE
21,Pontile in Angolo tra il Rio della Madalena e il Canal Grande (VESTA),PROGETTO,COMUNE DI VE
22,Pontile in Calle del Traghetto a San Felice,MERCI,COMUNE DI VE
23,Pontile in Calle Benzon presso Campo San Beneto,MERCI,COMUNE DI VE
24,Pontile in Calle del Traghetto de la Madoneta presso San Silvestro,MERCI (a fianco VESTA),COMUNE DI VE
25,Pontili di Palazzo Grimani presso Chiesa di San Luca,TRIBUNALE,COMUNE DI VE
26,Pontile in Ramo Barzizza presso San Silvestro,MERCI,COMUNE DI VE
27,A/B - Pontili davanti Palazzo Cavalli,MEZZI COMUNALI,COMUNE DI VE
28,A/B - Pontili davanti a Ca' Farsetti,MEZZI COMUNALI,COMUNE DI VE
29,Pontile in Ramo Carbon presso Ca' Farsetti,MERCI,COMUNE DI VE
30,Pontili Sottoportico delle Fabbiche Nuove Tribunale di Rialto,TRIBUNALE (galleggiante),COMUNE DI VE
31,Pontile in Ramo Dragan presso Campo Santi Apostoli (sottoportico),MERCI,COMUNE DI VE
32,Pontile in Calle de le Vele in Rio Priuli,PROGETTO,COMUNE DI VE
33,Pontile in Campiello Priuli presso Rio Priuli,PROGETTO,COMUNE DI VE
