,,TOTAL,TOTAL,TOTAL
Product,Product,HY**,IG,Other
Index Tranche*,Asia,,<100,530
Index Tranche*,Europe,,,188272
Index Tranche*,North America,23372,167805,2882
Index,Asia,726,9202,17377
Index,Europe,,,407178
Index,North America,108492,406144,60411
TOTAL,TOTAL,132590,583151,676651
"Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type  as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type  as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type  as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type  as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type and grade (millions of USD), all participant types, tenors and currencies, cleared and uncleared. This table will be expanded to reflect participant type  as more complete data becomes available."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.,**See Data Dictionary for product grade descriptions.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
