People QuickFacts,Huntington CDP,Virginia
"Population, 2012 estimate    ",X,"8,185,867"
"Population, 2010 (April 1) estimates base    ",X,"8,001,031"
"Population, percent change, April 1, 2010 to July 1, 2012    ",X,2.3%
"Population, 2010    ","11,267","8,001,024"
"Persons under 5 years, percent, 2010    ",5.3%,6.4%
"Persons under 18 years, percent, 2010    ",13.3%,23.2%
"Persons 65 years and over, percent,  2010    ",10.9%,12.2%
"Female persons, percent, 2010    ",48.0%,50.9%
,,
"White alone, percent, 2010 (a)    ",62.3%,68.6%
"Black or African American alone, percent, 2010 (a)    ",13.5%,19.4%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.4%,0.4%
"Asian alone, percent, 2010 (a)    ",9.5%,5.5%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.1%,0.1%
"Two or More Races, percent, 2010    ",4.3%,2.9%
"Hispanic or Latino, percent, 2010 (b)    ",21.7%,7.9%
"White alone, not Hispanic or Latino, percent, 2010    ",52.3%,64.8%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",77.0%,84.3%
"Foreign born persons, percent, 2007-2011    ",31.4%,11.0%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",39.6%,14.4%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",91.5%,86.6%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",54.8%,34.4%
"Veterans, 2007-2011    ","1,017","743,070"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",36.4,27.3
,,
"Housing units, 2010    ","6,409","3,364,939"
"Homeownership rate, 2007-2011    ",43.8%,68.4%
"Housing units in multi-unit structures, percent, 2007-2011    ",67.1%,21.4%
"Median value of owner-occupied housing units, 2007-2011    ","$340,600","$254,600"
"Households, 2007-2011    ","5,652","2,991,025"
"Persons per household, 2007-2011    ",1.9,2.57
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$48,900","$33,040"
"Median household income, 2007-2011    ","$76,425","$63,302"
"Persons below poverty level, percent, 2007-2011    ",8.0%,10.7%
,,
Business QuickFacts,Huntington CDP,Virginia
"Total number of firms, 2007    ",591,"638,643"
"Black-owned firms, percent, 2007    ",F,9.9%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.5%
"Asian-owned firms, percent, 2007    ",19.6%,7.0%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",S,4.5%
"Women-owned firms, percent, 2007    ",35.5%,30.1%
,,
"Manufacturers shipments, 2007 ($1000)    ",,"92,417,797"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"60,513,396"
"Retail sales, 2007 ($1000)    ","66,558","105,663,299"
"Retail sales per capita, 2007    ",,"$13,687"
"Accommodation and food services sales, 2007 ($1000)    ","10,290","15,340,483"
,,
Geography QuickFacts,Huntington CDP,Virginia
"Land area in square miles, 2010    ",1.09,"39,490.09"
"Persons per square mile, 2010    ","10,365.2",202.6
FIPS Code    ,39064,51
Counties    ,"Fairfax County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
