Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Synnöve Solbakken,Synnöve Solbakken,1957,Gunnar Hellström,,,51038
Medan åren går,Another Year,2010,Mike Leigh,,,1431181
Tre rövare,Die drei Räuber,2007,Hayo Freitag,,,448150
Noah,Noah,2014,Darren Aronofsky,,,1959490
Project X - Hemmafesten,Project X,2012,Nima Nourizadeh,,,1636826
Captain America: Return of the First Avenger,Captain America: The Winter Soldier,2014,"Anthony Russo, Joe Russo",,,1843866
På västfronten intet nytt,All Quiet on the Western Front,1930,Lewis Milestone,,,20629
Personal Effects,Personal Effects,2009,David Hollander,,,1138489
Wyatt Earp's Revenge,Wyatt Earp's Revenge,2012,Michael Feifer,,,1861439
9 millimeter,9 millimeter,1996,Peter Lindmark,,,118542
The Expendables 2,The Expendables 2,2012,Simon West,,,1764651
The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014,Marc Webb,,,1872181
Knife Fight,Knife Fight,2012,Bill Guttentag,,,1931466
Pojken som ville vara isbjörn,Drengen der ville gøre det umulige,2002,Jannik Hastrup,,,322177
Firebreather,Firebreather,2010,Peter Chung,,,1782440
Vännerna,Vännerna,2014,Beata Gårdeler,,,
Stolen,Stolen,2012,Simon West,,,1656186
Flykt genom öknen,3 Godfathers,1948,John Ford,,,40064
RoboCop,RoboCop,2014,José Padilha,,,1234721
Lego-filmen,The Lego Movie,2014,"Phil Lord, Chris Miller (II)",,,1490017
Anchorman: The Legend Continues,Anchorman 2: The Legend Continues,2013,Adam McKay,,,1229340
300: Rise of an Empire,300: Rise of an Empire,2014,Noam Murro,,,1253863
Kompani Orheim,Kompani Orheim,2012,Arild Andresen,,,2226437
Frost,Frozen,2013,"Chris Buck, Jennifer Lee (IV)",,,2294629
Mannen som älskade Yngve,Mannen som elsket Yngve,2008,Stian Kristiansen,,,1114723
Hundraåringen som klev ut genom fönstret och försvann,Hundraåringen som klev ut genom fönstret och försvann,2013,Felix Herngren,,,2113681
12 Years a Slave,12 Years a Slave,2013,Steve McQueen (III),,,2024544
Five Easy Pieces,Five Easy Pieces,1970,Bob Rafelson,,,65724
Ögonblicket före tystnaden,True Crime,1999,Clint Eastwood,,,139668
The King's Speech,The King's Speech,2010,Tom Hooper,,,1504320
The Wolf of Wall Street,The Wolf of Wall Street,2013,Martin Scorsese,,,993846
Walking with Dinosaurs 3D,Walking with Dinosaurs 3D,2013,"Barry Cook, Neil Nightingale",,,1762399
Bandidas,Bandidas,2006,"Joachim Rønning, Espen Sandberg",,,416496
