People QuickFacts,Auburn,Washington
"Population, 2013 estimate    ","74,860","6,971,406"
"Population, 2010 (April 1) estimates base    ","70,189","6,724,543"
"Population, percent change, April 1, 2010 to July 1, 2013    ",6.7%,3.7%
"Population, 2010    ","70,180","6,724,540"
"Persons under 5 years, percent, 2010    ",7.4%,6.5%
"Persons under 18 years, percent, 2010    ",25.9%,23.5%
"Persons 65 years and over, percent,  2010    ",10.2%,12.3%
"Female persons, percent, 2010    ",50.6%,50.2%
,,
"White alone, percent, 2010 (a)    ",70.5%,77.3%
"Black or African American alone, percent, 2010 (a)    ",4.9%,3.6%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",2.3%,1.5%
"Asian alone, percent, 2010 (a)    ",8.9%,7.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",1.6%,0.6%
"Two or More Races, percent, 2010    ",5.4%,4.7%
"Hispanic or Latino, percent, 2010 (b)    ",12.9%,11.2%
"White alone, not Hispanic or Latino, percent, 2010    ",65.5%,72.5%
,,
"Living in same house 1 year & over, percent, 2009-2013    ",81.9%,82.7%
"Foreign born persons, percent, 2009-2013    ",18.5%,13.2%
"Language other than English spoken at home, pct age 5+, 2009-2013    ",25.5%,18.5%
"High school graduate or higher, percent of persons age 25+, 2009-2013    ",87.5%,90.0%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ",22.1%,31.9%
"Veterans, 2009-2013    ","6,184","582,265"
"Mean travel time to work (minutes), workers age 16+, 2009-2013    ",29.1,25.7
"Housing units, 2010    ","27,834","2,885,677"
"Homeownership rate, 2009-2013    ",59.8%,63.2%
"Housing units in multi-unit structures, percent, 2009-2013    ",34.0%,25.6%
"Median value of owner-occupied housing units, 2009-2013    ","$238,500","$262,100"
"Households, 2009-2013    ","27,427","2,629,126"
"Persons per household, 2009-2013    ",2.6,2.54
"Per capita money income in past 12 months (2013 dollars), 2009-2013    ","$26,807","$30,742"
"Median household income, 2009-2013    ","$55,483","$59,478"
"Persons below poverty level, percent, 2009-2013    ",16.0%,13.4%
,,
Business QuickFacts,Auburn,Washington
"Total number of firms, 2007    ","5,068","551,340"
"Black-owned firms, percent, 2007    ",1.9%,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",1.5%,1.2%
"Asian-owned firms, percent, 2007    ",11.4%,6.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,0.2%
"Hispanic-owned firms, percent, 2007    ",3.1%,3.2%
"Women-owned firms, percent, 2007    ",26.7%,28.7%
,,
"Manufacturers shipments, 2007 ($1000)    ","1,767,399","112,053,283"
"Merchant wholesaler sales, 2007 ($1000)    ","3,732,621","76,790,966"
"Retail sales, 2007 ($1000)    ","1,417,184","92,968,519"
"Retail sales per capita, 2007    ","$22,883","$14,380"
"Accommodation and food services sales, 2007 ($1000)    ","103,844","12,389,422"
,,
Geography QuickFacts,Auburn,Washington
"Land area in square miles, 2010    ",29.62,"66,455.52"
"Persons per square mile, 2010    ","2,369.3",101.2
FIPS Code    ,3180,53
Counties    ,"King County
 Pierce County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
