,,Broker**,Broker**,Non-Broker,Non-Broker,TOTAL,TOTAL
Product,Product,Cleared***,Uncleared,Cleared,Uncleared,Cleared,Uncleared
Swap*,CFD,,,,,,
Swap*,Dividend,,,,,,
Swap*,Equity Swap,,,,,,
Swap*,Portfolio,,,,,,
Swap*,Variance,,,,,,
Option,Accumulator/Decumulator,,,,,,
Option,Vanilla (put/call),,,,,,
Option,Variance,,,,,,
Forward,Vanilla,,,,,,
Exotic,,,,,,,
Structured Products,,,,,,,
TOTAL,TOTAL,N/A****,,,,,
"Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions).","Estimated swap transaction volumes, month ending October 31, by product, participant type, and cleared status (in number of transactions)."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.
***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.
****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.,****N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
