ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Oswald,Weisenhorn,ITA,101,00:22:19,00:00:00,00:35:09,00:00:00,00:23:27,1,01:20:57
Pavel,Jindra,CZE,116,00:22:10,00:00:00,00:36:08,00:00:00,00:23:52,2,01:22:10
Anton,Steiner,ITA,102,00:22:04,00:00:00,00:37:00,00:00:00,00:23:24,3,01:22:28
Tomas,Dolezal,CZE,117,00:23:00,00:00:00,00:37:19,00:00:00,00:24:22,4,01:24:43
Sergio,Piller,ITA,130,00:23:04,00:00:00,00:37:19,00:00:00,00:24:22,5,01:25:32
Peter,Viana,ITA,139,00:22:44,00:00:00,00:40:27,00:00:00,00:25:08,6,01:28:20
Paul,Gschlisser,ITA,125,00:23:12,00:00:00,00:40:11,00:00:00,00:25:38,7,01:29:02
Dario,Martocchi,ITA,132,00:23:57,00:00:00,00:39:22,00:00:00,00:25:50,8,01:29:11
Walter,Polla,ITA,103,00:23:03,00:00:00,00:42:01,00:00:00,00:24:08,9,01:29:13
Bernhard,Capitani,ITA,105,00:23:19,00:00:00,00:41:59,00:00:00,00:23:52,10,01:29:13
Dario,Soncini,ITA,131,00:23:51,00:00:00,00:39:55,00:00:00,00:26:27,11,01:30:16
Stefan,Frank,GER,123,00:22:55,00:00:00,00:42:44,00:00:00,00:25:33,12,01:31:13
Roland,Osele,ITA,104,00:24:22,00:00:00,00:39:09,00:00:00,00:27:47,13,01:31:19
Stefan,Dietl,ITA,168,00:25:10,00:00:00,00:40:01,00:00:00,00:26:08,14,01:31:20
Tomas,Niederegger,ITA,110,00:23:00,00:00:00,00:41:12,00:00:00,00:27:52,15,01:32:05
Ivo,Grabmuller,CZE,149,00:24:07,00:00:00,00:43:44,00:00:00,00:25:41,16,01:33:33
Christoph,Felderer,ITA,126,00:24:55,00:00:00,00:42:30,00:00:00,00:26:38,17,01:34:03
Richard,Andres,ITA,151,00:23:59,00:00:00,00:43:57,00:00:00,00:26:13,18,01:34:10
Andreas,Felderer,ITA,113,00:25:12,00:00:00,00:42:40,00:00:00,00:26:47,19,01:34:42
Robert,Maul,GER,144,00:24:10,00:00:00,00:43:49,00:00:00,00:27:08,20,01:35:08
David,Senn,SUI,148,00:24:37,00:00:00,00:44:30,00:00:00,00:25:59,21,01:35:08
Björn,Reichelt,GER,137,00:24:42,00:00:00,00:44:02,00:00:00,00:27:25,22,01:36:11
Uli,Mutscheller,GER,107,00:24:57,00:00:00,00:44:24,00:00:00,00:26:53,23,01:36:15
Hubert,Theiner,ITA,133,00:24:45,00:00:00,00:43:54,00:00:00,00:27:56,24,01:36:35
Wolfgang,Leonhard,GER,155,00:24:12,00:00:00,00:44:45,00:00:00,00:27:42,25,01:36:42
Dieter,Koch,ITA,115,00:25:15,00:00:00,00:43:35,00:00:00,00:28:05,26,01:36:56
Luca,Messina,ITA,152,00:25:14,00:00:00,00:44:32,00:00:00,00:27:13,27,01:36:59
Martin,Braxmair,GER,127,00:26:56,00:00:00,00:45:17,00:00:00,00:25:36,28,01:37:50
Michael,Schadler,LIE,170,00:26:26,00:00:00,00:45:13,00:00:00,00:26:10,29,01:37:51
Tobias,Blaas,ITA,109,00:25:34,00:00:00,00:43:16,00:00:00,00:29:53,30,01:38:46
Roman,Mach,ITA,145,00:26:07,00:00:00,00:45:46,00:00:00,00:27:49,31,01:39:44
Jimmi,Pellegrini***,ITA,114,00:24:18,00:00:00,00:43:02,00:00:00,00:32:54,32,01:40:15
Patrizio,Iacomoni,ITA,138,00:25:40,00:00:00,00:42:45,00:00:00,00:31:55,33,01:40:21
Karl,Lanpacher,ITA,174,00:27:06,00:00:00,00:43:10,00:00:00,00:30:09,34,01:40:26
Andrea,Osele,ITA,173,00:25:04,00:00:00,00:47:34,00:00:00,00:29:18,35,01:41:56
Helmut,Stieger,ITA,143,00:26:46,00:00:00,00:46:47,00:00:00,00:28:41,36,01:42:13
Elmar,Tschenett,ITA,156,00:27:17,00:00:00,00:47:07,00:00:00,00:27:56,37,01:42:20
Stefano,Pessina,ITA,135,00:22:35,00:00:00,00:46:37,00:00:00,00:33:32,38,01:42:45
Alfred,Fruet,ITA,154,00:25:50,00:00:00,00:48:24,00:00:00,00:28:30,39,01:42:46
Damiano,Mirelli,ITA,122,00:25:24,00:00:00,00:48:16,00:00:00,00:29:12,40,01:42:54
Sandro,Menapace,ITA,146,00:26:03,00:00:00,00:50:58,00:00:00,00:28:01,41,01:45:02
Leonardo,Gagliardo,ITA,147,00:27:08,00:00:00,00:49:44,00:00:00,00:28:09,42,01:45:02
Paolo,Flaim,ITA,124,00:25:06,00:00:00,00:49:54,00:00:00,00:32:47,43,01:47:49
Andreas,Bernhart,ITA,121,00:26:14,00:00:00,00:48:52,00:00:00,00:32:58,44,01:48:05
Janis,Facchini,ITA,112,00:26:43,00:00:00,00:47:49,00:00:00,00:33:54,45,01:48:28
Roland,Altstaetter,ITA,136,00:26:19,00:00:00,00:51:58,00:00:00,00:30:27,46,01:48:46
Christoph,Lutz,ITA,120,00:28:07,00:00:00,00:49:13,00:00:00,00:31:45,47,01:49:07
Ernst,Morandell,ITA,172,00:27:23,00:00:00,00:52:32,00:00:00,00:30:10,48,01:50:05
Alessandro,Drusin,ITA,142,00:26:59,00:00:00,00:49:50,00:00:00,00:33:45,49,01:50:34
Alfieri,Olivo,ITA,140,00:26:54,00:00:00,00:51:13,00:00:00,00:32:54,50,01:51:04
David,Houska,ITA,128,00:25:30,00:00:00,00:53:22,00:00:00,00:32:10,51,01:51:05
Martin,Gruener,ITA,118,00:29:02,00:00:00,00:55:44,00:00:00,00:28:15,52,01:53:01
Ignaz,Blaas,ITA,159,00:27:04,00:00:00,00:54:10,00:00:00,00:32:23,53,01:53:37
Martin,Rauh,GER,150,00:25:37,00:00:00,00:54:52,00:00:00,00:33:40,54,01:54:09
Marco,Menapace,ITA,129,00:28:01,00:00:00,00:55:27,00:00:00,00:30:46,55,01:54:16
Reinhard,Erd,GER,153,00:29:04,00:00:00,00:51:19,00:00:00,00:34:12,56,01:54:35
Artur,Plangger,ITA,164,00:31:23,00:00:00,00:51:34,00:00:00,00:31:45,57,01:54:44
Philip E.c.,Schadler,LIE,171,00:29:47,00:00:00,00:54:57,00:00:00,00:30:19,58,01:55:04
Fabio,Zinato,ITA,169,00:26:12,00:00:00,00:51:36,00:00:00,00:39:34,59,01:57:23
Marco,Vecchi,ITA,162,00:29:07,00:00:00,00:57:01,00:00:00,00:33:12,60,01:59:21
Oskar,Tanzer,ITA,158,00:29:57,00:00:00,00:57:32,00:00:00,00:31:53,61,01:59:22
Helmut,Tschenett,ITA,160,00:30:53,00:00:00,00:55:14,00:00:00,00:34:50,62,02:00:59
Wunibald,Wallnoefer,ITA,157,00:33:39,00:00:00,00:58:36,00:00:00,00:51:58,63,02:24:15
