DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation,DAIO - Data I/O Corporation
Date,Open,High,Low,Close,Volume
2014-03-12,2.67,2.77,2.521,2.69,47867
2014-03-11,2.62,2.62,2.55,2.59,3952
2014-03-10,2.45,2.55,2.43,2.55,18064
2014-03-07,2.41,2.49,2.36,2.41,6661
2014-03-06,2.41,2.49,2.41,2.49,2350
2014-03-05,2.35,2.49,2.35,2.49,35768
2014-03-04,2.48,2.5,2.31,2.39,84620
2014-03-03,2.63,2.63,2.49,2.51,46575
2014-02-26,2.7,2.701,2.7,2.7,1170
2014-02-25,2.68,2.73,2.65,2.65,5904
2014-02-24,2.68,2.7,2.65,2.66,5088
2014-02-21,2.865,2.865,2.779,2.779,400
2014-02-20,2.99,3,2.84,2.84,10880
2014-02-19,2.85,2.88,2.791,2.88,14671
2014-02-18,2.8,2.84,2.8,2.84,335
2014-02-14,2.83,2.85,2.735,2.85,7591
2014-02-13,2.92,2.92,2.75,2.84,12662
2014-02-12,2.91,2.98,2.85,2.91,6410
2014-02-11,2.98,2.98,2.86,2.86,929
2014-02-10,2.88,2.892,2.86,2.88,8017
2014-02-07,3,3,2.9,2.9,1790
2014-02-06,2.91,3,2.91,2.99,1712
2014-02-05,3.09,3.09,2.89,2.96,20077
2014-02-04,3.1,3.15,3.1,3.1,27617
2014-02-03,3.14,3.15,2.99,3.15,6884
2014-01-31,3.08,3.15,3.08,3.09,21663
2014-01-30,3.13,3.24,3.09,3.14,7360
2014-01-29,3.12,3.16,3.047,3.16,39388
2014-01-28,3.24,3.25,3.14,3.24,15220
2014-01-27,3.11,3.25,3.06,3.23,179131
2014-01-24,2.9,3.48,2.89,3.05,533679
2014-01-23,2.99,3,2.88,2.98,7939
2014-01-22,2.88,3,2.88,2.93,14382
2014-01-21,2.86,2.88,2.84,2.879,15979
2014-01-17,2.89,2.89,2.73,2.8,3233
2014-01-16,2.87,2.87,2.85,2.87,7207
2014-01-15,2.849,2.849,2.849,2.849,500
2014-01-14,2.92,2.92,2.92,2.92,114
2014-01-13,2.76,2.82,2.76,2.79,3700
2014-01-10,2.73,2.86,2.73,2.765,4451
2014-01-09,2.89,2.9,2.768,2.775,4413
2014-01-08,2.65,2.99,2.65,2.87,65135
2014-01-07,2.72,2.78,2.66,2.67,4509
