,,Broker**,Broker**,Non-Broker,Non-Broker,TOTAL,TOTAL
Product,Product,Cleared***,Uncleared,Cleared,Uncleared,Cleared,Uncleared
Swap*,CFD,,0,,31750,,31750
Swap*,Dividend,,9366,,10047,,19413
Swap*,Equity Swap,,238906,,661371,,900277
Swap*,Portfolio,,22497,,308663,,331160
Swap*,Variance,,2491,,1952,,4443
Option,Accumulator/Decumulator,,1297,,11505,,12802
Option,Vanilla (put/call),,1486146,,1930302,,3416448
Option,Variance,,,,,,
Forward,Vanilla,,,,,,
Exotic,,,,,,,
Structured Products,,,174707,,1004051,,1178758
TOTAL,TOTAL,N/A****,1935410,,3959641,,5895051
"Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, October 31 monthly snapshot, by product, participant type, and cleared status (millions of USD). Data are adjusted for double-counting of inter-broker trades to show a single exposure for each trade."
