RSH - RadioShack Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),20.13,24.25,24.98,25.53,27.53,29.79,34.15,35.08,31.29,32.72,33.91,34.77,42.38,38.27,34.1,34.11,		,4.41,4.42,4.77,6.64,5.27,5.19,5.77,8.05,5.83,5.38,5.69,8.13,5.63,5.5,5.88,8.6,6.23,6.04,6.35,8.9,6.62,6.46,6.84,9.91,7.04,6.98,8.3,12.33,8.54,8.08,7.76,10.68,7.24,6.73,7.07,10.36,7.23,7.58,7.93,10.05,7.99,7.68,7.84,10.38,8.14,7.51,8.14,11.74,9.47,9,10.25,13.79,9.15,8.48,8.97,11.7,8.46,8.39,7.97,9.29
EBITDA per Share ($),2.97,3.82,2.36,3.14,3.56,4.14,3.29,2.08,3.81,3.36,3.69,3.56,2.3,0.57,-2.79,-2.79,		,0.6,0.66,0.64,1.08,0.74,0.81,0.84,1.43,0.59,0.55,0.59,0.63,0.7,0.65,0.6,1.2,0.72,0.73,0.73,1.38,0.86,0.87,0.89,1.53,0.8,0.8,0.85,0.85,0.41,0.26,0.12,1.29,0.8,0.72,0.83,1.49,0.7,0.75,0.88,1.04,0.84,0.89,0.73,1.23,0.89,0.88,0.82,1.06,0.76,0.67,0.33,0.52,0.29,0.06,-0.14,0.37,0.02,-0.23,-1,-1.58
EBIT per Share ($),2.47,3.18,1.88,2.37,2.86,3.44,2.35,1.15,2.81,2.5,2.93,2.85,1.5,-0.25,-3.42,-3.4099999999999997,		,0.45,0.53,0.51,1,0.58,0.66,0.68,1.26,0.58,0.39,0.43,0.48,0.56,0.36,0.44,1.04,0.56,0.54,0.53,1.24,0.7,0.69,0.73,1.32,0.54,0.59,0.62,0.61,0.18,0.01,-0.11,1.07,0.54,0.47,0.57,1.25,0.49,0.54,0.66,0.81,0.64,0.7,0.55,1.04,0.71,0.71,0.65,0.87,0.61,0.47,0.11,0.3,0.07,-0.14,-0.34,0.16,-0.18,-0.41,-1.17,-1.65
Earnings per Share (diluted) ($),1.43,1.84,0.85,1.45,1.77,2.08,1.79,0.54,1.74,1.49,1.63,1.68,0.7,-1.39,-3.97,-3.971,		,0.27,0.3,0.29,0.571,0.35,0.38,0.39,0.734,0.23,0.21,0.23,0.182,0.31,0.28,0.25,0.62,0.33,0.34,0.34,0.76,0.41,0.42,0.43,0.815,0.34,0.33,0.75,0.378,0.06,-0.02,-0.12,0.619,0.31,0.34,0.34,0.767,0.3,0.32,0.39,0.495,0.34,0.39,0.3,0.596,0.39,0.41,0.37,0.511,0.33,0.24,0,0.118,-0.08,-0.21,-0.47,-0.632,-0.43,-0.53,-1.11,-1.901
Free Cashflow per Share ($),2.27,-0.01,3.42,2.36,2.78,0.77,2.81,1.72,2.47,1.47,1.31,0.61,1.31,-1.11,0,0.010000000000000009,		,-0.2,0.6,0.21,1.64,-0.15,-0.2,-0.57,0.91,0.67,0.77,0.52,1.48,0.78,0.78,-0.33,1.13,0.48,0.82,0.6,0.88,-0.15,-0.48,0.16,1.27,-0.65,-0.03,0.06,3.81,-2.28,1.32,0.7,1.97,0.28,0.68,0.72,0.78,-0.05,0.78,0.27,0.47,0.48,0.31,-0.3,0.81,-0.21,0.34,0.76,-0.32,0.43,0.13,1.39,-0.64,0.37,-0.42,-0.07,-0.99,0.18,0.4,0.97,-1.54
Dividends Per Share,0.205,0.22,0.165,0.22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0,0,		,0.05,0.05,0.05,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0,0,0,0,0.22,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0.125,0.125,0,0,0,0,0,0
Book Value Per Share ($),3.7,4.37,3.98,4.32,4.69,5.82,4.37,4.81,5.87,6.88,8.37,7.97,7.58,6.01,2.06,2.06,		,3.82,4.06,3.99,3.63,3.34,3.47,3.84,4.37,4.59,4.52,4.35,3.98,4.09,4.04,3.93,4.32,4.32,4.42,4.43,4.69,4.99,5.19,5.13,5.82,5.8,5.98,3.73,4.37,4.52,4.53,4.42,4.81,5.16,5.88,5.35,5.87,6.19,6.53,6.28,6.88,7.25,7.68,7.99,8.37,8.84,9.25,7.99,7.97,8.32,8.1,8.01,7.58,7.44,7.09,6.66,6.01,5.63,5.08,3.93,2.06
Month End Stock Price,49.188,42.813,30.6,18.74,30.68,32.88,21.03,16.78,16.86,11.94,19.5,18.49,9.71,2.12,2.6,2.16,		,31.907,48.875,51.688,49.188,50.75,47.375,64.625,42.813,36.69,30.5,24.25,30.6,30.04,30.06,20.06,18.74,22.29,26.31,28.41,30.68,33.16,28.63,28.64,32.88,24.5,23.17,24.8,21.03,19.23,14,19.3,16.78,27.03,33.14,20.66,16.86,16.25,12.27,17.28,11.94,8.57,13.96,16.57,19.5,22.63,19.51,21.33,18.49,15.01,13.31,11.62,9.71,6.22,3.84,2.38,2.12,3.36,3.16,3.41,2.6
Return on Equity %,35.86,41.8,21.42,36.18,38.800000000000004,36.57,45.35,11.23,30.769999999999996,22,19.56,24.46,9.58,-23.28,-193.9,-370.92,		,26.640000000000004,28.64,27.279999999999998,58.08,40.04,42.120000000000005,39.36,66.24,20.32,18.4,20.72,18.08,29.56,27.48,24.88,59.919999999999995,30.880000000000003,31.44,31.44,66.2,33.839999999999996,32.96,34.28,56.8,24,22.68,86.56,34.8,5.48,-2.08,-10.84,51.68000000000001,24.32,23.16,26.400000000000002,52.480000000000004,19.12,19.32,25.56,27.400000000000002,19,20.28,14.96,28.88,18.08,18.279999999999998,20.24,27.08,15.920000000000002,12.32,0.16,6.32,-4.32,-11.92,-28.439999999999998,-42.28,-30.84,-41.92,-114.12,-370.92
Return on Assets %,13.91,14.280000000000001,7.430000000000001,11.82,13.3,13.4,12.11,3.55,11.899999999999999,8.4,8.44,9.47,3.32,-6.0600000000000005,-25.15,-48.120000000000005,		,11.559999999999999,12.8,11.16,22.52,13.28,13.68,12.559999999999999,22.64,8,7.24,7.5200000000000005,6.279999999999999,11.04,9.8,7.76,19.6,10.96,11.04,10.280000000000001,22.68,12.559999999999999,12.559999999999999,11.92,20.8,9.64,9.36,18.8,9.28,1.68,-0.6799999999999999,-3.2800000000000002,16.32,9.04,9.48,9.879999999999999,20.32,8.48,8.72,8.959999999999999,10.48,7.84,8.72,6.36,12.479999999999999,8.52,8.84,8.200000000000001,10.48,7.76,4.84,0.04,2.1999999999999997,-1.6,-4.04,-8.44,-11,-8.559999999999999,-11.44,-27.96,-48.120000000000005
