,,TIB-The Independent BankersBank,,,,
,,"350 Phelps Ct., Irving TX 75038",,,,
,,888-776-4842 Toll Free//972-541-0264 fax,,,,
,,Rate Sheet Effective:,,,2011-05-19 09:16:57.530,
Product: 30 Yr Fixed Rate My Community LTV <= 95%,,,,,,Program Features 
Rate,15 Day,30 Day,45 Day,,,
4.625,93.614,93.614,93.489,,,
4.5,93.095,93.095,92.97,,,
4.375,92.468,92.468,92.343,,,FannieMae Underwriting ONLY.
4.25,,,,,,
,,,,,,
,,,,,,Can no longer accept Expanded Approval
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"Note: Effective June 4, 2007 a 1.0"
,,,,,,Loan Level Price adjustment for all MCM
,,,,,,Ineligible Transactions
,,,,,,Manufactured Homes
,,,,,,Investor Transactions
,,,,,,Second Homes
,,,,,,Cash-Out Refinance
,,,,,,
,,,,,,MCM loans must be full amortizing with
,,,,,,terms not to exceed 30 years.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,See Product Matrix for Complete Details
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
A SERVICE RELEASE PREMIUM WILL BE PAID IN ACCORDANCE WITH THE ATTACHED SCHEDULE.,,,,,,
