RSH - RadioShack Corp,
Date,Short Percentage of Float
2014-02-14,44.99%
2014-01-31,45.29%
2014-01-15,45.22%
2013-12-31,44.35%
2013-12-13,42.96%
2013-11-29,41.70%
2013-11-15,41.90%
2013-10-31,42.06%
2013-10-15,38.54%
2013-09-30,39.42%
2013-09-13,41.59%
2013-08-30,41.20%
2013-08-15,42.35%
2013-07-31,42.27%
2013-07-15,40.76%
2013-06-28,38.73%
2013-06-14,38.71%
2013-05-31,39.46%
2013-05-15,40.74%
2013-04-30,41.77%
2013-04-15,38.87%
2013-03-28,0.00%
2013-03-15,35.57%
2013-02-28,33.99%
2013-02-15,32.78%
2013-01-31,33.36%
2013-01-15,34.22%
2012-12-31,33.59%
2012-12-14,35.64%
2012-11-30,36.73%
2012-11-15,37.14%
2012-10-31,37.07%
2012-10-15,39.46%
2012-09-28,37.16%
2012-09-14,41.73%
2012-08-31,41.19%
2012-08-15,42.68%
2012-07-31,46.00%
2012-07-13,43.70%
2012-06-29,42.86%
2012-06-15,38.26%
2012-05-31,35.84%
2012-05-15,34.68%
2012-04-30,35.64%
2012-04-13,36.09%
2012-03-30,0.00%
2012-03-15,27.94%
2012-02-29,25.80%
2012-02-15,22.06%
2012-01-31,16.80%
2012-01-13,15.38%
2011-12-30,14.04%
2011-12-15,10.57%
2011-11-30,11.43%
2011-11-15,12.06%
2011-10-31,10.30%
2011-10-14,0.00%
2011-09-30,0.00%
2011-09-15,10.00%
2011-08-31,9.94%
2011-08-15,10.28%
2011-07-29,11.67%
2011-07-15,11.84%
2011-06-30,12.73%
2011-06-15,15.00%
2011-05-31,15.49%
2011-05-13,16.07%
2011-04-29,17.12%
2011-04-15,17.04%
2011-03-31,0.00%
2011-03-15,11.47%
2011-02-28,8.69%
2011-02-15,8.63%
2011-01-31,10.52%
2011-01-14,10.82%
2010-12-31,10.04%
2010-12-15,9.32%
2010-11-30,11.21%
2010-11-15,11.73%
2010-10-29,7.74%
2010-10-15,7.01%
2010-09-30,7.60%
2010-09-15,7.56%
2010-08-31,7.09%
2010-08-13,6.56%
2010-07-30,8.28%
2010-07-15,10.04%
2010-06-30,10.27%
2010-06-15,11.33%
2010-05-28,8.93%
2010-05-14,8.10%
2010-04-30,8.09%
2010-04-15,8.49%
2010-03-31,8.42%
2010-03-15,8.89%
2010-02-26,0.00%
2010-02-12,11.68%
2010-01-29,13.56%
2010-01-15,12.65%
2009-12-31,12.75%
2009-12-15,12.87%
2009-11-30,10.26%
2009-11-13,12.72%
2009-10-30,10.31%
2009-10-15,13.87%
2009-09-30,0.00%
2009-09-15,0.00%
2009-08-31,15.20%
2009-08-14,15.44%
2009-07-31,14.49%
2009-07-15,14.32%
2009-06-30,14.13%
2009-06-15,15.85%
2009-05-29,15.68%
2009-05-15,13.52%
2009-04-30,14.56%
