RSH - RadioShack Corp,,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-02-28,0.92,92647412,26941200,11480168,,
2014-02-21,0,,0,,,100346536
2014-01-31,0.93,92662624,27047527,11153496,,
2013-12-31,0.89,89042988,31585841,16503001,,100298000
2013-11-30,0.81,80905384,23445989,16393545,,
2013-10-31,0.81,81259160,23598552,15963657,,
2013-10-15,0,,0,,,100161742
2013-09-30,0.78,77609389,19482203,16651287,,100162000
2013-08-31,0.78,77725097,20367175,16591241,,
2013-07-31,0.78,77731976,20346474,17439698,,
2013-07-15,0,,0,,,99703041
2013-06-30,0.77,76631938,21571935,11768271,,99703000
2013-05-31,0.76,75626449,22197822,11457619,,
2013-04-30,0.77,76935974,22481055,11194408,,
2013-04-15,0,,0,,,99683651
2013-03-31,0.22,22001522,16744708,2122055,,99684000
2013-02-28,0.72,71570212,13588513,13524741,90272428,
2013-02-15,0,,0,,,99611504
2013-01-31,0.73,73184544,13708330,13817397,,
2012-12-31,0.77,76676868,25949104,29987991,,99608000
2012-11-30,0.79,78118957,25636533,33606525,,
2012-10-31,0.83,82417515,24862625,31979957,,
2012-10-15,0,,0,,,99561701
2012-09-30,0,100924079,36318859,34114971,,99452000
2012-08-31,0,99509772,32820033,33212554,,
2012-07-31,1,99383846,32694210,33826393,,
2012-07-16,0,,0,,,99441841
2012-06-30,0,104230108,33989383,25098322,,99442000
2012-05-31,0,104093720,34592915,23391222,,
2012-04-30,0,104093720,34592915,23391222,,
2012-04-13,0,,0,,,99427509
2012-03-31,0,106653089,32348896,13108692,,99428000
2012-02-29,0,101712668,26604619,15014821,99332044,
2012-02-14,0,,0,,,99323569
2012-01-31,0,101512747,26596419,13878398,,
2011-12-31,0.99,98699828,19149552,16279318,,99318000
2011-11-30,0.99,98699828,19149552,16279318,,
2011-10-31,0.99,98699828,19149552,16279318,,
2011-10-14,0,,0,,,99837330
2011-09-30,0.99,99574020,37506888,35071642,,99838000
2011-08-31,0,101752979,33860639,32015743,,
