,Nov 2,Nov 9,Nov 16,Nov 23,Nov 30
Total Interest Rates*,378031410,379472036,377403821,381458122,386135995
Cleared**,170130169,171935796,171729483,175615802,176458645
Uncleared,207901241,207536240,205674338,205842319,209677350
Total Cross-Currency,16595767,16458308,16476083,18336792,16707328
Cleared,N/A***,,,,
Uncleared,16595767,16458308,16476083,18336792,16707328
Total Credit,22340286,22316141,22323033,22536533,22327751
Cleared,2665509,2700012,2728021,2782197,2722339
Uncleared,19674777,19616129,19595011,19754336,19605412
Total Equities,,,,,
Cleared,0,0,0,0,0
Uncleared,,,,,
Total Commodities,3091000,3091000,3091000,3091000,3091000
Cleared,,,,,
Uncleared,,,,,
TOTAL,420058463,421337485,419293937,425422447,428262074
"Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and cleared status (millions of USD), all products, tenors, and participant types. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.,*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.,*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.,*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.,*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.,*See Data Dictionary for asset class descriptions and Explanatory Notes for data sources.
**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
