,,,,,,,,tis. Kč,
"Č.
org.",Název org.,Rok,"Počet žáků
denního
studia","Počet
zam.","Dotace MŠMT (ÚZ 33353, ...)","Dotace MŠMT (ÚZ 33353, ...)","Dotace MŠMT (ÚZ 33353, ...)","Dotace MŠMT (ÚZ 33353, ...)","Ø
příspěvek
na žáka v Kč"
"Č.
org.",Název org.,Rok,"Počet žáků
denního
studia","Počet
zam.","Mzdy
(platy, oppp)","Zákonné
odvody + FKSP",ONIV,Celkem,"Ø
příspěvek
na žáka v Kč"
1800,"Gymnázium, Blansko, Seifertova 13",2009,614,57.83,16810,6054,433,23297,37942.996742671006
1800,"Gymnázium, Blansko, Seifertova 13",2010,594,56.55,15915,5728,337,21980,37003.367003367006
1800,"Gymnázium, Blansko, Seifertova 13",2011,589,56.15,16978,5943,330,23251,39475.382003395585
1801,"Gymnázium Boskovice, Palackého náměstí 1",2009,467,45.76,13320,4788,318,18426,39456.10278372591
1801,"Gymnázium Boskovice, Palackého náměstí 1",2010,471,46.64,13058,4695,256,18009,38235.66878980892
1801,"Gymnázium Boskovice, Palackého náměstí 1",2011,477,45.22,14023,4907,260,19190,40230.60796645702
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2009,496,46.6,13344,4803,518,18665,37631.04838709677
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2010,494,46.9,13106,4717,291,18114,36668.01619433198
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2011,497,46.36,14175,4961,252,19388,39010.06036217303
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2009,846,82.1,23959,8621,591,33171,39209.21985815602
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2010,840,81.37,23064,8297,454,31815,37875
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2011,823,82.17,24262,8489,470,33221,40365.73511543135
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2009,743,72.05,21025,7381,694,29100,39165.54508748317
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2010,754,72.3,20712,7451,413,28576,37899.204244031826
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2011,746,73.73,21940,7676,358,29974,40179.62466487935
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2009,812,77.32000000000001,22807,8184,562,31553,38858.37438423646
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2010,787,75.58,21666,7750,433,29849,37927.57306226175
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2011,773,75.01,22697,7939,440,31076,40201.811125485125
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2009,351,33.85,9851,3545,247,13643,38868.94586894587
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2010,359,34.35,9683,3457,223,13363,37222.84122562674
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2011,353,33.18,10290,3602,210,14102,39949.008498583564
3801,"Gymnázium Tišnov, Na Hrádku 20",2009,486,47.24,13680,4924,328,18932,38954.73251028807
3801,"Gymnázium Tišnov, Na Hrádku 20",2010,486,46.91,13377,4813,260,18450,37962.96296296296
3801,"Gymnázium Tišnov, Na Hrádku 20",2011,482,46.88,14048,4916,225,19189,39811.20331950208
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2009,355,34.52,9937,3484,365,13786,38833.802816901414
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2010,351,35.33,9701,3489,197,13387,38139.60113960114
3802,"Gymnázium   T.G.Masaryka Zastávka, U školy 39",2011,356,35.51,10420,3649,195,14264,40067.41573033708
3803,"Gymnázium Židlochovice, Tyršova 400",2009,245,22.75,6548,2355,181,9084,37077.551020408166
3803,"Gymnázium Židlochovice, Tyršova 400",2010,242,22.35,6343,2281,139,8763,36210.7438016529
3803,"Gymnázium Židlochovice, Tyršova 400",2011,237,22.44,6722,2353,120,9195,38797.46835443038
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2009,248,24.08,6786,2444,236,9466,38169.35483870968
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2010,253,24.31,6652,2395,146,9193,36335.96837944664
3804,"Gymnázium a Základní umělecká škola Šlapanice, Riegrova 17",2011,251,23.64,7284,2543,127,9954,39657.370517928284
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2009,613,57.49,16857,6069,397,23323,38047.308319738986
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2010,558,53.73,15289,5501,293,21083,37783.1541218638
4800,"Gymnázium a JŠ s právem SJZ Břeclav, Sady 28.října 1",2011,553,54.38,16116,5641,312,22069,39907.77576853526
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2009,334,31.94,9257,3330,235,12822,38389.22155688623
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2010,335,31.84,8916,3210,181,12307,36737.31343283582
4801,"Gymnázium T.G.M. Hustopeče, Dukelské náměstí 7",2011,320,30.66,9079,3178,182,12439,38871.875
4802,"Gymnázium Mikulov, Komenského náměstí 7",2009,320,30.01,8790,3164,223,12177,38053.125
4802,"Gymnázium Mikulov, Komenského náměstí 7",2010,310,28.65,8730,3127,184,12041,38841.93548387097
4802,"Gymnázium Mikulov, Komenského náměstí 7",2011,287,28.31,8259,2891,164,11314,39421.602787456446
5800,"Gymnázium Hodonín, Legionářů 1",2009,459,44.65,12839,4620,310,17769,38712.4183006536
5800,"Gymnázium Hodonín, Legionářů 1",2010,488,44.48,12726,4575,246,17547,35956.96721311475
5800,"Gymnázium Hodonín, Legionářů 1",2011,455,44.54,13314,4659,244,18217,40037.36263736264
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2009,594,55.31,16377,5894,421,22692,38202.0202020202
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2010,596,55.98,16182,5823,345,22350,37500
5801,"Klvaňovo gymnázium Kyjov, Komenského 549",2011,598,49.91,17194,6018,343,23555,39389.63210702341
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2009,480,47.28,13667,4824,450,18941,39460.416666666664
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2010,459,47.94,13226,4758,260,18244,39747.27668845316
5802,"Purkyňovo gymnázium Strážnice, Masarykova 379",2011,475,47.5,14113,4940,257,19310,40652.631578947374
6800,"Gymnázium Bučovice, Součkova 500",2009,369,34.23,10351,3667,404,14422,39084.0108401084
6800,"Gymnázium Bučovice, Součkova 500",2010,361,33.24,9788,3503,214,13505,37409.97229916898
6800,"Gymnázium Bučovice, Součkova 500",2011,357,34.46,10350,3623,193,14166,39680.67226890756
6801,"Gymnázium Vyškov, Komenského náměstí 16",2009,724,68.62,20022,7115,590,27727,38296.96132596685
6801,"Gymnázium Vyškov, Komenského náměstí 16",2010,704,67.11,19010,6840,384,26234,37264.204545454544
6801,"Gymnázium Vyškov, Komenského náměstí 16",2011,689,68.03,20079,7026,382,27487,39894.04934687953
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2009,346,33.08,9505,3359,295,13159,38031.79190751445
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2010,328,31.69,8807,3168,174,12149,37039.634146341465
7800,"Gymnázium Moravský Krumlov, Smetanova 168",2011,312,31.58,9019,3157,185,12361,39618.58974358974
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2009,748,72.6,21486,7523,759,29768,39796.79144385027
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2010,733,71.25,20577,7332,474,28383,38721.691678035466
7801,"Gymnázium Dr. Karla Polesného Znojmo, Komenského nám.4",2011,725,72.04,21392,7486,419,29297,40409.65517241379
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2009,401,38.12,11168,3939,357,15464,38563.591022443885
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2010,402,37.62,10640,3829,173,14642,36422.8855721393
7802,"Gymnázium a SOŠ pedagogická, Znojmo, Pontassievská 3",2011,380,37.14,10653,3728,233,14614,38457.89473684211
,,,,,,,,,
,,,,,,,,,
,Dotace za RU ÚZ :,,,,,,,,
,R.2009 - ÚZ 33353 + 33005+33015+33016,,,,,,,,
,R.2010 - ÚZ 33353 + 33015,,,,,,,,
,R.2011 - ÚZ 33353 + 33015 + 33027 (k 30.6.2011),,,,,,,,
,,,,,,,,,
,Výkony z rozpisu PVV na daný rok (ZV),,,,,,,,
