Sex Offenses,,,,,,,
Offense Type,,,,,,,
"by State, 2011",,,,,,,
State,Total Offenses,Offense Type,,,,,
,,Forcible,,,,Nonforcible,
,,"Forcible
Rape","Forcible
Sodomy","Sexual Assault
with an Object","Forcible
Fondling",Incest,"Statutory
Rape"
Total,76121,27023,7227,2951,32155,1152,5613
Alabama,13,7,1,0,5,0,0
Arizona,156,31,0,1,99,2,23
Arkansas,2158,1137,197,121,575,19,109
Colorado,4927,1856,455,270,2046,90,210
Connecticut,1364,411,77,30,701,17,128
Delaware,839,293,58,6,422,2,58
District of Columbia,3,1,0,1,1,0,0
Idaho,1593,434,70,65,899,13,112
Illinois,256,118,22,0,116,0,0
Iowa,1949,822,140,104,688,44,151
Kansas,2469,800,286,0,1267,9,107
Kentucky,3485,1128,638,0,1609,32,78
Louisiana,577,208,47,8,197,39,78
Maine,219,89,19,3,68,3,37
Massachusetts,3369,1291,408,13,950,63,644
Michigan,10945,4292,1462,597,4499,5,90
Mississippi,56,22,4,0,20,0,10
Missouri,756,325,168,5,197,2,59
Montana,938,304,33,9,536,29,27
Nebraska,693,200,36,30,389,3,35
New Hampshire,1587,403,63,61,600,168,292
North Dakota,631,207,27,9,249,11,128
Ohio,6735,2466,306,0,2866,379,718
Oklahoma,439,132,42,23,203,5,34
Oregon,1212,374,103,31,530,14,160
Rhode Island,696,293,51,53,257,0,42
South Carolina,4212,1613,424,192,1700,14,269
South Dakota,876,378,24,11,303,22,138
Tennessee,5830,2039,498,263,2334,44,652
Texas,2944,1182,316,306,921,10,209
Utah,2951,737,263,148,1629,14,160
Vermont,248,116,12,1,70,5,44
Virginia,5292,1544,618,340,2582,19,189
Washington,2534,881,76,39,1307,37,194
West Virginia,1044,333,67,182,406,14,42
Wisconsin,2125,556,216,29,914,24,386
