ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Vicente,Pamblanco,ESP,136,00:15:59,00:00:53,00:31:08,00:01:33,00:08:00,1,00:57:30
Jonas,Rocha,BRA,140,00:16:06,00:00:50,00:31:12,00:01:28,00:07:57,2,00:57:32
Cristobal,Garcia Guillen,ESP,134,00:16:06,00:00:43,00:31:53,00:01:22,00:07:59,3,00:58:02
Lionel,Fernandez ,ESP,133,00:17:04,00:00:53,00:31:38,00:01:39,00:08:30,4,00:59:43
Alberto,Pamblanco,ESP,135,00:17:14,00:00:54,00:32:15,00:01:29,00:08:28,5,01:00:20
Alvaro,San Romualdo,ESP,138,00:16:43,00:00:56,00:32:58,00:01:41,00:08:31,6,01:00:48
Jeffry,Maroto,CRC,142,00:17:51,00:01:04,00:31:45,00:01:42,00:08:43,7,01:01:05
Jose Antonio,Castilla,ESP,131,00:17:57,00:01:06,00:30:44,00:01:39,00:09:45,8,01:01:10
Israel,Corral Ramos,ESP,132,00:16:57,00:00:57,00:34:01,00:01:35,00:08:32,9,01:02:03
Justin,Graves,USA,139,00:18:55,00:00:56,00:35:24,00:01:41,00:09:34,10,01:06:27
Ismael,Rodriguez Cubino,ESP,137,00:20:51,00:01:13,00:34:56,00:02:09,00:10:28,11,01:09:36
Maxim,Pinsonnault,CAN,141,00:20:07,00:00:47,00:36:33,00:01:46,00:10:46,12,01:09:58
