ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Peter,Kerr,AUS,8,00:17:29,00:01:07,01:00:51,00:00:52,00:31:11,1,01:51:28,Elite Men
Aaron,Royle,AUS,1,00:17:15,00:01:11,01:01:00,00:00:51,00:31:17,2,01:51:32,Elite Men
Tony,Dodds,NZL,2,00:17:16,00:01:13,01:00:56,00:00:50,00:31:47,3,01:52:01,Elite Men
Bryce,Mcmaster,NZL,9,00:17:22,00:01:12,01:00:52,00:00:50,00:31:51,4,01:52:06,Elite Men
Ryan,Bailie,AUS,4,00:17:26,00:01:07,01:00:35,00:00:50,00:32:36,5,01:52:32,Elite Men
Clark,Ellice,NZL,7,00:17:44,00:01:02,01:00:40,00:00:52,00:32:35,6,01:52:52,Elite Men
Martin,Van Barneveld,NZL,3,00:18:02,00:01:11,01:00:33,00:00:51,00:32:22,7,01:52:57,Elite Men
Taylor,Cecil,AUS,11,00:17:55,00:01:17,01:00:32,00:00:49,00:32:35,8,01:53:06,Elite Men
Nick,Kastelein,AUS,12,00:18:04,00:01:12,01:00:27,00:00:49,00:32:51,9,01:53:22,Elite Men
Mitchell,Kealey,AUS,5,00:17:19,00:01:14,01:00:54,00:00:50,00:33:20,10,01:53:35,Elite Men
James,Davy,AUS,19,00:18:01,00:01:16,01:00:32,00:00:54,00:33:22,11,01:54:02,Elite Men
James,Chronis,GRE,14,00:17:57,00:01:09,01:00:38,00:00:49,00:34:06,12,01:54:38,Elite Men
Cameron,Goldsmid,NZL,18,00:17:25,00:01:12,01:00:30,00:00:53,00:34:52,13,01:54:50,Elite Men
Jesse,Featonby,AUS,10,00:18:02,00:01:11,01:00:34,00:00:55,00:34:19,14,01:54:59,Elite Men
Dylan,Mcneice,NZL,23,00:17:17,00:01:14,01:00:57,00:00:53,00:34:58,15,01:55:16,Elite Men
Tim,George,AUS,20,00:18:55,00:01:07,01:02:19,00:00:50,00:32:44,16,01:55:53,Elite Men
Kenji,Nener,AUS,17,00:17:24,00:01:35,01:00:47,00:00:55,00:37:00,17,01:57:39,Elite Men
Sam,Kidd,NZL,26,00:19:05,00:01:20,01:04:46,00:00:53,00:35:11,18,02:01:14,Elite Men
Ross,Smith,NZL,24,00:18:07,00:01:13,01:05:09,00:01:00,00:37:44,19,02:03:11,Elite Men
Ben,Lyons,AUS,21,00:17:29,00:01:12,01:01:08,00:01:06,00:43:18,20,02:04:11,Elite Men
David,Vernon,NZL,27,00:18:13,00:01:21,01:13:22,00:02:10,00:00:00,DNF,00:00:00,Elite Men
Marcel,Walkington,AUS,16,00:17:29,00:01:24,01:00:57,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Matt,Brown,AUS,15,00:18:09,00:01:14,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Sam,Speechly,AUS,25,00:19:04,00:01:18,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Men
Felicity,Abram,AUS,34,00:19:27,00:01:21,01:08:16,00:01:02,00:34:53,1,02:04:56,Elite Women
Kate,Mcilroy,NZL,33,00:19:04,00:01:14,01:08:42,00:01:00,00:35:09,2,02:05:08,Elite Women
Grace,Musgrove,AUS,35,00:19:22,00:01:22,01:08:20,00:01:05,00:35:13,3,02:05:20,Elite Women
Natalie,Van Coevorden,AUS,31,00:19:02,00:01:21,01:08:39,00:00:59,00:35:59,4,02:05:59,Elite Women
Charlotte,McShane,AUS,32,00:19:39,00:01:21,01:08:02,00:01:01,00:37:12,5,02:07:13,Elite Women
Samantha,Warriner,NZL,45,00:19:41,00:01:16,01:08:06,00:01:02,00:37:50,6,02:07:52,Elite Women
Anneke,Jenkins,NZL,44,00:19:40,00:01:17,01:11:34,00:01:10,00:37:43,7,02:11:21,Elite Women
