ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Sylvain,Dodet,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,01:53:35,Elite Men
Shane,Reed,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,01:53:47,Elite Men
Greg,Bennett,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,01:53:58,Elite Men
Richie,Cunningham,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,01:54:18,Elite Men
Brad,Kahlefeldt,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,01:54:19,Elite Men
Frederic,Belaubre,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,01:54:23,Elite Men
Andriy,Glushchenko,UKR,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,01:54:30,Elite Men
Eligio,Cervantes,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,01:54:37,Elite Men
Jose,Merchan,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,01:54:43,Elite Men
Dirk,Bockel,LUX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,01:54:46,Elite Men
Martin,Krnavek,CZE,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,11,01:54:49,Elite Men
Hector,Llanos,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,12,01:54:52,Elite Men
Ivan,Rana,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,13,01:54:55,Elite Men
Gilberto,Gonzalez,VEN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,14,01:54:56,Elite Men
Simon,Lessing,GBR,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,15,01:54:58,Elite Men
Xavier,Llobet,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,16,01:55:08,Elite Men
Victor,Plata,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,17,01:55:12,Elite Men
Richard,Allen,GBR,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,18,01:55:16,Elite Men
Norbert,Domnik,AUT,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,19,01:55:36,Elite Men
Craig,Alexander,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,20,01:55:56,Elite Men
Cedric,Deanaz,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,21,01:56:19,Elite Men
Eneko,Llanos,ESP,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,22,01:56:25,Elite Men
