Product,EUR**,GBP,JPY,USD,TOTAL
Basis*,160413,1002343,669499,5551832,7384087
FRA,15502607,3061400,19780,14396723,32980510
IRS- Plain Vanilla,48045119,8202004,15892511,32209928,104349562
OIS,12112991,4296463,,4334391,20743845
VNS,1478,"<1,000",,1414,2892
Zero Coupon,93270,33668,36406,59390,222734
TOTAL,75915878,16596399,16618195,56553677,165684150
"Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Explanatory Notes for currency descriptions.,**See Explanatory Notes for currency descriptions.,**See Explanatory Notes for currency descriptions.,**See Explanatory Notes for currency descriptions.,**See Explanatory Notes for currency descriptions.,**See Explanatory Notes for currency descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
