DAIO - Data I/O Corporation,,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-02-28,0.18,1378172,30499,128515,,
2014-01-31,0.18,1378038,30365,128515,,
2013-12-31,0.17,1353442,4931,128176,,
2013-11-30,0.18,1375053,26797,106300,,
2013-11-01,0,,0,,,7786053
2013-10-31,0.18,1375053,26797,781282,,
2013-09-30,0.18,1375552,33235,815869,,7774307
2013-08-31,0.17,1353419,11239,815973,,
2013-08-01,0,,0,,,7769954
2013-07-31,0.17,1353419,11239,815973,,
2013-06-30,0.18,1382171,5647,784511,,7769954
2013-05-31,0.17,1341815,5647,784372,,
2013-05-01,0,,0,,,7752859
2013-04-30,0.17,1341815,5647,784372,,
2013-03-31,0.07,547596,0,776182,,7752859
2013-03-22,0,,0,,7478404,
2013-03-20,0,,0,,,7752859
2013-02-28,0.17,1344423,10790,1360639,,
2013-01-31,0.17,1344423,10790,1360932,,
2012-12-31,0.17,1366503,8343,1380479,,7741686
2012-11-30,0.26,2054863,104141,700165,,
2012-11-01,0,,0,,,7867486
2012-10-31,0.24,1838163,103141,700165,,
2012-09-30,0.23,1762619,242514,956866,,7741686
2012-08-31,0.32,2446106,353409,533282,,
2012-07-31,0.32,2446106,353409,533282,,
2012-07-30,0,,0,,,7738114
2012-06-30,0.32,2472486,148729,869421,,7738114
2012-05-31,0.3,2320847,148729,1016120,,
2012-05-08,0,,0,,,7729415
2012-04-30,0.3,2320847,148729,1016120,,
2012-03-31,0.53,4440862,273501,203843,,7729415
2012-03-12,0,,0,,6286195,8510897
2012-02-29,0.51,4618026,693636,53715,,
2012-01-31,0.5,4618026,693636,53715,,
2011-12-31,0.5,4644726,1266493,4812,,9207730
2011-11-30,0.5,4644726,1266493,4812,,
2011-11-04,0,,0,,,9270560
2011-10-31,0.5,4644726,1266493,4812,,
2011-09-30,0.46,4249981,1034071,39375,,9270560
2011-08-31,0.46,4250954,1034071,47975,,
2011-08-03,0,,0,,,9270560
2011-07-31,0.47,4269749,1083615,21968,,
2011-06-30,0.44,4002854,802415,97044,,9267907
2011-05-31,0.44,4001300,802415,97044,,
2011-04-30,0.44,3964426,761014,134548,,
2011-04-28,0,,0,,,9042031
2011-03-31,0.44,3944426,741014,134548,,9034531
2011-03-21,0,,0,,7729419,9033785
2011-02-28,0.44,3944424,741012,134548,,
2011-01-31,0.36,3246413,820107,272248,,
2010-12-31,0.37,3337411,858790,383249,,9027867
2010-11-30,0.37,3337134,858651,383249,,
2010-10-31,0.39,3503269,1675432,237602,,
2010-10-29,0,,0,,,9019510
2010-09-30,0.4,3643034,1689342,180705,,9019510
2010-08-31,0.41,3642762,1689342,180705,,
2010-07-31,0.41,3672042,1690203,130161,,
2010-07-29,0,,0,,,9016491
2010-06-30,0.41,3724920,1640447,23736,,9016401
2010-05-31,0.45,4013634,1675338,46227,,
2010-05-12,0,,0,,,8979199
2010-04-30,0.45,4003910,1670400,51840,,
2010-03-31,0.45,4022610,1646209,50389,,8963106
2010-03-12,0,,0,,7688666,8959294
2010-02-28,0.27,2408823,20522,67889,,
2010-01-31,0.27,2411956,171289,54776,,
2009-12-31,0.27,2443155,171288,48993,,8955354
2009-11-30,0.27,2443158,171290,48990,,
2009-11-04,0,,0,,,8953135
2009-10-31,0.26,2320444,40647,179416,,
2009-09-30,0.46,4146081,483413,27561,,8938135
2009-08-31,0.46,4146081,483413,27561,,
2009-08-06,0,,0,,,8937855
2009-07-31,0.47,4166622,407102,91570,,
2009-06-30,0.47,4166622,407102,96570,,8916561
2009-05-31,0.47,4166622,407102,96570,,
2009-04-30,0.47,4220817,760551,219081,,
2009-03-31,0.47,4219746,769982,225899,,8905968
2009-03-16,0,,0,,,8873051
2009-02-28,0.48,4227056,769982,233208,,
2009-01-31,0.45,3983064,303247,260628,,
2008-12-31,0.45,3986912,292677,268610,,
2008-11-30,0.45,3994221,292677,269525,,
2008-10-31,0.41,3612915,113451,91795,,
2008-09-30,0.3,2695708,762491,609734,,8869245
2008-08-31,0.3,2695708,762491,609734,,
2008-07-31,0.3,2695708,762491,609734,,
2008-06-30,0.31,2781872,243980,85571,,
2008-05-31,0.31,2781872,243980,85571,,
2008-05-08,0,,0,,,8809989
2008-04-30,0.31,2781872,243980,85571,,
2008-03-31,0.31,2626165,332979,119929,,8809989
2008-03-20,0,,0,,,8786211
2008-02-29,0.31,2626165,332979,119929,,
2008-01-31,0.31,2626165,332979,119929,,
2007-11-08,0,,0,,,8694672
2007-06-30,0,,0,,,8611731
2007-03-31,0,,0,,,8522928
2007-03-19,0,,0,,,8505273
2006-11-01,0,,0,,,8468251
2006-08-10,0,,0,,,8442231
2006-05-10,0,,0,,,8411710
2006-03-27,0,,0,,,8410961
2005-11-10,0,,0,,,8275421
2005-08-10,0,,0,,,8238596
2005-05-12,0,,0,,,8202178
2005-03-21,0,,0,,,8199678
2004-11-01,0,,0,,,8056049
2004-08-07,0,,0,,,8043611
2004-05-07,0,,0,,,8012592
2004-03-22,0,,0,,,8008561
2003-11-01,0,,0,,,7972514
2003-08-01,0,,0,,,7962951
2003-05-09,0,,0,,,7883188
2003-03-21,0,,0,,,7883188
2002-11-11,0,,0,,,7767630
2002-07-30,0,,0,,,7664408
2002-05-06,0,,0,,,7664408
2002-03-06,0,,0,,,7664408
2001-11-03,0,,0,,,7613574
2001-08-03,0,,0,,,7613754
2001-05-10,0,,0,,,7560167
2001-03-07,0,,0,,,7560167
2000-09-28,0,,0,,,7430807
2000-06-29,0,,0,,,7382440
2000-04-28,0,,0,,,7373439
2000-03-10,0,,0,,,7365063
1999-11-02,0,,0,,,7285790
1999-03-02,0,,0,,,7238311
1998-03-02,0,,0,,,7134657
1997-02-25,0,,0,,,6835965
1996-03-01,0,,0,,,7105616
1995-03-01,0,,0,,,7492042
