 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,3,Milwaukee,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2012-10-12,6,Manchester,3,Providence,1,Final ,"Dunkin' Donuts Center Providence, RI"
2012-10-12,7,Syracuse,5,Rochester,6,Final SO ,"Blue Cross Arena Rochester, NY"
2012-10-12,2,Bridgeport,6,Connecticut,4,Final ,"XL Center Hartford, CT"
2012-10-12,4,Oklahoma City,1,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-10-12,5,Worcester,2,Norfolk,4,Final ,"Norfolk Scope Norfolk, VA"
2012-10-12,1,Peoria,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-13,16,Oklahoma City,3,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-10-13,21,Rochester,1,Toronto,3,Final ,"Ricoh Coliseum Toronto, ON"
2012-10-13,10,Manchester,2,Albany,1,Final ,"Times Union Center Albany, NY"
2012-10-13,9,Portland,3,Adirondack,6,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-10-13,12,Providence,2,Bridgeport,4,Final ,"Webster Bank Arena Bridgeport, CT"
2012-10-13,14,Hamilton,4,Grand Rapids,3,Final SO ,"Van Andel Arena Grand Rapids, MI"
2012-10-13,19,St. John's,2,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2012-10-13,11,W-B/Scranton,1,Binghamton,2,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-10-13,17,Worcester,3,Norfolk,4,Final SO ,"Norfolk Scope Norfolk, VA"
2012-10-13,20,Hershey,3,Syracuse,4,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-10-13,13,Rockford,0,Chicago,1,Final SO ,"Allstate Arena Rosemont, IL"
2012-10-13,18,Texas,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-13,15,Charlotte,3,Houston,1,Final ,"Toyota Center Houston, TX"
2012-10-13,8,Peoria,2,Abbotsford,6,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-14,23,St. John's,3,Connecticut,2,Final ,"XL Center Hartford, CT"
2012-10-14,25,Adirondack,0,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2012-10-14,27,Lake Erie,4,Toronto,0,Final ,"Ricoh Coliseum Toronto, ON"
2012-10-14,22,Rockford,3,Chicago,5,Final ,"Allstate Arena Rosemont, IL"
2012-10-14,24,Houston,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-10-14,26,Charlotte,3,Texas,4,Final SO ,"Cedar Park Center Cedar Park, TX"
2012-10-16,28,Binghamton,3,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-10-17,29,Peoria,1,Chicago,2,Final OT ,"Allstate Arena Rosemont, IL"
2012-10-19,43,Adirondack,1,St. John's,2,Final ,"Mile One Centre St. John's, NL"
2012-10-19,31,Syracuse,3,Albany,2,Final ,"Times Union Center Albany, NY"
2012-10-19,35,Providence,4,Manchester,3,Final ,"Verizon Wireless Arena Manchester, NH"
2012-10-19,40,Worcester,4,Portland,7,Final *,"Androscoggin Bank Colisee Lewiston, ME"
2012-10-19,42,W-B/Scranton,2,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2012-10-19,32,Hershey,3,Binghamton,2,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-10-19,41,Grand Rapids,3,Rochester,4,Final ,"Blue Cross Arena Rochester, NY"
2012-10-19,33,Toronto,1,Hamilton,4,Final ,"Copps Coliseum Hamilton, ON"
2012-10-19,37,Connecticut,4,Norfolk,5,Final OT ,"Norfolk Scope Norfolk, VA"
2012-10-19,36,Charlotte,4,Milwaukee,3,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-10-19,38,San Antonio,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-19,34,Texas,1,Houston,5,Final ,"Toyota Center Houston, TX"
2012-10-19,39,Rockford,1,Peoria,2,Final ,"Carver Arena Peoria, IL"
2012-10-19,30,Chicago,3,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-20,53,Adirondack,4,St. John's,3,Final ,"Mile One Centre St. John's, NL"
2012-10-20,46,Rochester,8,Hershey,7,Final ,"Giant Center Hershey, PA"
2012-10-20,47,Portland,4,Manchester,6,Final ,"Verizon Wireless Arena Manchester, NH"
2012-10-20,52,Providence,3,Springfield,1,Final ,"MassMutual Center Springfield, MA"
2012-10-20,55,Hamilton,0,Toronto,5,Final *,"Ricoh Coliseum Toronto, ON"
2012-10-20,57,Albany,4,Worcester,0,Final ,"DCU Center Worcester, MA"
2012-10-20,45,Syracuse,6,Binghamton,5,Final OT ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-10-20,56,Bridgeport,3,W-B/Scranton,2,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-10-20,48,Connecticut,3,Norfolk,6,Final ,"Norfolk Scope Norfolk, VA"
2012-10-20,49,Lake Erie,5,Oklahoma City,3,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-20,51,Milwaukee,0,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-20,54,Houston,5,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-20,50,Charlotte,2,Rockford,1,Final ,"BMO Harris Bank Center Rockford, IL"
2012-10-20,44,Chicago,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-21,64,Grand Rapids,4,Toronto,3,Final SO ,"Ricoh Coliseum Toronto, ON"
2012-10-21,58,Binghamton,2,Hershey,1,Final OT ,"Giant Center Hershey, PA"
2012-10-21,65,Syracuse,3,W-B/Scranton,1,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-10-21,63,Lake Erie,4,Texas,0,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-21,59,Milwaukee,5,Houston,4,Final OT ,"Toyota Center Houston, TX"
2012-10-21,62,Charlotte,4,Rockford,5,Final ,"BMO Harris Bank Center Rockford, IL"
2012-10-23,67,Portland,7,St. John's,8,Final OT ,"Mile One Centre St. John's, NL"
2012-10-23,61,Hamilton,1,Rochester,3,Final *,"First Niagara Center Buffalo, NY"
2012-10-23,66,Lake Erie,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-24,69,Portland,4,St. John's,0,Final ,"Mile One Centre St. John's, NL"
2012-10-24,68,Connecticut,5,Albany,2,Final ,"Times Union Center Albany, NY"
2012-10-24,70,Milwaukee,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-25,71,San Antonio,1,Rockford,2,Final SO ,"BMO Harris Bank Center Rockford, IL"
2012-10-26,72,Adirondack,1,Albany,5,Final ,"Times Union Center Albany, NY"
2012-10-26,73,Hershey,1,Connecticut,3,Final ,"XL Center Hartford, CT"
