U.S. Energy Information Administration,,,,,,,,
November 2013 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: November 25, 2013",,,,,,,,
"Next Update: December 24, 2013",,,,,,,,
,,,,,,,,
"Table A2 Approximate Heat Content of  Petroleum Production, Imports, and Exports",,,,,,,,
,,,,,,,,
Year,Crude Oil Production Heat Content,Natural Gas Plant Liquids Production Heat Content,Crude Oil Imports Heat Content,Petroleum Products Imports Heat Content,Crude Oil and Petroleum Products Imports Heat Content,Crude Oil Exports Heat Content,Petroleum Products Exports Heat Content,Crude Oil and Petroleum Products Exports Heat Content
,(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel),(Million Btu per Barrel)
1949,5.8,4.544,5.952,6.261,6.059,5.8,5.651,5.692
1950,5.8,4.522,5.943,6.263,6.08,5.8,5.751,5.766
1951,5.8,4.495,5.938,6.265,6.075,5.8,5.753,5.762
1952,5.8,4.464,5.938,6.261,6.067,5.8,5.768,5.774
1953,5.8,4.45,5.924,6.268,6.052,5.8,5.732,5.742
1954,5.8,4.415,5.931,6.252,6.052,5.8,5.738,5.745
1955,5.8,4.406,5.924,6.234,6.04,5.8,5.765,5.768
1956,5.8,4.382,5.916,6.225,6.024,5.8,5.744,5.754
1957,5.8,4.369,5.918,6.219,6.023,5.8,5.774,5.78
1958,5.8,4.366,5.916,6.091,5.993,5.8,5.778,5.779
1959,5.8,4.311,5.916,6.142,6.02,5.8,5.83,5.829
1960,5.8,4.295,5.911,6.161,6.021,5.8,5.835,5.834
1961,5.8,4.283,5.9,6.102,5.991,5.8,5.833,5.832
1962,5.8,4.273,5.89,6.138,6.004,5.8,5.842,5.841
1963,5.8,4.264,5.894,6.126,6.002,5.8,5.841,5.84
1964,5.8,4.268,5.882,6.129,5.998,5.8,5.845,5.844
1965,5.8,4.264,5.872,6.123,5.997,5.8,5.742,5.743
1966,5.8,4.259,5.863,6.112,5.993,5.8,5.728,5.729
1967,5.8,4.232,5.838,6.128,5.999,5.8,5.758,5.777
1968,5.8,4.218,5.836,6.095,5.977,5.8,5.762,5.763
1969,5.8,4.17,5.825,6.093,5.974,5.8,5.713,5.714
1970,5.8,4.146,5.822,6.088,5.985,5.8,5.811,5.81
1971,5.8,4.117,5.824,6.062,5.961,5.8,5.775,5.775
1972,5.8,4.07,5.809,6.045,5.935,5.8,5.741,5.741
1973,5.8,4.049,5.817,5.983,5.897,5.8,5.752,5.752
1974,5.8,4.011,5.827,5.959,5.884,5.8,5.773,5.774
1975,5.8,3.984,5.821,5.935,5.858,5.8,5.747,5.748
1976,5.8,3.964,5.808,5.98,5.856,5.8,5.743,5.745
1977,5.8,3.941,5.81,5.908,5.834,5.8,5.796,5.797
1978,5.8,3.925,5.802,5.955,5.839,5.8,5.814,5.808
1979,5.8,3.955,5.81,5.811,5.81,5.8,5.864,5.832
1980,5.8,3.914,5.812,5.748,5.796,5.8,5.841,5.82
1981,5.8,3.93,5.818,5.659,5.775,5.8,5.837,5.821
1982,5.8,3.872,5.826,5.664,5.775,5.8,5.829,5.82
1983,5.8,3.839,5.825,5.677,5.774,5.8,5.8,5.8
1984,5.8,3.812,5.823,5.613,5.745,5.8,5.867,5.85
1985,5.8,3.815,5.832,5.572,5.736,5.8,5.819,5.814
1986,5.8,3.797,5.903,5.624,5.808,5.8,5.839,5.832
1987,5.8,3.804,5.901,5.599,5.82,5.8,5.86,5.858
1988,5.8,3.8,5.9,5.618,5.82,5.8,5.842,5.84
1989,5.8,3.826,5.906,5.641,5.833,5.8,5.869,5.857
1990,5.8,3.822,5.934,5.614,5.849,5.8,5.838,5.833
1991,5.8,3.807,5.948,5.636,5.873,5.8,5.827,5.823
1992,5.8,3.804,5.953,5.623,5.877,5.8,5.774,5.777
1993,5.8,3.801,5.954,5.62,5.883,5.8,5.777,5.779
1994,5.8,3.794,5.95,5.534,5.861,5.8,5.777,5.779
1995,5.8,3.796,5.938,5.483,5.855,5.8,5.74,5.746
1996,5.8,3.777,5.947,5.468,5.847,5.8,5.728,5.736
1997,5.8,3.762,5.954,5.469,5.862,5.8,5.726,5.734
1998,5.8,3.769,5.953,5.462,5.861,5.8,5.71,5.72
1999,5.8,3.744,5.942,5.421,5.84,5.8,5.684,5.699
2000,5.8,3.733,5.959,5.432,5.849,5.8,5.651,5.658
2001,5.8,3.735,5.976,5.443,5.862,5.8,5.751,5.752
2002,5.8,3.729,5.971,5.451,5.863,5.8,5.687,5.688
2003,5.8,3.739,5.97,5.438,5.857,5.8,5.739,5.74
2004,5.8,3.724,5.981,5.475,5.863,5.8,5.753,5.754
2005,5.8,3.724,5.977,5.474,5.845,5.8,5.741,5.743
2006,5.8,3.712,5.98,5.454,5.842,5.8,5.723,5.724
2007,5.8,3.701,5.985,5.503,5.862,5.8,5.749,5.75
2008,5.8,3.706,5.99,5.479,5.866,5.8,5.762,5.762
2009,5.8,3.692,5.988,5.525,5.882,5.8,5.737,5.738
2010,5.8,3.674,5.989,5.557,5.894,5.8,5.67,5.672
2011,5.8,3.672,6.008,5.507,5.896,5.8,5.596,5.599
2012,5.8,3.683,6.165,5.514,6.038,5.8,5.583,5.587
2013,5.8,3.683,6.165,5.514,6.038,5.8,5.583,5.587
