,,,,,,,,,,tis. Kč,,tis. Kč,tis. Kč
"Č.
org.",Název org.,Rok,"Počet žáků
denního
studia",Provozní výdaje - NIV,Provozní výdaje - NIV,Provozní výdaje - NIV,Provozní výdaje - NIV,Provozní výdaje - NIV,Provozní výdaje - NIV,Provozní výdaje - NIV,"Ø
příspěvek
na žáka v Kč","Účelové  dotace
 -
INV","Příspěvek
celkem
(NIV + INV)"
"Č.
org.",Název org.,Rok,"Počet žáků
denního
studia","Čistý
příspěvek
na provoz",Nájemné,"Nárokované
odpisy","z toho
skutečně
poskytnuté ",Účelové dotace,"Mimořádné
vlivy",Celkem NIV,"Ø
příspěvek
na žáka v Kč","Účelové  dotace
 -
INV","Příspěvek
celkem
(NIV + INV)"
1800,"Gymnázium, Blansko, Seifertova 13",2009,614,2335,0,405,405,0,200,2940,4788.273615635179,0,2940
1800,"Gymnázium, Blansko, Seifertova 13",2010,594,2656,0,690,690,0,100,3446,5801.346801346801,0,3446
1800,"Gymnázium, Blansko, Seifertova 13",2011,589,2650,0,691,691,110,100,3551,6028.862478777589,0,3551
1801,"Gymnázium Boskovice, Palackého náměstí 1",2009,467,2105,0,612,612,270,0,2987,6396.145610278372,0,2987
1801,"Gymnázium Boskovice, Palackého náměstí 1",2010,471,2083,0,616,616,85,0,2784,5910.828025477706,0,2784
1801,"Gymnázium Boskovice, Palackého náměstí 1",2011,477,2111,0,621,621,40,0,2772,5811.32075471698,0,2772
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2009,496,1834,609,210,210,335,150,3138,6326.612903225806,0,3138
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2010,494,2275,679,271,271,320,0,3545,7176.113360323886,0,3545
2798,"Gymnázium, Brno - Řečkovice, Terezy Novákové 2",2011,497,2224,695,266,266,180,0,3365,6770.623742454728,0,3365
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2009,846,3073,0,4305,4305,150,0,7528,8898.345153664304,0,7528
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2010,840,3799,0,4131,4131,65,0,7995,9517.857142857143,0,7995
2803,"Gymnázium Matyáše Lercha, Brno, Žižkova 55",2011,823,3649,0,4150,4150,60,0,7859,9549.21020656136,0,7859
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2009,743,2798,50,2947,2947,625,0,6420,8640.64602960969,3000,9420
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2010,754,4901,90,2929,2929,814,0,8734,11583.554376657825,1667,10401
2806,"Gymnázium, Brno, třída Kapitána Jaroše 14",2011,746,4026,90,2952,2952,835,0,7903,10593.83378016086,0,7903
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2009,812,2895,0,4046,4046,380,100,7421,9139.162561576353,0,7421
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2010,787,3751,0,4159,4159,200,220,8330,10584.498094027953,0,8330
2808,"Klasické a španělské gymnázium, Brno - Bystrc, Vejrostova 2",2011,773,3290,168,3188,3188,106,120,6872,8890.038809831824,0,6872
3800,"Gymnázium Jana Blahoslava, Ivančice, Lány 2",2009,351,1710,0,1191,1191,0,0,2901,8264.957264957266,0,2901
