График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.,График за отчитане на договорните партньори ПИМП в РЗОК София град за месец юли 2014г.
,,,,,,
,,,,,,
№,Име на практика,РЦЗ,РЗОК/Офис,Екип,"Работен ден
от месеца /или дата",Час
1,"""АНЙО-Д-Р АННА ПОПОВА-АИПМП-ИП"" ЕТ",2209111020,СЗОК / 1,1,2014-07-01 00:00:00,09:00:00
2,"ЕТ ""Д-Р МАРГАРИТА КОТЛАРСКА - АИППМП""",2217111003,СЗОК / 1,1,2014-07-01 00:00:00,09:15:00
3,Д-Р АНГЕЛИНА НИКОЛОВА ТЕРЗИЙСКА - АПМП-ИППМП,2218111519,СЗОК / 1,1,2014-07-01 00:00:00,09:45:00
4,"ЕТ ""ДОКТОР МАРИЯ НАЙДЕНОВА - ИППМП "" ",2209111005,СЗОК / 1,1,2014-07-01 00:00:00,10:15:00
5,"ЕТ ""ДОКТОР ИРА МАРКОВА - ИППМП"" ",2209111013,СЗОК / 1,1,2014-07-01 00:00:00,10:30:00
6,"ЕТ ""АПМП-ИППМП Д-Р ЗОЯ СТАВРЕВА - ГЕОРГИЕВА"" ",2218111513,СЗОК / 1,1,2014-07-01 00:00:00,10:45:00
7,Д-Р НИКОЛЕТА  НИКОЛОВА МИХОВА - АПМП-ИППМП,2217111509,СЗОК / 1,1,2014-07-01 00:00:00,11:00:00
8,Д-Р ЕВГЕНИЯ ТОНЕВА ПОПОВА АПМП-ИППМП,2202111593,СЗОК / 1,1,2014-07-01 00:00:00,11:30:00
9,"ЕТ  ""Д-Р ЛИЛИЯ ПАНОВА-ИППДМП"" ",2202111525,СЗОК / 1,1,2014-07-01 00:00:00,11:45:00
10,"ЕТ ""Д-Р ДОНКА НИКОЛОВА - АИППМП""",2202111523,СЗОК / 1,1,2014-07-01 00:00:00,12:00:00
11,"""МАГАДИ"" - ЕООД",2209111023,СЗОК / 1,1,2014-07-01 00:00:00,12:45:00
12,"ЕТ ""ДОКТОР МАРИАНА ТАЛЕВА - ИППМП "" ",2209111012,СЗОК / 1,1,2014-07-01 00:00:00,13:00:00
13,"""АИППМП - Д-Р ЙОРДАН ЙОРДАНОВ"" ЕТ",2209111504,СЗОК / 1,1,2014-07-01 00:00:00,13:15:00
14,"ЕТ ""ТЕОДОРА ВАНГЕЛОВА""",2202111517,СЗОК / 1,1,2014-07-01 00:00:00,13:30:00
15,"ЕТ ""МАКРАС 99 - МАРИАНА АСЕНОВА  ИППМП"" ",2209111021,СЗОК / 1,1,2014-07-01 00:00:00,13:45:00
16,"ЕТ ""ДОРИЕТА МАТЕЕВА - ИПИПМП""",2202111512,СЗОК / 1,1,2014-07-01 00:00:00,14:00:00
