The Information Centre for health and social care. © Crown Copyright.,,,,,,,,,,,,,,,,,,,,,
Compendium of Clinical and Health Indicators / Clinical and Health Outcomes Knowledge Base (www.nchod.nhs.uk or nww.nchod.nhs.uk),,,,,,,,,,,,,,,,,,,,,
Source of data: National Statistics (Extracts may only be reproduced by permission.),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Indicator,Estimates of resident population (2001 Census based):,,,,,,,,,,,,,,,,,,,,
Statistic,Number,,,,,,,,,,,,,,,,,,,,
Age Group,Specific ages,,,,,,,,,,,,,,,,,,,,
Period,Mid-2006,,,,,,,,,,,,,,,,,,,,
Scale,,,,,,,,,,,,,,,,,,,,,
Version,06_V1,,,,,,,,,,,,,,,,,,,,
Released,November 2007,,,,,,,,,,,,,,,,,,,,
Notes,Please note that these estimates are provisional and will be subject to change.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS,PERSONS
,,,,,,,,,,,,,,,,,,,,,
,,All ages,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,
ENG,ENGLAND,50762945,620085,2335377,2921571,3129685,3334418,3361592,3271288,3436909,3881132,3911548,3456660,3059612,3260559,2696806,2230624,1940627,1637570,1222006,1054876
E,EAST MIDLANDS,4364214,50078,190942,247005,272087,295285,295349,251529,272120,330733,337355,299687,270037,295050,248808,199008,170088,143717,106810,88526
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PRIMARY CARE ORGANISATIONS (boundaries as of October 2006),,,,,,,,,,,,,,,,,,,,,
5EM,Nottingham City PCT,286378,3627,12712,13912,15300,23255,44332,26264,20176,20220,19035,15610,13109,12895,10187,9089,8631,7595,5846,4583
5ET,Bassetlaw PCT,111431,1169,4557,6271,7324,7251,5732,5622,6407,8532,8957,8050,7394,8193,7061,5555,4622,3774,2704,2256
5N6,Derbyshire County PCT,720652,7663,29770,40609,46104,45597,35651,35727,43859,55701,58238,51594,47133,52950,45504,35004,29822,24941,18907,15878
5N7,Derby City PCT,236298,3046,11366,14224,14908,15972,19241,15843,16415,18054,17339,14853,12925,13313,11546,9711,8857,7958,5825,4902
5N8,Nottinghamshire County Teaching PCT,657656,6985,27578,36399,40937,42148,37936,37164,40276,50641,52773,46773,41661,46001,39264,31212,26891,22453,16817,13747
5N9,Lincolnshire PCT,688624,6895,26477,37593,42575,45173,37603,32058,37030,48010,51737,47343,44018,51159,46510,38417,32523,27385,19714,16404
5PA,Leicestershire County and Rutland PCT,673412,7149,28472,38031,41774,47021,43254,34138,39583,51180,53032,47682,43705,48200,39826,31380,26863,22435,16412,13275
5PC,Leicester City PCT,289655,4642,16353,17314,17846,21624,31062,23551,21097,21580,19340,18156,16001,14267,10715,9804,8501,7337,5672,4793
5PD,Northamptonshire Teaching PCT,669102,8522,32381,40757,43269,44923,38855,39524,45299,54285,54012,47175,41993,45889,36614,27647,22456,19060,14339,12102
