ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp
Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold,,
2014-01-31,0.02,,9449,,
2013-11-30,0.02,267300,243270,,
2013-10-31,0.02,,,,
2013-09-30,0.02,15000,15872,,
2013-08-31,0.02,114502,33518,,
2013-07-31,0.02,,,,
2013-06-30,0.01,78336,78336,,
2013-05-31,0.01,245792,246266,,
2013-04-30,0.01,31500,66577,,
2013-03-31,0.01,,14895,,
2013-01-31,0.01,,,,
2012-11-30,0.01,94080,38390,,
2012-10-31,0.01,,,,
2012-09-30,0.01,,,,
2012-08-31,0.01,99053,107321,,
2012-07-31,0.01,,,,
2012-06-30,0.01,45000,45000,,
2012-05-31,0.01,1072,8212,,
2012-04-30,0.01,,,,
2012-03-31,0.01,275233,290030,,
2012-02-29,0.01,46770,12364,,
2012-01-31,0.01,,,,
2011-12-31,0.01,,,,
2011-11-30,0.01,936,,,
2011-10-31,0.01,,,,
2011-09-30,0.01,36468,36468,,
2011-08-31,0.01,1491,,,
2011-07-31,0.01,,,,
2011-06-30,0.01,,,,
2011-05-31,0.01,665752,665915,,
2011-04-30,0.01,,,,
2011-03-31,0.01,73878,73878,,
2011-02-28,0.01,1551,30023,,
2011-01-31,0.01,,,,
2010-12-31,0.01,163756,163756,,
2010-11-30,0.01,840168,837308,,
2010-10-31,0.01,,,,
2010-09-30,0.01,2083,,,
2010-08-31,0.01,3065,,,
2010-07-31,0.01,,,,
2010-06-30,0.01,100000,100000,,
2010-05-31,0.01,606514,459097,,
2010-04-30,0.01,31322,31322,,
2010-03-31,0.01,45417,,,
2010-02-28,0.03,85663,105955,,
2010-01-31,0.03,127101,124099,,
2009-12-31,0.03,,,,
2009-11-30,0.03,765617,761452,,
2009-10-31,0.03,,,,
2009-09-30,0.03,,3104,,
2009-08-31,0.03,50438,63022,,
2009-07-31,0.03,,,,
2009-06-30,0.03,,,,
2009-05-31,0.02,3276,,,
2009-04-30,0.02,12263,12263,,
2009-03-31,0.02,,,,
2009-02-28,0.02,23798,16536,,
2009-01-31,0.01,24525,24525,,
2008-12-31,0.03,,,,
2008-11-30,0.03,2691,,,
2008-10-31,0.03,,,,
2008-09-30,0.03,,,,
2008-08-31,0.03,83537,81753,,
2008-07-31,0.03,,,,
2008-06-30,0.03,,,,
2008-05-31,0.03,1808,2420,,
2008-04-30,0.01,0,0,,
2008-03-31,0.01,0,0,,
2008-02-29,0.01,42441,0,,
2008-01-31,0.01,22549,27793,,
2007-12-31,0.01,0,0,,
2007-11-30,0.01,2075,0,,
2007-10-31,0.01,0,0,,
2007-09-30,0.01,0,0,,
2007-08-31,0.01,2030,0,,
2007-07-31,0.01,0,0,,
2007-06-30,0.01,0,0,,
2007-05-31,0.01,4211,2000,,
2007-04-30,0.01,0,0,,
2007-03-31,0.01,0,0,,
2007-02-28,0.01,134784,86000,,
2007-01-31,0.01,315000,315000,,
2006-12-31,0.01,50000,50000,,
2006-11-30,0.01,5275,0,,
2006-10-31,0.01,5275,0,,
2006-09-30,0.01,0,0,,
2006-08-31,0,21361,20000,,
2006-06-30,0.01,0,0,,
2006-05-31,0.01,52534,51547,,
2006-04-30,0.01,0,0,,
2006-03-31,0.01,0,0,,
2006-02-28,0.01,63934,15554,,
2006-01-31,0.01,296935,298235,,
2005-12-31,0.01,40000,40000,,
2005-11-30,0.01,80746,79200,,
2005-10-31,0.01,0,0,,
2005-09-30,0.01,0,0,,
2005-08-31,0.01,9038,7402,,
2005-07-31,0.01,80000,80000,,
2005-06-30,0.01,0,83000,,
2005-05-31,0.01,1890,0,,
2005-04-30,0.01,0,3884,,
2005-03-31,0.02,0,400,,
2005-02-28,0.02,61988,60800,,
2005-01-31,0.02,3884,7000,,
2004-12-31,0.02,0,0,,
2004-11-30,0.02,1420,2000,,
2004-10-31,0.02,0,0,,
2004-09-30,0.02,0,0,,
2004-08-31,0.02,1450,0,,
2004-07-31,0.02,0,0,,
2004-06-30,0.03,0,0,,
2004-05-31,0.03,6926,4042,,
2004-04-30,0.03,0,0,,
2004-03-31,0.03,0,0,,
2004-02-29,0.03,1974,1000,,
2004-01-31,0,0,390,,
