Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,Currently Active HECM Endorsements By Fiscal Year and State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,2.0,25.0,13.0,23.0,47.0,68.0,76.0,87.0,90.0,38.0,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,20.0,25.0,96.0,116.0,212.0,502.0,826.0,1272.0,1075.0,1200.0,699.0,6062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,19.0,22.0,49.0,62.0,129.0,303.0,587.0,716.0,622.0,717.0,413.0,3661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,11.0,17.0,18.0,34.0,51.0,150.0,381.0,2066.0,3634.0,4001.0,3315.0,1563.0,1401.0,745.0,17396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,0,0.0,0.0,1.0,5.0,6.0,7.0,18.0,45.0,46.0,88.0,122.0,345.0,719.0,3116.0,6941.0,16062.0,16374.0,13411.0,13286.0,9914.0,9407.0,5368.0,95281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,0,0.0,0.0,1.0,0.0,3.0,6.0,9.0,22.0,45.0,37.0,115.0,274.0,332.0,777.0,1016.0,1425.0,1397.0,1405.0,1862.0,1294.0,1344.0,805.0,12169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,20.0,30.0,74.0,111.0,281.0,524.0,1085.0,1634.0,1489.0,1454.0,1079.0,1005.0,617.0,9422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,5.0,4.0,15.0,49.0,106.0,311.0,463.0,525.0,529.0,451.0,524.0,320.0,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,4.0,11.0,27.0,48.0,130.0,294.0,485.0,625.0,428.0,385.0,212.0,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
